#ZVView-data-copy:   8-May-2020 12:41:19
#=======================================
#
#name:   29-CU-0(D,X)29-CU-64,,SIG,,,EXP
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  3
#ldata:  10
#data...
#            X            Y         +-dY  # Comments...
#          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
           5.4            0        0.121        0.032  # 1970,C.B.Fulmer+         ## B0121003  #dY:26.4%  
          12.6            0        0.142        0.032  # 1970,C.B.Fulmer+         ## B0121003  #dY:22.5%  
          17.2            0        0.102        0.024  # 1970,C.B.Fulmer+         ## B0121003  #dY:23.5%  
          21.1            0       0.0937        0.024  # 1970,C.B.Fulmer+         ## B0121003  #dY:25.6%  
          23.9            0        0.121        0.027  # 1970,C.B.Fulmer+         ## B0121003  #dY:22.3%  
          27.1            0         0.16        0.036  # 1970,C.B.Fulmer+         ## B0121003  #dY:22.5%  
          30.2            0        0.155        0.031  # 1970,C.B.Fulmer+         ## B0121003  #dY:20.0%  
          33.3            0         0.14        0.027  # 1970,C.B.Fulmer+         ## B0121003  #dY:19.3%  
          35.9            0        0.123        0.021  # 1970,C.B.Fulmer+         ## B0121003  #dY:17.1%  
          38.3            0        0.111        0.031  # 1970,C.B.Fulmer+         ## B0121003  #dY:27.9%  
          1.49         1.49       0.0133       0.0016  # 2011,E.Simeckova+        ## D0653002  #dY:12.0%  
          2.95         0.63      0.00238      0.00197  # 2006,S.Takacs+           ## D4176004  #dY:82.8%  
          3.77         0.57       0.0372       0.0059  # 2006,S.Takacs+           ## D4176004  #dY:15.9%  
          4.25         0.86       0.0859       0.0091  # 2011,E.Simeckova+        ## D0653002  #dY:10.6%  
           4.5         0.52       0.0899       0.0114  # 2006,S.Takacs+           ## D4176004  #dY:12.7%  
          5.16         0.47       0.1421       0.0182  # 2006,S.Takacs+           ## D4176004  #dY:12.8%  
          5.29         0.75        0.195        0.023  # 2011,E.Simeckova+        ## D0653002  #dY:11.8%  
