#ZVView-data-copy:   4-May-2020 19:19:25
#=======================================
#
#name:   26-FE-0(D,X)27-CO-56,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  110
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
           2.2          1.2      0.00011         5e-6  # 2013,Khandaker      ## E2439003  #dY:4.5%   
          3.63         1.06     0.000133         6e-6  # 2013,Khandaker      ## E2439003  #dY:4.5%   
         5.301        0.369      0.00118         7e-5  # 1995,Wenrong       ## S0044003  #dY:5.9%   
          5.77         0.85     0.000183         7e-6  # 2013,Khandaker      ## E2439003  #dY:3.8%   
          6.93         0.43       0.0003       0.0002  # 1997,Takacs           ## D4044006  #dY:66.7%  
          7.46         0.75     0.000321         9e-6  # 2013,Khandaker      ## E2439003  #dY:2.8%   
         7.594        0.281      0.00291      0.00017  # 1995,Wenrong       ## S0044003  #dY:5.8%   
          8.05         0.41       0.0049       0.0008  # 1997,Takacs           ## D4044006  #dY:16.3%  
          8.15         0.32      0.00343      0.00049  # 2006,Kiraly           ## D4185004  #dY:14.3%  
         8.157        0.233      0.00231      0.00014  # 1995,Wenrong       ## S0044003  #dY:6.1%   
          8.39         0.24       0.0085        0.001  # 1997,Takacs           ## D4044006  #dY:11.8%  
          8.57         0.32      0.00726      0.00103  # 2006,B.Kiraly           ## D4185004  #dY:14.2%  
          8.92          0.7      0.01692         6e-5  # 2013,Khandaker      ## E2439003  #dY:0.4%   
          8.98         0.31      0.02123       0.0025  # 2006,Kiraly           ## D4185004  #dY:11.8%  
          9.07         0.39        0.034       0.0045  # 1997,Takacs           ## D4044006  #dY:13.2%  
         9.081        0.239      0.06024      0.00301  # 1995,Wenrong       ## S0044003  #dY:5.0%   
         9.191        0.297        0.066       0.0033  # 1995,Wenrong       ## S0044003  #dY:5.0%   
          9.38          0.2        0.037       0.0042  # 1997,Takacs           ## D4044006  #dY:11.4%  
          9.38         0.31      0.04037      0.00466  # 2006,Kiraly           ## D4185004  #dY:11.5%  
          9.77          0.3      0.05941      0.00698  # 2006,Kiraly           ## D4185004  #dY:11.7%  
         10.02         0.37        0.084        0.011  # 1997,S.Takacs           ## D4044006  #dY:13.1%  
         10.23         0.65      0.07895      0.00014  # 2013,Khandaker      ## E2439003  #dY:0.2%   
        10.399        0.218      0.12137      0.00607  # 1995,Wenrong       ## S0044003  #dY:5.0%   
          10.4          0.7       0.0857       0.0099  # 2001,Takacs           ## D4081005  #dY:11.6%  
