#ZVView-data-copy:  22-May-2020 09:51:50
#=======================================
#
#name:   26-FE-0(D,X)27-CO-57,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  155
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
          0.94          0.6        0.005        0.001  # 1996,S.Takacs+           ## D4044004  #dY:20.0%  
           2.2          1.2      0.00011         3e-6  # 2013,M.U.Khandaker+      ## E2439004  #dY:2.7%   
          2.23          0.4       0.0006      0.00012  # 2009,B.Kiraly+           ## D4185003  #dY:20.0%  
          2.91          0.5        0.044        0.006  # 1996,S.Takacs+           ## D4044004  #dY:13.6%  
          3.12         0.39       0.0131       0.0016  # 2009,B.Kiraly+           ## D4185003  #dY:12.2%  
          3.58        0.395      0.03387       0.0022  # 1995,Zhao Wenrong+       ## S0044004  #dY:6.5%   
          3.63         1.06      0.05648         6e-5  # 2013,M.U.Khandaker+      ## E2439004  #dY:0.1%   
         3.669        0.437      0.13482       0.0083  # 1995,Zhao Wenrong+       ## S0044004  #dY:6.2%   
          3.88         0.38       0.0668        0.008  # 2009,B.Kiraly+           ## D4185003  #dY:12.0%  
          4.11         0.82       0.0786       0.0005  # 2014,M.Avrigeanu+        ## D0672007  #dY:0.6%   
          4.55         0.37       0.1478       0.0176  # 2009,B.Kiraly+           ## D4185003  #dY:11.9%  
          4.69         0.41        0.203        0.023  # 1996,S.Takacs+           ## D4044004  #dY:11.3%  
         4.793        0.279      0.14338      0.00789  # 1995,Zhao Wenrong+       ## S0044004  #dY:5.5%   
          5.16         0.37       0.2035       0.0241  # 2009,B.Kiraly+           ## D4185003  #dY:11.8%  
          5.29          0.7        0.232        0.014  # 2014,M.Avrigeanu+        ## D0672007  #dY:6.0%   
         5.301        0.369       0.1836       0.0091  # 1995,Zhao Wenrong+       ## S0044004  #dY:5.0%   
          5.73         0.36       0.2502       0.0296  # 2009,B.Kiraly+           ## D4185003  #dY:11.8%  
          5.77         0.85       0.2491       0.0001  # 2013,M.U.Khandaker+      ## E2439004  #dY:0.0%   
         5.863        0.319       0.2056      0.01128  # 1995,Zhao Wenrong+       ## S0044004  #dY:5.5%   
         5.873        0.314      0.20516        0.011  # 1995,Zhao Wenrong+       ## S0044004  #dY:5.4%   
           6.1         0.35        0.296        0.034  # 1996,S.Takacs+           ## D4044004  #dY:11.5%  
          6.26         0.35       0.2689        0.032  # 2009,B.Kiraly+           ## D4185003  #dY:11.9%  
          6.71         0.59        0.297        0.019  # 2014,M.Avrigeanu+        ## D0672007  #dY:6.4%   
          6.77         0.34       0.2807       0.0333  # 2009,B.Kiraly+           ## D4185003  #dY:11.9%  
          6.93         0.43        0.309        0.035  # 1996,S.Takacs+           ## D4044004  #dY:11.3%  
          7.25         0.34       0.2812       0.0333  # 2009,B.Kiraly+           ## D4185003  #dY:11.8%  
          7.31         0.29        0.313        0.036  # 1996,S.Takacs+           ## D4044004  #dY:11.5%  
          7.46         0.75       0.2691       0.0001  # 2013,M.U.Khandaker+      ## E2439004  #dY:0.0%   
         7.594        0.281      0.17926      0.00986  # 1995,Zhao Wenrong+       ## S0044004  #dY:5.5%   
          7.62         0.55        0.288        0.018  # 2014,M.Avrigeanu+        ## D0672007  #dY:6.2%   
          7.71         0.33       0.2719       0.0322  # 2009,B.Kiraly+           ## D4185003  #dY:11.8%  
          8.05         0.41        0.278        0.032  # 1996,S.Takacs+           ## D4044004  #dY:11.5%  
          8.15         0.32       0.2449        0.029  # 2009,B.Kiraly+           ## D4185003  #dY:11.8%  
         8.157        0.233      0.16831      0.00926  # 1995,Zhao Wenrong+       ## S0044004  #dY:5.5%   
           8.3          0.7        0.258            0  # 1991,P.Jung              ## D4058043             
          8.39         0.24        0.299        0.034  # 1996,S.Takacs+           ## D4044004  #dY:11.4%  
          8.57         0.32       0.2342       0.0277  # 2009,B.Kiraly+           ## D4185003  #dY:11.8%  
          8.72         0.49        0.271        0.022  # 2014,M.Avrigeanu+        ## D0672007  #dY:8.1%   
          8.92          0.7       0.2319       0.0001  # 2013,M.U.Khandaker+      ## E2439004  #dY:0.0%   
          8.98         0.31       0.2291       0.0271  # 2009,B.Kiraly+           ## D4185003  #dY:11.8%  
          9.07         0.39        0.232        0.026  # 1996,S.Takacs+           ## D4044004  #dY:11.2%  
         9.081        0.239      0.14165      0.00779  # 1995,Zhao Wenrong+       ## S0044004  #dY:5.5%   
          9.38          0.2        0.234        0.028  # 1996,S.Takacs+           ## D4044004  #dY:12.0%  
          9.38         0.31       0.2114       0.0252  # 2009,B.Kiraly+           ## D4185003  #dY:11.9%  
          9.49         0.47        0.225        0.014  # 2014,M.Avrigeanu+        ## D0672007  #dY:6.2%   
          9.77          0.3       0.1883       0.0223  # 2009,B.Kiraly+           ## D4185003  #dY:11.8%  
         10.02         0.37        0.207        0.024  # 1996,S.Takacs+           ## D4044004  #dY:11.6%  
         10.23         0.65       0.1885       0.0001  # 2013,M.U.Khandaker+      ## E2439004  #dY:0.1%   
        10.399        0.218      0.11582      0.00638  # 1995,Zhao Wenrong+       ## S0044004  #dY:5.5%   
         10.45         0.44        0.202        0.015  # 2014,M.Avrigeanu+        ## D0672007  #dY:7.4%   
         10.88         0.55        0.188        0.022  # 1996,S.Takacs+           ## D4044004  #dY:11.7%  
          10.9         0.35        0.182        0.021  # 1996,S.Takacs+           ## D4044004  #dY:11.5%  
         11.14         0.42        0.164         0.01  # 2014,M.Avrigeanu+        ## D0672007  #dY:6.1%   
