#ZVView-data-copy:  22-Feb-2020 11:26:30
#=======================================
#
#name:   28-NI-0(D,X)27-CO-55,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  161
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
          7.84         0.63         8e-6         1e-6  # 2016,M.Avrigeanu+        ## D0818012  #dY:12.5%  
           9.4            0         5e-5         6e-6  # 1991,J.Zweit+            ## D4056003  #dY:12.0%  
           9.6          0.5       0.0001         1e-5  # 2007,S.Takacs+           ## D4178006  #dY:10.0%  
          9.81         0.51       5.6e-5         5e-6  # 2016,M.Avrigeanu+        ## D0818012  #dY:8.9%   
          9.82         0.54         3e-5         1e-5  # 2016,A.R.Usman+          ## E2492002  #dY:33.3%  
         10.15         0.51     0.000155         1e-5  # 2016,M.Avrigeanu+        ## D0818012  #dY:6.5%   
         10.27         0.48     0.000211       1.3e-5  # 2016,M.Avrigeanu+        ## D0818012  #dY:6.2%   
         10.57         1.04      0.00039         9e-5  # 1997,S.Takacs+           ## D4045002  #dY:23.1%  
          10.8          0.4      0.00057         7e-5  # 2007,S.Takacs+           ## D4178006  #dY:12.3%  
          10.9          0.5       0.0001         5e-5  # 2007,S.Takacs+           ## D4178006  #dY:50.0%  
          10.9          0.7       0.0012       0.0002  # 2013,A.Hermanne+         ## D4282002  #dY:16.7%  
         11.01         0.95      0.00093      0.00013  # 1997,S.Takacs+           ## D4045002  #dY:14.0%  
          11.3            0      0.00019         2e-5  # 1991,J.Zweit+            ## D4056003  #dY:10.5%  
         11.35         0.66      0.00082         8e-5  # 2016,A.R.Usman+          ## E2492002  #dY:9.8%   
         11.44         0.44      0.00139       0.0002  # 1997,S.Takacs+           ## D4045002  #dY:14.4%  
         11.52         0.49     0.000953       5.6e-5  # 2016,M.Avrigeanu+        ## D0818012  #dY:5.9%   
         11.73         0.47      0.00156         9e-5  # 2016,M.Avrigeanu+        ## D0818012  #dY:5.8%   
         11.85         0.78      0.00242       0.0003  # 1997,S.Takacs+           ## D4045002  #dY:12.4%  
          11.9         0.49      0.00153         9e-5  # 2016,M.Avrigeanu+        ## D0818012  #dY:5.9%   
          11.9          1.8       0.0018       0.0002  # 2013,A.Hermanne+         ## D4282026  #dY:11.1%  
            12          0.4       0.0023       0.0003  # 2007,S.Takacs+           ## D4178006  #dY:13.0%  
         12.26         0.71       0.0034       0.0004  # 1997,S.Takacs+           ## D4045002  #dY:11.8%  
         12.65         0.65      0.00458      0.00054  # 1997,S.Takacs+           ## D4045002  #dY:11.8%  
          12.7          0.5       0.0031       0.0004  # 2013,A.Hermanne+         ## D4282002  #dY:12.9%  
         12.77         0.65      0.00295       0.0002  # 2016,A.R.Usman+          ## E2492002  #dY:6.8%   
            13            0       0.0018       0.0002  # 1991,J.Zweit+            ## D4056003  #dY:11.1%  
         13.04         0.59      0.00599       0.0007  # 1997,S.Takacs+           ## D4045002  #dY:11.7%  
          13.1          0.4       0.0048       0.0006  # 2007,S.Takacs+           ## D4178006  #dY:12.5%  
         13.11         0.45      0.00427      0.00025  # 2016,M.Avrigeanu+        ## D0818012  #dY:5.9%   
