# Foil Index, Average Current (nA), Uncertainty in Average Current (nA), % Uncertainty
0.000000000000000000e+00,1.322463432921335027e+02,3.653573444435576079e+00,2.762702811649616397e+00
1.000000000000000000e+00,1.330787052503747816e+02,3.755009512703237906e+00,2.821645661218711965e+00
2.000000000000000000e+00,1.343495131536992346e+02,3.652466675534136620e+00,2.718630376691892003e+00
3.000000000000000000e+00,1.350767776704946357e+02,4.217987996267174466e+00,3.122659622926825307e+00
4.000000000000000000e+00,1.365332416432507046e+02,4.199974166454645719e+00,3.076155019763470388e+00
5.000000000000000000e+00,1.371341225213522250e+02,4.534407817005213559e+00,3.306549627208349662e+00
6.000000000000000000e+00,1.394755607786209737e+02,4.366586129693600604e+00,3.130717743895185201e+00
7.000000000000000000e+00,1.355373239646101240e+02,4.335751478951284987e+00,3.198935431308489008e+00
8.000000000000000000e+00,1.409329473728769528e+02,5.404961444289341443e+00,3.835129786925569828e+00
9.000000000000000000e+00,1.195809429406028102e+02,6.514422287494383568e+00,5.447709415312245618e+00
