# Foil Index, Average Current (nA), Uncertainty in Average Current (nA), % Uncertainty
0.000000000000000000e+00,1.340832413549682656e+02,3.698934639826060078e+00,2.758685278224743076e+00
1.000000000000000000e+00,1.364488863002733581e+02,3.833332952253798442e+00,2.809354518158583947e+00
2.000000000000000000e+00,1.380281658284168316e+02,3.746380049597788808e+00,2.714214180209366223e+00
3.000000000000000000e+00,1.389611581701599619e+02,4.317827931313614975e+00,3.107219303703824487e+00
4.000000000000000000e+00,1.397259584746513497e+02,4.292882563866421641e+00,3.072358644542934503e+00
5.000000000000000000e+00,1.392815200585219486e+02,4.601039514353651327e+00,3.303409894162866678e+00
6.000000000000000000e+00,1.398116238768378423e+02,4.377701282984532760e+00,3.131142577130007432e+00
7.000000000000000000e+00,1.350954352533074427e+02,4.324160875246146674e+00,3.200819381601038405e+00
8.000000000000000000e+00,1.436891703068151003e+02,5.673584563607205311e+00,3.948512300191151070e+00
9.000000000000000000e+00,1.220800157092526064e+02,6.675946012183761269e+00,5.468500289255600499e+00
