# Foil Index, Average Current (nA), Uncertainty in Average Current (nA), % Uncertainty
0.000000000000000000e+00,1.245820110359696997e+02,3.490301501674747175e+00,2.801609536281298940e+00
1.000000000000000000e+00,1.222838750156410441e+02,3.496257932899148546e+00,2.859132434633716358e+00
2.000000000000000000e+00,1.218824559575461990e+02,3.345239233449903260e+00,2.744643769415927359e+00
3.000000000000000000e+00,1.210360074296180244e+02,3.848756484066030215e+00,3.179844218096889552e+00
4.000000000000000000e+00,1.242465352543635504e+02,3.843216316476197658e+00,3.093218099489195794e+00
5.000000000000000000e+00,1.289335945183159140e+02,4.312971000453435622e+00,3.345110338826974949e+00
6.000000000000000000e+00,1.371437183952310193e+02,4.307090380691372289e+00,3.140567013269158547e+00
7.000000000000000000e+00,1.392212580417755134e+02,4.568158898744752783e+00,3.281222252261220884e+00
8.000000000000000000e+00,1.299566864725759672e+02,6.395128459947850175e+00,4.920969157902758795e+00
9.000000000000000000e+00,1.717644967054448273e+02,1.098582941346766972e+01,6.395867378988702612e+00
