# Foil Index, Average Current (nA), Uncertainty in Average Current (nA), % Uncertainty
0.000000000000000000e+00,1.337028689807311252e+02,3.688312401121307538e+00,2.758588824038515241e+00
1.000000000000000000e+00,1.356641725642604968e+02,3.814847259462027296e+00,2.811978422420286172e+00
2.000000000000000000e+00,1.373427826692381757e+02,3.728862404198851621e+00,2.715004262858900397e+00
3.000000000000000000e+00,1.383911991945003024e+02,4.299269156682422377e+00,3.106605898139566335e+00
4.000000000000000000e+00,1.395639350000077457e+02,4.286489746871335882e+00,3.071344862031224920e+00
5.000000000000000000e+00,1.390999245235883279e+02,4.586135956997827279e+00,3.297008228225255522e+00
6.000000000000000000e+00,1.398148166157157561e+02,4.376536106110666680e+00,3.130237704448504132e+00
7.000000000000000000e+00,1.337892622504470808e+02,4.282223506779033073e+00,3.200722864263139567e+00
8.000000000000000000e+00,1.374293919707945122e+02,5.256251232407407770e+00,3.824692197957499484e+00
9.000000000000000000e+00,1.142826282224040000e+02,6.159312625143761544e+00,5.389544081150461352e+00
