# Foil Index, Average Current (nA), Uncertainty in Average Current (nA), % Uncertainty
0.000000000000000000e+00,1.342284653929858962e+02,3.703679927057694332e+00,2.759235841827057278e+00
1.000000000000000000e+00,1.367885761679706889e+02,3.840691135685368351e+00,2.807757228914466996e+00
2.000000000000000000e+00,1.383751964604369107e+02,3.755275167773212797e+00,2.713835473286493105e+00
3.000000000000000000e+00,1.391545568847999164e+02,4.318095568427536612e+00,3.103093182929181459e+00
4.000000000000000000e+00,1.397608539886099948e+02,4.292466448252251432e+00,3.071293803486684570e+00
5.000000000000000000e+00,1.387770570036386744e+02,4.576896083349122790e+00,3.298020711902774238e+00
6.000000000000000000e+00,1.397588817816197775e+02,4.374262928747432611e+00,3.129864000759849052e+00
7.000000000000000000e+00,1.354978597264066877e+02,4.335246550371337548e+00,3.199494485835378210e+00
8.000000000000000000e+00,1.422779852607727946e+02,5.281773463974525740e+00,3.712291437283061768e+00
9.000000000000000000e+00,1.254232968931913774e+02,6.908632990125118667e+00,5.508253379759589841e+00
