name,compound,thickness,density,ad,mu_E,sig_E
SS01,SS_316,0.12862547288776796,7.93,102.0,32.78628580896428,0.8651449469268678
Ni01,Ni,0.025600899381675098,8.895,22.772,31.494303573699995,0.5635427198192862
Ir01,Ir,0.024510884051532653,22.51,55.174,30.867748576499995,0.6221500098117362
Cu01,Cu,0.024961448206503523,8.949,22.338,30.251088451649995,0.575017453441546
Fe01,Fe,0.025464022374777528,7.866,20.03,29.801544076699994,0.5784001900514075
Ni02,Ni,0.02598988195615514,8.895,23.118,29.32452311304999,0.5947181118834677
Ir02,Ir,0.024700577521101733,22.51,55.601,28.657755151849997,0.6573426187960836
Cu02,Cu,0.024946921443736732,8.949,22.325,28.004311218949994,0.6080768481720095
Fe02,Fe,0.02544749555047038,7.866,20.017,27.527925488799994,0.6126540455510768
Ni03,Ni,0.025112984822934233,8.895,22.338,27.030582081799995,0.6283373689400408
Ir03,Ir,0.024719235895157707,22.51,55.643,26.332674893249994,0.6829764296392462
Cu03,Cu,0.024933512124259694,8.949,22.313,25.638040972499997,0.6480211411588083
Fe03,Fe,0.02535977625222477,7.866,19.948,25.129682476799996,0.6541532140761194
Ni04,Ni,0.02327599775154581,8.895,20.704,24.618316803299997,0.6666000198692233
Ir04,Ir,0.024877832074633496,22.51,56.0,23.889977437012497,0.7327232904220095
Cu04,Cu,0.024901106268856856,8.949,22.284,23.14268521289999,0.6973693677596805
Ni05,Ni,0.024472175379426645,8.895,21.768,22.569608442699998,0.7129713412157151
Ir05,Ir,0.02450510884051533,22.51,55.161,21.787572922829998,0.7701002356607863
Cu05,Cu,0.025078779751927592,8.949,22.443,20.994887822699994,0.7475889312280033
Ni06,Ni,0.025700955593029793,8.895,22.861,20.360119957649996,0.7633468468562936
Ir06,Ir,0.02475832963127499,22.51,55.731,19.496431235049997,0.8278670816934119
Cu06,Cu,0.0250262599173092,8.949,22.396,18.633788409637496,0.8052898601544172
Ni07,Ni,0.025960652051714446,8.895,23.092,17.936015833312496,0.8354334825060967
Ir07,Ir,0.025182141270546424,22.51,56.685,16.976595668999995,0.9093265532965839
Cu07,Cu,0.024941334227287965,8.949,22.32,16.015909979519996,0.8902366546917599
Ni08,Ni,0.02519280494659921,8.895,22.409,15.247420064249999,0.9247376103062833
Ir08,Ir,0.02577965348733896,22.51,58.03,14.166278406866663,1.0268824767712619
Cu08,Cu,0.025031847133757962,8.949,22.401,13.055744758414285,1.0197800216976622
Ni09,Ni,0.024441821247892074,8.895,21.741,12.170939185762498,1.07352674741232
Ir09,Ir,0.025175033318525098,22.51,56.669,10.933009066015382,1.2103949055551186
Cu09,Cu,0.025058665772712038,8.949,22.425,9.613747825274999,1.2521419823399556
Ni10,Ni,0.02596177627880832,8.895,23.093,8.451734526792857,1.3834784098769666
Ir10,Ir,0.024462461128387382,22.51,55.065,6.806255678818748,1.6620136697354273
Cu10,Cu,0.024934629567549448,8.949,22.314,4.930373170228845,1.9347406734549972
SS02,SS_316,0.12862547288776796,7.93,102.0,1.0821560902693066,1.8062307520656113
