name,compound,thickness,density,ad,mu_E,sig_E
SS01,SS_316,0.12862547288776796,7.93,102.0,34.4301431419,0.8818907997919805
Ni01,Ni,0.025600899381675098,8.895,22.772,33.1315400889,0.5624298837083387
Ir01,Ir,0.024510884051532653,22.51,55.174,32.50095883815,0.6217432003360328
Cu01,Cu,0.024961448206503523,8.949,22.338,31.880588001899994,0.5731267127885075
Fe01,Fe,0.025464022374777528,7.866,20.03,31.429621311549997,0.5761478608757933
Ni02,Ni,0.02598988195615514,8.895,23.118,30.95141963595,0.5921961294050556
Ir02,Ir,0.024700577521101733,22.51,55.601,30.281900859650005,0.655329638923974
Cu02,Cu,0.024946921443736732,8.949,22.325,29.6261225205,0.6044824012898695
Fe02,Fe,0.02544749555047038,7.866,20.017,29.1496040627,0.6085563976649367
Ni03,Ni,0.025112984822934233,8.895,22.338,28.6525079291,0.6237727452540424
Ir03,Ir,0.024719235895157707,22.51,55.643,27.9538098951375,0.6785315455191424
Cu03,Cu,0.024933512124259694,8.949,22.313,27.2588783247,0.6420078894731563
Fe03,Fe,0.02535977625222477,7.866,19.948,26.7522388958,0.6473870894811516
Ni04,Ni,0.02327599775154581,8.895,20.704,26.2431465835,0.659141255742043
Ir04,Ir,0.024877832074633496,22.51,56.0,25.5166762244625,0.7249626632844818
Cu04,Cu,0.024901106268856856,8.949,22.284,24.7722536116,0.6876426228570414
Ni05,Ni,0.024472175379426645,8.895,21.768,24.2038565593,0.7022150942392941
Ir05,Ir,0.02450510884051533,22.51,55.161,23.42706327027,0.758425599962442
Cu05,Cu,0.025078779751927592,8.949,22.443,22.64099561955,0.733595906516736
Ni06,Ni,0.025700955593029793,8.895,22.861,22.0146841871,0.7556159404566497
Ir06,Ir,0.02475832963127499,22.51,55.731,21.161841201269997,0.8158900886872313
Cu06,Cu,0.0250262599173092,8.949,22.396,20.31206910645,0.7845015412833576
Ni07,Ni,0.025960652051714446,8.895,23.092,19.629258687225,0.8116599758394172
Ir07,Ir,0.025182141270546424,22.51,56.685,18.689609906550004,0.8859671469025956
Cu07,Cu,0.024941334227287965,8.949,22.32,17.7523370107875,0.8617902085002934
Ni08,Ni,0.02519280494659921,8.895,22.409,17.0097000084,0.8897849936472867
Ir08,Ir,0.02577965348733896,22.51,58.03,15.965254459275,0.9833126690720113
Cu08,Cu,0.025031847133757962,8.949,22.401,14.899544698499998,0.9657424319722543
Ni09,Ni,0.024441821247892074,8.895,21.741,14.063266662224999,1.0093509161731973
Ir09,Ir,0.025175033318525098,22.51,56.669,12.89766331335,1.1243925472031977
Cu09,Cu,0.025058665772712038,8.949,22.425,11.674142657099999,1.1375172164005896
Ni10,Ni,0.02596177627880832,8.895,23.093,10.632110521889999,1.22340221302037
Ir10,Ir,0.024462461128387382,22.51,55.065,9.191673274041177,1.400139476770478
Cu10,Cu,0.024934629567549448,8.949,22.314,7.64812723587,1.5185358702724665
SS02,SS_316,0.12862547288776796,7.93,102.0,3.0702784417421873,2.8116045520044204
