name,compound,thickness,density,ad,mu_E,sig_E
SS01,SS_316,0.12862547288776796,7.93,102.0,34.74960463161,0.7239420657317872
Ni01,Ni,0.025600899381675098,8.895,22.772,33.85309217619999,0.5362198937167595
Ir01,Ir,0.024510884051532653,22.51,55.174,33.420941780599996,0.5671749534510684
Cu01,Cu,0.024961448206503523,8.949,22.338,32.99747701305001,0.5436816502568167
Fe01,Fe,0.025464022374777528,7.866,20.03,32.691464010699995,0.545965869053969
Ni02,Ni,0.02598988195615514,8.895,23.118,32.368249795749996,0.5545932535288167
Ir02,Ir,0.024700577521101733,22.51,55.601,31.9171314616,0.587021492418261
Cu02,Cu,0.024946921443736732,8.949,22.325,31.47742770535,0.5626264184989211
Fe02,Fe,0.02544749555047038,7.866,20.017,31.160446400599998,0.5653305840281455
Ni03,Ni,0.025112984822934233,8.895,22.338,30.8314437772,0.573334420184016
Ir03,Ir,0.024719235895157707,22.51,55.643,30.370175690799996,0.608437129790953
Cu03,Cu,0.024933512124259694,8.949,22.313,29.9144302578,0.583779875140241
Fe03,Fe,0.02535977625222477,7.866,19.948,29.585661438299997,0.5869366037834197
Ni04,Ni,0.02327599775154581,8.895,20.704,29.25728896915,0.5929563539988338
Ir04,Ir,0.024877832074633496,22.51,56.0,28.789770305999998,0.6328149256791883
Cu04,Cu,0.024901106268856856,8.949,22.284,28.31457929905,0.6074204181154438
Ni05,Ni,0.024472175379426645,8.895,21.768,27.95691538255,0.6143448742629802
Ir05,Ir,0.02450510884051533,22.51,55.161,27.4695868172,0.6527664658896962
Cu05,Cu,0.025078779751927592,8.949,22.443,26.9816424295,0.6289656606362406
Ni06,Ni,0.025700955593029793,8.895,22.861,26.599902671099997,0.6385278075733547
Ir06,Ir,0.02475832963127499,22.51,55.731,26.082002010900002,0.6781760347089177
Cu06,Cu,0.0250262599173092,8.949,22.396,25.572842816399998,0.6534201492429553
Ni07,Ni,0.025960652051714446,8.895,23.092,25.17367880225,0.664598540657855
Ir07,Ir,0.025182141270546424,22.51,56.685,24.6271715514,0.7079693840181736
Cu07,Cu,0.024941334227287965,8.949,22.32,24.091816552649995,0.6815620831627006
Ni08,Ni,0.02519280494659921,8.895,22.409,23.6815413428,0.6927624152979454
Ir08,Ir,0.02577965348733896,22.51,58.03,23.1090014904375,0.7331985784552392
Cu08,Cu,0.025031847133757962,8.949,22.401,22.53961119135,0.7146118795878668
Ni09,Ni,0.024441821247892074,8.895,21.741,22.114215472250006,0.725821455411253
Ir09,Ir,0.025175033318525098,22.51,56.669,21.528810345075,0.7680109376212623
Cu09,Cu,0.025058665772712038,8.949,22.425,20.938969282,0.7526782191231219
Ni10,Ni,0.02596177627880832,8.895,23.093,20.474844606699996,0.7692829795504723
Ir10,Ir,0.024462461128387382,22.51,55.065,19.853184425662498,0.8097209196381863
Cu10,Cu,0.024934629567549448,8.949,22.314,19.241079211200002,0.7984825799872035
SS02,SS_316,0.12862547288776796,7.93,102.0,17.824362627796155,1.1118934979070487
