name,compound,thickness,density,ad,mu_E,sig_E
SS01,SS_316,0.12862547288776796,7.93,102.0,30.172038649087494,0.9332177838887703
Ni01,Ni,0.025600899381675098,8.895,22.772,28.698760240699993,0.5797503068203397
Ir01,Ir,0.024510884051532653,22.51,55.174,27.982956924449994,0.6360920799776334
Cu01,Cu,0.024961448206503523,8.949,22.338,27.275812519999995,0.5946978659421517
Fe01,Fe,0.025464022374777528,7.866,20.03,26.756249178999997,0.5993556595526448
Ni02,Ni,0.02598988195615514,8.895,23.118,26.202947030699995,0.6207458543096951
Ir02,Ir,0.024700577521101733,22.51,55.601,25.430376879599997,0.6821006591101433
Cu02,Cu,0.024946921443736732,8.949,22.325,24.66956105569999,0.6393074391702488
Fe02,Fe,0.02544749555047038,7.866,20.017,24.1092012073,0.6461298264905608
Ni03,Ni,0.025112984822934233,8.895,22.338,23.521376940599996,0.6676193393418768
Ir03,Ir,0.024719235895157707,22.51,55.643,22.69729402446,0.7291162609679863
Cu03,Cu,0.024933512124259694,8.949,22.313,21.871697325499998,0.6968086145753704
Fe03,Fe,0.02535977625222477,7.866,19.948,21.259035268899996,0.7068667071936154
Ni04,Ni,0.02327599775154581,8.895,20.704,20.638852833225,0.7177548762908965
Ir04,Ir,0.024877832074633496,22.51,56.0,19.755800950599998,0.7979581960031843
Cu04,Cu,0.024901106268856856,8.949,22.284,18.841275355649998,0.7658022469738782
Ni05,Ni,0.024472175379426645,8.895,21.768,18.126045279375,0.7908819066628584
Ir05,Ir,0.02450510884051533,22.51,55.161,17.148076639414285,0.8715621809346972
Cu05,Cu,0.025078779751927592,8.949,22.443,16.14350596188,0.8484675635392267
Ni06,Ni,0.025700955593029793,8.895,22.861,15.315885906749998,0.8854941396711444
Ir06,Ir,0.02475832963127499,22.51,55.731,14.183381157659998,0.9846478144237542
Cu06,Cu,0.0250262599173092,8.949,22.396,13.026660202285713,0.9772208389271245
Ni07,Ni,0.025960652051714446,8.895,23.092,12.047825718866665,1.0396968014039796
Ir07,Ir,0.025182141270546424,22.51,56.685,10.67984351566,1.1873908166793523
Cu07,Cu,0.024941334227287965,8.949,22.32,9.245533266474999,1.2265377859702309
Ni08,Ni,0.02519280494659921,8.895,22.409,7.9856102242399984,1.3725493034735605
Ir08,Ir,0.02577965348733896,22.51,58.03,6.095780442399999,1.7367962968710533
Cu08,Cu,0.025031847133757962,8.949,22.401,3.8425025719864867,2.006992162861271
Ni09,Ni,0.024441821247892074,8.895,21.741,1.8983389882550559,1.8947380266013458
Ir09,Ir,0.025175033318525098,22.51,56.669,0.4653692699732673,1.032564267230004
Cu09,Cu,0.025058665772712038,8.949,22.425,0.06109070765643565,0.2509731872935999
Ni10,Ni,0.02596177627880832,8.895,23.093,0.03266055353762376,0.04963994010346722
Ir10,Ir,0.024462461128387382,22.51,55.065,0.03136547075940594,0.00480885106976167
Cu10,Cu,0.024934629567549448,8.949,22.314,0.031349999999999996,0.0
SS02,SS_316,0.12862547288776796,7.93,102.0,0.031349999999999996,0.0
