name,compound,thickness,density,ad,mu_E,sig_E
SS01,SS_316,0.12862547288776796,7.93,102.0,31.967578320857143,0.8621615748228323
Ni01,Ni,0.025600899381675098,8.895,22.772,30.682340634,0.5635654558970751
Ir01,Ir,0.024510884051532653,22.51,55.174,30.0594855,0.6215668654760725
Cu01,Cu,0.024961448206503523,8.949,22.338,29.44634869,0.5754012443219808
Fe01,Fe,0.025464022374777528,7.866,20.03,28.998682482,0.5789894675193321
Ni02,Ni,0.02598988195615514,8.895,23.118,28.523523402000002,0.5953639443083083
Ir02,Ir,0.024700577521101733,22.51,55.601,27.859944266,0.6574794858896521
Cu02,Cu,0.024946921443736732,8.949,22.325,27.209475502000004,0.6092126059938747
Fe02,Fe,0.02544749555047038,7.866,20.017,26.734476252000004,0.6140690820746739
Ni03,Ni,0.025112984822934233,8.895,22.338,26.238401882,0.6299015136438856
Ir03,Ir,0.024719235895157707,22.51,55.643,25.542904282500004,0.6842898883171957
Cu03,Cu,0.024933512124259694,8.949,22.313,24.85037313,0.6503499171415363
Fe03,Fe,0.02535977625222477,7.866,19.948,24.342599666,0.6568360527260121
Ni04,Ni,0.02327599775154581,8.895,20.704,23.831552822000006,0.6695982985998669
Ir04,Ir,0.024877832074633496,22.51,56.0,23.1043755855,0.7355775244972703
Cu04,Cu,0.024901106268856856,8.949,22.284,22.357879588000007,0.7013545452828764
Ni05,Ni,0.024472175379426645,8.895,21.768,21.784107576,0.7175101619931277
Ir05,Ir,0.02450510884051533,22.51,55.161,21.001755376800002,0.7749268252501587
Cu05,Cu,0.025078779751927592,8.949,22.443,20.208095666000002,0.7537482959450167
Ni06,Ni,0.025700955593029793,8.895,22.861,19.570864103999998,0.7703639473562333
Ir06,Ir,0.02475832963127499,22.51,55.731,18.704337102000004,0.8356756079761104
Cu06,Cu,0.0250262599173092,8.949,22.396,17.837830791000002,0.8149071868748701
Ni07,Ni,0.025960652051714446,8.895,23.092,17.134658904000002,0.8419514425983953
Ir07,Ir,0.025182141270546424,22.51,56.685,16.16778850971429,0.9222814484544768
Cu07,Cu,0.024941334227287965,8.949,22.32,15.1979419416,0.9060732988832759
Ni08,Ni,0.02519280494659921,8.895,22.409,14.418205758000001,0.9434926235894192
Ir08,Ir,0.02577965348733896,22.51,58.03,13.3210805442,1.0479643105809624
Cu08,Cu,0.025031847133757962,8.949,22.401,12.189701502000002,1.0490130993165916
Ni09,Ni,0.024441821247892074,8.895,21.741,11.280607948499998,1.1100919780507477
Ir09,Ir,0.025175033318525098,22.51,56.669,10.005521530400001,1.258144761222508
Cu09,Cu,0.025058665772712038,8.949,22.425,8.632985251000001,1.321462172606718
Ni10,Ni,0.02596177627880832,8.895,23.093,7.395536387249999,1.4938730050394908
Ir10,Ir,0.024462461128387382,22.51,55.065,5.6107208806,1.844345085747448
Cu10,Cu,0.024934629567549448,8.949,22.314,3.5598633336315793,2.0651714419228426
SS02,SS_316,0.12862547288776796,7.93,102.0,0.5615779567722772,1.27108151408089
