name,compound,thickness,density,ad,mu_E,sig_E
SS01,SS_316,0.12862547288776796,7.93,102.0,32.003611981,0.855172404094786
Ni01,Ni,0.025600899381675098,8.895,22.772,30.764971864000003,0.5598699397470501
Ir01,Ir,0.024510884051532653,22.51,55.174,30.165146506000003,0.6143297295003652
Cu01,Cu,0.024961448206503523,8.949,22.338,29.57495145,0.5712277465310115
Fe01,Fe,0.025464022374777528,7.866,20.03,29.144419612,0.574678810179886
Ni02,Ni,0.02598988195615514,8.895,23.118,28.687657240000004,0.5900922970074957
Ir02,Ir,0.024700577521101733,22.51,55.601,28.050024332000003,0.6482458555516987
Cu02,Cu,0.024946921443736732,8.949,22.325,27.425426512,0.6032739268620134
Fe02,Fe,0.02544749555047038,7.866,20.017,26.969810538000004,0.6078754067999055
Ni03,Ni,0.025112984822934233,8.895,22.338,26.494301768,0.6226998509394991
Ir03,Ir,0.024719235895157707,22.51,55.643,25.82793972,0.6734293156139861
Cu03,Cu,0.024933512124259694,8.949,22.313,25.164998210000004,0.6418061266027272
Fe03,Fe,0.02535977625222477,7.866,19.948,24.679677066,0.6478735953267672
Ni04,Ni,0.02327599775154581,8.895,20.704,24.1916862,0.6597494236159362
Ir04,Ir,0.024877832074633496,22.51,56.0,23.4976211745,0.7209673854587603
Cu04,Cu,0.024901106268856856,8.949,22.284,22.785975432,0.6890350104576787
Ni05,Ni,0.024472175379426645,8.895,21.768,22.240238152,0.7038636956198444
Ir05,Ir,0.02450510884051533,22.51,55.161,21.49657488,0.7568015992315197
Cu05,Cu,0.025078779751927592,8.949,22.443,20.743450904000003,0.7368032578196047
Ni06,Ni,0.025700955593029793,8.895,22.861,20.140644249,0.7517321625041901
Ir06,Ir,0.02475832963127499,22.51,55.731,19.3216237104,0.8165104296287568
Cu06,Cu,0.0250262599173092,8.949,22.396,18.5049076245,0.7912860700213086
Ni07,Ni,0.025960652051714446,8.895,23.092,17.844899886000004,0.8192422085849747
Ir07,Ir,0.025182141270546424,22.51,56.685,16.939198008857144,0.8870322572378597
Cu07,Cu,0.024941334227287965,8.949,22.32,16.0341397392,0.8700605404900029
Ni08,Ni,0.02519280494659921,8.895,22.409,15.311748936,0.9042691613313306
Ir08,Ir,0.02577965348733896,22.51,58.03,14.298455042666665,0.9940389255759412
Cu08,Cu,0.025031847133757962,8.949,22.401,13.261134942,0.9888604798547957
Ni09,Ni,0.024441821247892074,8.895,21.741,12.43909463657143,1.03579874380385
Ir09,Ir,0.025175033318525098,22.51,56.669,11.29434295,1.1554221376169393
Cu09,Cu,0.025058665772712038,8.949,22.425,10.084370105333335,1.1864737137903123
Ni10,Ni,0.02596177627880832,8.895,23.093,9.034753453,1.290982423780656
Ir10,Ir,0.024462461128387382,22.51,55.065,7.5733148832,1.5037387279179089
Cu10,Cu,0.024934629567549448,8.949,22.314,5.960894405052631,1.706135700646045
SS02,SS_316,0.12862547288776796,7.93,102.0,1.8097473566732674,2.2588994548796606
