name,compound,thickness,density,ad,mu_E,sig_E
SS01,SS_316,0.12862547288776796,7.93,102.0,32.425633957612504,0.8499065532937885
Ni01,Ni,0.025600899381675098,8.895,22.772,31.199512652550005,0.5591113970982399
Ir01,Ir,0.024510884051532653,22.51,55.174,30.605733546300005,0.612632435728296
Cu01,Cu,0.024961448206503523,8.949,22.338,30.021637404825007,0.5702026695174723
Fe01,Fe,0.025464022374777528,7.866,20.03,29.595950081775005,0.5735086982551918
Ni02,Ni,0.02598988195615514,8.895,23.118,29.14451031937501,0.5885465547040484
Ir02,Ir,0.024700577521101733,22.51,55.601,28.514114343000003,0.6456003004076174
Cu02,Cu,0.024946921443736732,8.949,22.325,27.896792121000004,0.6012963192594908
Fe02,Fe,0.02544749555047038,7.866,20.017,27.44702026605,0.6057090882156332
Ni03,Ni,0.025112984822934233,8.895,22.338,26.97780547687501,0.6201017939376144
Ir03,Ir,0.024719235895157707,22.51,55.643,26.320047051993757,0.6697378441103061
Cu03,Cu,0.024933512124259694,8.949,22.313,25.665959580525,0.6385121181545911
Fe03,Fe,0.02535977625222477,7.866,19.948,25.187830336350004,0.644282925170071
Ni04,Ni,0.02327599775154581,8.895,20.704,24.707330408475002,0.6557114804399682
Ir04,Ir,0.024877832074633496,22.51,56.0,24.0236331748875,0.7154151611293239
Cu04,Cu,0.024901106268856856,8.949,22.284,23.323140123525,0.68380833865238
Ni05,Ni,0.024472175379426645,8.895,21.768,22.786897787775004,0.6979912754403766
Ir05,Ir,0.02450510884051533,22.51,55.161,22.055973622650004,0.7493666824318702
Cu05,Cu,0.025078779751927592,8.949,22.443,21.316457856375003,0.7292190961041459
Ni06,Ni,0.025700955593029793,8.895,22.861,20.725688035800008,0.7504484804723509
Ir06,Ir,0.02475832963127499,22.51,55.731,19.923430032,0.805807221089952
Cu06,Cu,0.0250262599173092,8.949,22.396,19.124247520743754,0.7802995297092937
Ni07,Ni,0.025960652051714446,8.895,23.092,18.4804345378125,0.8065358439541596
Ir07,Ir,0.025182141270546424,22.51,56.685,17.596914326887504,0.8750150083888572
Cu07,Cu,0.024941334227287965,8.949,22.32,16.715871363262504,0.8567581380892445
Ni08,Ni,0.02519280494659921,8.895,22.409,16.015919242455002,0.8844698103913088
Ir08,Ir,0.02577965348733896,22.51,58.03,15.034497670603129,0.9710305561322328
Cu08,Cu,0.025031847133757962,8.949,22.401,14.033484277312503,0.9601036622398679
Ni09,Ni,0.024441821247892074,8.895,21.741,13.245809526675,1.003093861934381
Ir09,Ir,0.025175033318525098,22.51,56.669,12.151634217525002,1.110622324911632
Cu09,Cu,0.025058665772712038,8.949,22.425,11.003680971731251,1.1298703252201694
Ni10,Ni,0.02596177627880832,8.895,23.093,10.023337108372502,1.214294771348446
Ir10,Ir,0.024462461128387382,22.51,55.065,8.673226816989706,1.3826815646820492
Cu10,Cu,0.024934629567549448,8.949,22.314,7.227702040185001,1.5063999315750156
SS02,SS_316,0.12862547288776796,7.93,102.0,2.957674070913159,2.6818733408588242
