name,compound,thickness,density,ad,mu_E,sig_E
SS01,SS_316,0.12862547288776796,7.93,102.0,32.435315352,0.8436980633708419
Ni01,Ni,0.025600899381675098,8.895,22.772,31.222241728425004,0.5575145680787554
Ir01,Ir,0.024510884051532653,22.51,55.174,30.634921147050008,0.61008869886441
Cu01,Cu,0.024961448206503523,8.949,22.338,30.057290769825002,0.5684113549771649
Fe01,Fe,0.025464022374777528,7.866,20.03,29.63644560855,0.5717250237254687
Ni02,Ni,0.02598988195615514,8.895,23.118,29.190127626000002,0.5864813920737505
Ir02,Ir,0.024700577521101733,22.51,55.601,28.566971715150004,0.6424739459603566
Cu02,Cu,0.024946921443736732,8.949,22.325,27.956859932925006,0.5990167527719767
Fe02,Fe,0.02544749555047038,7.866,20.017,27.512478561150004,0.6033540328011695
Ni03,Ni,0.025112984822934233,8.895,22.338,27.048974101875004,0.6174623386480554
Ir03,Ir,0.024719235895157707,22.51,55.643,26.399069413200003,0.6796743677807459
Cu03,Cu,0.024933512124259694,8.949,22.313,25.75340238735,0.6355292673229668
Fe03,Fe,0.02535977625222477,7.866,19.948,25.281439219575,0.6411649140876968
Ni04,Ni,0.02327599775154581,8.895,20.704,24.80727140595,0.6523303588997941
Ir04,Ir,0.024877832074633496,22.51,56.0,24.132660050193753,0.7108110936164369
Cu04,Cu,0.024901106268856856,8.949,22.284,23.441675533650002,0.6797513021445245
Ni05,Ni,0.024472175379426645,8.895,21.768,22.912998723450002,0.6935936016620571
Ir05,Ir,0.02450510884051533,22.51,55.161,22.192425427837502,0.7513849329098048
Cu05,Cu,0.025078779751927592,8.949,22.443,21.46397745195,0.7240065558375858
Ni06,Ni,0.025700955593029793,8.895,22.861,20.88240981255,0.7446316807131371
Ir06,Ir,0.02475832963127499,22.51,55.731,20.092795455150004,0.7985822780265889
Cu06,Cu,0.0250262599173092,8.949,22.396,19.30667963709375,0.7734351743936568
Ni07,Ni,0.025960652051714446,8.895,23.092,18.674130358743753,0.7988060363979542
Ir07,Ir,0.025182141270546424,22.51,56.685,17.8063809424875,0.8652915656686657
Cu07,Cu,0.024941334227287965,8.949,22.32,16.941847551750005,0.846946863897287
Ni08,Ni,0.02519280494659921,8.895,22.409,16.256176501455002,0.8734201700521573
Ir08,Ir,0.02577965348733896,22.51,58.03,15.295387240237503,0.956843272124643
Cu08,Cu,0.025031847133757962,8.949,22.401,14.316778691820003,0.9474885282814625
Ni09,Ni,0.024441821247892074,8.895,21.741,13.549214773462502,0.9854230571650348
Ir09,Ir,0.025175033318525098,22.51,56.669,12.484040752507504,1.0890304285491166
Cu09,Cu,0.025058665772712038,8.949,22.425,11.3701499566875,1.102661013514678
Ni10,Ni,0.02596177627880832,8.895,23.093,10.424563602750002,1.1802966630248877
Ir10,Ir,0.024462461128387382,22.51,55.065,9.127769241782815,1.3322369519557398
Cu10,Cu,0.024934629567549448,8.949,22.314,7.753859732596155,1.4300654252235019
SS02,SS_316,0.12862547288776796,7.93,102.0,3.5868817264500006,2.7811649688597933
