name,compound,thickness,density,ad,mu_E,sig_E
SS01,SS_316,0.12862547288776796,7.93,102.0,32.715040682185716,0.8607061557334702
Ni01,Ni,0.025600899381675098,8.895,22.772,31.4335835066,0.5631072882539173
Ir01,Ir,0.024510884051532653,22.51,55.174,30.8122752058,0.6208666275361373
Cu01,Cu,0.024961448206503523,8.949,22.338,30.200877752100002,0.5744842273265871
Fe01,Fe,0.025464022374777528,7.866,20.03,29.75517194485,0.5778902538345915
Ni02,Ni,0.02598988195615514,8.895,23.118,29.282239764249997,0.5939944524803413
Ir02,Ir,0.024700577521101733,22.51,55.601,28.62130382155,0.655692018492525
Cu02,Cu,0.024946921443736732,8.949,22.325,27.973655000500003,0.6072782505812175
Fe02,Fe,0.02544749555047038,7.866,20.017,27.501567057250004,0.6118126031333555
Ni03,Ni,0.025112984822934233,8.895,22.338,27.008748621800002,0.6273168256605187
Ir03,Ir,0.024719235895157707,22.51,55.643,26.3172865704375,0.6811280558968993
Cu03,Cu,0.024933512124259694,8.949,22.313,25.62915569115,0.6467848920389045
Fe03,Fe,0.02535977625222477,7.866,19.948,25.125645607150002,0.6528527933906475
Ni04,Ni,0.02327599775154581,8.895,20.704,24.6192946296,0.6651660943244788
Ir04,Ir,0.024877832074633496,22.51,56.0,23.898028784025,0.7302477968823636
Cu04,Cu,0.024901106268856856,8.949,22.284,23.1581723956,0.6953884609087856
Ni05,Ni,0.024472175379426645,8.895,21.768,22.591052525250003,0.7107873361150793
Ir05,Ir,0.02450510884051533,22.51,55.161,21.81725061945,0.7671163629993077
Cu05,Cu,0.025078779751927592,8.949,22.443,21.03309516495,0.7449815891324939
Ni06,Ni,0.025700955593029793,8.895,22.861,20.405464250737502,0.7605265869161023
Ir06,Ir,0.02475832963127499,22.51,55.731,19.551670856025,0.823913418328837
Cu06,Cu,0.0250262599173092,8.949,22.396,18.699206409675,0.8016926616543125
Ni07,Ni,0.025960652051714446,8.895,23.092,18.0101196053625,0.8311488526765495
Ir07,Ir,0.025182141270546424,22.51,56.685,17.063002843071427,0.9035949156265
Cu07,Cu,0.024941334227287965,8.949,22.32,16.11525387648,0.8846999998884004
Ni08,Ni,0.02519280494659921,8.895,22.409,15.357749733150001,0.9211067664673876
Ir08,Ir,0.02577965348733896,22.51,58.03,14.293106898033335,1.0178062602059896
Cu08,Cu,0.025031847133757962,8.949,22.401,13.200489693325,1.0121077431662586
Ni09,Ni,0.024441821247892074,8.895,21.741,12.3318336834,1.0632999418664666
Ir09,Ir,0.025175033318525098,22.51,56.669,11.118170154046155,1.1935791920596839
Cu09,Cu,0.025058665772712038,8.949,22.425,9.828274411065001,1.231005674059834
Ni10,Ni,0.02596177627880832,8.895,23.093,8.69847876353077,1.353252055712837
Ir10,Ir,0.024462461128387382,22.51,55.065,7.1079361716717395,1.6083318389586179
Cu10,Cu,0.024934629567549448,8.949,22.314,5.31311488599375,1.8632036226840316
SS02,SS_316,0.12862547288776796,7.93,102.0,1.2992938899861386,1.9711676948969696
