name,compound,thickness,density,ad,mu_E,sig_E
SS01,SS_316,0.12862547288776796,7.93,102.0,32.93827368843001,0.8401307072968416
Ni01,Ni,0.025600899381675098,8.895,22.772,31.733256995385002,0.5564773211132606
Ir01,Ir,0.024510884051532653,22.51,55.174,31.149744907545006,0.6085074619046559
Cu01,Cu,0.024961448206503523,8.949,22.338,30.575962509015007,0.5670796693570253
Fe01,Fe,0.025464022374777528,7.866,20.03,30.158364543120005,0.5702554128091908
Ni02,Ni,0.02598988195615514,8.895,23.118,29.715652761300007,0.5847407201562849
Ir02,Ir,0.024700577521101733,22.51,55.601,29.097237717075004,0.6400544963823628
Cu02,Cu,0.024946921443736732,8.949,22.325,28.491920326320006,0.5968604921248487
Fe02,Fe,0.02544749555047038,7.866,20.017,28.051573411785007,0.60097300124367
Ni03,Ni,0.025112984822934233,8.895,22.338,27.592473524880003,0.6147784596062935
Ir03,Ir,0.024719235895157707,22.51,55.643,26.948420138310006,0.6760898511615939
Cu03,Cu,0.024933512124259694,8.949,22.313,26.30883666444001,0.6321898648145271
Fe03,Fe,0.02535977625222477,7.866,19.948,25.841997729735006,0.6375441634738868
Ni04,Ni,0.02327599775154581,8.895,20.704,25.373213883435003,0.6483693557069609
Ir04,Ir,0.024877832074633496,22.51,56.0,24.705899369786252,0.7058196143766867
Cu04,Cu,0.024901106268856856,8.949,22.284,24.022749228555003,0.674764763163225
Ni05,Ni,0.024472175379426645,8.895,21.768,23.501040069705006,0.6880255491244419
Ir05,Ir,0.02450510884051533,22.51,55.161,22.789673581950005,0.7445647513068376
Cu05,Cu,0.025078779751927592,8.949,22.443,22.071069470505,0.7169750803552565
Ni06,Ni,0.025700955593029793,8.895,22.861,21.49859642139001,0.7367050396231221
Ir06,Ir,0.02475832963127499,22.51,55.731,20.721135422790006,0.7891527861601192
Cu06,Cu,0.0250262599173092,8.949,22.396,19.947751348965006,0.769797962600827
Ni07,Ni,0.025960652051714446,8.895,23.092,19.327459677198757,0.7875383865575394
Ir07,Ir,0.025182141270546424,22.51,56.685,18.476246254950006,0.8516228548139552
Cu07,Cu,0.024941334227287965,8.949,22.32,17.62951399704,0.832147729677169
Ni08,Ni,0.02519280494659921,8.895,22.409,16.960412247322505,0.8605324833359183
Ir08,Ir,0.02577965348733896,22.51,58.03,16.023296675712864,0.9388565763904503
Cu08,Cu,0.025031847133757962,8.949,22.401,15.071425429104004,0.923842484883713
Ni09,Ni,0.024441821247892074,8.895,21.741,14.329084851510004,0.9577431779426754
Ir09,Ir,0.025175033318525098,22.51,56.669,13.300156994355003,1.0536115801226078
Cu09,Cu,0.025058665772712038,8.949,22.425,12.229563081285002,1.0613793646341318
Ni10,Ni,0.02596177627880832,8.895,23.093,11.3306813257275,1.1272159260190766
Ir10,Ir,0.024462461128387382,22.51,55.065,10.104301307571431,1.257624303582406
Cu10,Cu,0.024934629567549448,8.949,22.314,8.824379873040002,1.3212952279866057
SS02,SS_316,0.12862547288776796,7.93,102.0,4.9452031096836935,2.8068738179804456
