name,compound,thickness,density,ad,mu_E,sig_E
SS01,SS_316,0.12862547288776796,7.93,102.0,32.700057225660004,0.8353744782956837
Ni01,Ni,0.025600899381675098,8.895,22.772,31.50726121356,0.5567979860832812
Ir01,Ir,0.024510884051532653,22.51,55.174,30.929903957040004,0.6077888689266913
Cu01,Cu,0.024961448206503523,8.949,22.338,30.3622486794,0.5674368165434507
Fe01,Fe,0.025464022374777528,7.866,20.03,29.94892219044,0.5706528470026214
Ni02,Ni,0.02598988195615514,8.895,23.118,29.510836415280004,0.5849334717818834
Ir02,Ir,0.024700577521101733,22.51,55.601,28.899081354000003,0.639173570835521
Cu02,Cu,0.024946921443736732,8.949,22.325,28.300327422840002,0.5970859730716487
Fe02,Fe,0.02544749555047038,7.866,20.017,27.86464023684,0.6012437545022378
Ni03,Ni,0.025112984822934233,8.895,22.338,27.4104049098,0.6148735958911694
Ir03,Ir,0.024719235895157707,22.51,55.643,26.773449549000002,0.6749903520601999
Cu03,Cu,0.024933512124259694,8.949,22.313,26.1409600848,0.6322717294371735
Fe03,Fe,0.02535977625222477,7.866,19.948,25.67919562164,0.6376465928149688
Ni04,Ni,0.02327599775154581,8.895,20.704,25.215508992960004,0.6483618671433368
Ir04,Ir,0.024877832074633496,22.51,56.0,24.55574254749,0.7047159906691048
Cu04,Cu,0.024901106268856856,8.949,22.284,23.88038572128,0.6745969726799643
Ni05,Ni,0.024472175379426645,8.895,21.768,23.36456709048,0.6877579403364719
Ir05,Ir,0.02450510884051533,22.51,55.161,22.6614561525,0.7432300349125743
Cu05,Cu,0.025078779751927592,8.949,22.443,21.951318195840003,0.7165410941252749
Ni06,Ni,0.025700955593029793,8.895,22.861,21.385499385360003,0.7360270180623079
Ir06,Ir,0.02475832963127499,22.51,55.731,20.617384760280004,0.7875219508742711
Cu06,Cu,0.0250262599173092,8.949,22.396,19.853465584920002,0.7688926301283284
Ni07,Ni,0.025960652051714446,8.895,23.092,19.240774725150004,0.7864856268829454
Ir07,Ir,0.025182141270546424,22.51,56.685,18.40031331006,0.8493724959342162
Cu07,Cu,0.024941334227287965,8.949,22.32,17.564535706410002,0.830717957236121
Ni08,Ni,0.02519280494659921,8.895,22.409,16.904130814890006,0.8586814888575685
Ir08,Ir,0.02577965348733896,22.51,58.03,15.979704651617144,0.935466849820713
Cu08,Cu,0.025031847133757962,8.949,22.401,15.041130696504002,0.9212238903993486
Ni09,Ni,0.024441821247892074,8.895,21.741,14.309442573360002,0.9545793815999658
Ir09,Ir,0.025175033318525098,22.51,56.669,13.295887052360001,1.050157699688084
Cu09,Cu,0.025058665772712038,8.949,22.425,12.242302587051428,1.0562124789343026
Ni10,Ni,0.02596177627880832,8.895,23.093,11.358498577635,1.1204400017870002
Ir10,Ir,0.024462461128387382,22.51,55.065,10.15410125146154,1.2480574844032533
Cu10,Cu,0.024934629567549448,8.949,22.314,8.8997507874,1.308050123593076
SS02,SS_316,0.12862547288776796,7.93,102.0,5.11648129124,2.7684198887978106
