name,compound,thickness,density,ad,mu_E,sig_E
SS01,SS_316,0.12862547288776796,7.93,102.0,32.648766869400006,0.8637476222488695
Ni01,Ni,0.025600899381675098,8.895,22.772,31.391001783900006,0.5608803970539475
Ir01,Ir,0.024510884051532653,22.51,55.174,30.781394275500006,0.6168790598592678
Cu01,Cu,0.024961448206503523,8.949,22.338,30.181581771,0.5721181311191733
Fe01,Fe,0.025464022374777528,7.866,20.03,29.744462744699998,0.5754963688342913
Ni02,Ni,0.02598988195615514,8.895,23.118,29.2807082799,0.591110094490283
Ir02,Ir,0.024700577521101733,22.51,55.601,28.632837598200002,0.6508285986934251
Cu02,Cu,0.024946921443736732,8.949,22.325,27.9981615804,0.6041121696746643
Fe02,Fe,0.02544749555047038,7.866,20.017,27.5356637556,0.6085603558253393
Ni03,Ni,0.025112984822934233,8.895,22.338,27.0530504904,0.6235330911653748
Ir03,Ir,0.024719235895157707,22.51,55.643,26.37608396445,0.6755714581152841
Cu03,Cu,0.024933512124259694,8.949,22.313,25.702617237000005,0.642516522548485
Fe03,Fe,0.02535977625222477,7.866,19.948,25.2101302035,0.6484131253827798
Ni04,Ni,0.02327599775154581,8.895,20.704,24.714993006000004,0.6602724984504776
Ir04,Ir,0.024877832074633496,22.51,56.0,24.010075903275002,0.7230373396796412
Cu04,Cu,0.024901106268856856,8.949,22.284,23.287354091100003,0.6895072676027694
Ni05,Ni,0.024472175379426645,8.895,21.768,22.733741507400005,0.7043402501656766
Ir05,Ir,0.02450510884051533,22.51,55.161,21.97871290296,0.7584176121177293
Cu05,Cu,0.025078779751927592,8.949,22.443,21.2141487459,0.7370474435095216
Ni06,Ni,0.025700955593029793,8.895,22.861,20.6028970587,0.7518507116731266
Ir06,Ir,0.02475832963127499,22.51,55.731,19.7716667247,0.8179263396586136
Cu06,Cu,0.0250262599173092,8.949,22.396,18.942954116625,0.790908221916217
Ni07,Ni,0.025960652051714446,8.895,23.092,18.274180070025004,0.8188480105644944
Ir07,Ir,0.025182141270546424,22.51,56.685,17.355582362957144,0.8876850761446904
Cu07,Cu,0.024941334227287965,8.949,22.32,16.437902502780002,0.8688101600343648
Ni08,Ni,0.02519280494659921,8.895,22.409,15.706578616740002,0.9027293340949676
Ir08,Ir,0.02577965348733896,22.51,58.03,14.6799580191,0.9934690180539845
Cu08,Cu,0.025031847133757962,8.949,22.401,13.62947326125,0.9858492379737326
Ni09,Ni,0.024441821247892074,8.895,21.741,12.798762465342858,1.031862780076727
Ir09,Ir,0.025175033318525098,22.51,56.669,11.641249977225002,1.1516422513571822
Cu09,Cu,0.025058665772712038,8.949,22.425,10.4192640178,1.178672047952838
Ni10,Ni,0.02596177627880832,8.895,23.093,9.3630736953,1.2803546713163767
Ir10,Ir,0.024462461128387382,22.51,55.065,7.894195153515001,1.4857687587580315
Cu10,Cu,0.024934629567549448,8.949,22.314,6.282127633736842,1.673043373508367
SS02,SS_316,0.12862547288776796,7.93,102.0,1.9953929610891092,2.371253039102544
