name,compound,thickness,density,ad,mu_E,sig_E
SS01,SS_316,0.12862547288776796,7.93,102.0,32.9589695468,0.8729207922665552
Ni01,Ni,0.025600899381675098,8.895,22.772,31.678846777599997,0.5609500487352435
Ir01,Ir,0.024510884051532653,22.51,55.174,31.0579711618,0.6188405111662666
Cu01,Cu,0.024961448206503523,8.949,22.338,30.4470630002,0.5721880162095523
Fe01,Fe,0.025464022374777528,7.866,20.03,30.0018239114,0.5755115225324103
Ni02,Ni,0.02598988195615514,8.895,23.118,29.5295695706,0.5915104811562849
Ir02,Ir,0.024700577521101733,22.51,55.601,28.869434145200003,0.6532681313708065
Cu02,Cu,0.024946921443736732,8.949,22.325,28.222607617599998,0.6045279683886164
Fe02,Fe,0.02544749555047038,7.866,20.017,27.7513161002,0.6089962127515602
Ni03,Ni,0.025112984822934233,8.895,22.338,27.259391066600003,0.6243688407556887
Ir03,Ir,0.024719235895157707,22.51,55.643,26.5691567031,0.6781235881227937
Cu03,Cu,0.024933512124259694,8.949,22.313,25.8823340292,0.643510942238515
Fe03,Fe,0.02535977625222477,7.866,19.948,25.3800445382,0.6493822333282832
Ni04,Ni,0.02327599775154581,8.895,20.704,24.875009561599995,0.6614640385159997
Ir04,Ir,0.024877832074633496,22.51,56.0,24.15558441615,0.7263821395027245
Cu04,Cu,0.024901106268856856,8.949,22.284,23.4178075032,0.6913426057856682
Ni05,Ni,0.024472175379426645,8.895,21.768,22.852563320399998,0.7064346841478375
Ir05,Ir,0.02450510884051533,22.51,55.161,22.081381477319997,0.7623417512279227
Cu05,Cu,0.025078779751927592,8.949,22.443,21.3000220312,0.7398263472103342
Ni06,Ni,0.025700955593029793,8.895,22.861,20.675222723100003,0.7549072895543125
Ir06,Ir,0.02475832963127499,22.51,55.731,19.825219724199993,0.8177578504635734
Cu06,Cu,0.0250262599173092,8.949,22.396,18.97687719345,0.7948590158532715
Ni07,Ni,0.025960652051714446,8.895,23.092,18.2920747152,0.8237399930416713
Ir07,Ir,0.025182141270546424,22.51,56.685,17.350744681285715,0.8951533138656569
Cu07,Cu,0.024941334227287965,8.949,22.32,16.40946705024,0.8751716907270096
Ni08,Ni,0.02519280494659921,8.895,22.409,15.658563641159999,0.9104607434455358
Ir08,Ir,0.02577965348733896,22.51,58.03,14.603275673066666,1.0052045508187464
Cu08,Cu,0.025031847133757962,8.949,22.401,13.5218640711,0.9972923253143614
Ni09,Ni,0.024441821247892074,8.895,21.741,12.66468128357143,1.0458689781368729
Ir09,Ir,0.025175033318525098,22.51,56.669,11.46809666805,1.1725978853214492
Cu09,Cu,0.025058665772712038,8.949,22.425,10.20058499328,1.2022817204205007
Ni10,Ni,0.02596177627880832,8.895,23.093,9.09828588295,1.3140903185963881
Ir10,Ir,0.024462461128387382,22.51,55.065,7.555605570228571,1.5439627870059274
Cu10,Cu,0.024934629567549448,8.949,22.314,5.838285195914285,1.7663745740023145
SS02,SS_316,0.12862547288776796,7.93,102.0,1.617185252590099,2.1824282287770327
