name,compound,thickness,density,ad,mu_E,sig_E
SS01,SS_316,0.12862547288776796,7.93,102.0,33.03456275163,0.8323019096298562
Ni01,Ni,0.025600899381675098,8.895,22.772,31.8479795447,0.5555863989333949
Ir01,Ir,0.024510884051532653,22.51,55.174,31.27356696728,0.6061640985088992
Cu01,Cu,0.024961448206503523,8.949,22.338,30.70887532592,0.5659752747627452
Fe01,Fe,0.025464022374777528,7.866,20.03,30.29803568066,0.5691122036077984
Ni02,Ni,0.02598988195615514,8.895,23.118,29.86264195398,0.5831926092812992
Ir02,Ir,0.024700577521101733,22.51,55.601,29.254482155799998,0.6369580352507281
Cu02,Cu,0.024946921443736732,8.949,22.325,28.65938804564,0.5950193260484183
Fe02,Fe,0.02544749555047038,7.866,20.017,28.22672847456,0.5990961084296991
Ni03,Ni,0.025112984822934233,8.895,22.338,27.775709318279997,0.6124873111134768
Ir03,Ir,0.024719235895157707,22.51,55.643,27.14310638204,0.6719847924874699
Cu03,Cu,0.024933512124259694,8.949,22.313,26.515112671079997,0.6293856636266368
Fe03,Fe,0.02535977625222477,7.866,19.948,26.057069028100003,0.6345793799496241
Ni04,Ni,0.02327599775154581,8.895,20.704,25.59727127452,0.6450416335152735
Ir04,Ir,0.024877832074633496,22.51,56.0,24.942810270015,0.7006599032317438
Cu04,Cu,0.024901106268856856,8.949,22.284,24.273192546679997,0.6705479642830118
Ni05,Ni,0.024472175379426645,8.895,21.768,23.76232069398,0.683346927447557
Ir05,Ir,0.02450510884051533,22.51,55.161,23.065795217684997,0.7379667786543462
Cu05,Cu,0.025078779751927592,8.949,22.443,22.36265205834,0.7111405338980108
Ni06,Ni,0.025700955593029793,8.895,22.861,21.80320956066,0.7300326404850234
Ir06,Ir,0.02475832963127499,22.51,55.731,21.043610000424003,0.7805215480428586
Cu06,Cu,0.0250262599173092,8.949,22.396,20.28867758896,0.7614958237232993
Ni07,Ni,0.025960652051714446,8.895,23.092,19.684298130255,0.7783104576294908
Ir07,Ir,0.025182141270546424,22.51,56.685,18.85517774327,0.839640908135062
Cu07,Cu,0.024941334227287965,8.949,22.32,18.031526477579998,0.8202678984170426
Ni08,Ni,0.02519280494659921,8.895,22.409,17.382291560204997,0.8468756448152402
Ir08,Ir,0.02577965348733896,22.51,58.03,16.47359925599143,0.9211024418945665
Cu08,Cu,0.025031847133757962,8.949,22.401,15.552527104751999,0.9053216121422912
Ni09,Ni,0.024441821247892074,8.895,21.741,14.83700046048,0.9387234627571217
Ir09,Ir,0.025175033318525098,22.51,56.669,13.846711660026667,1.027204483092659
Cu09,Cu,0.025058665772712038,8.949,22.425,12.82015961215,1.0310740434720969
Ni10,Ni,0.02596177627880832,8.895,23.093,11.96472639351,1.0872709051724088
Ir10,Ir,0.024462461128387382,22.51,55.065,10.801744131749999,1.2047450422834654
Cu10,Cu,0.024934629567549448,8.949,22.314,9.599584717272,1.2497570804502773
SS02,SS_316,0.12862547288776796,7.93,102.0,6.076221049728,2.6299078064382155
