name,compound,thickness,density,ad,mu_E,sig_E
SS01,SS_316,0.12862547288776796,7.93,102.0,33.5466369194,0.8704672515205193
Ni01,Ni,0.025600899381675098,8.895,22.772,32.27451397335,0.5618132651526535
Ir01,Ir,0.024510884051532653,22.51,55.174,31.6574640492,0.6189084025551848
Cu01,Cu,0.024961448206503523,8.949,22.338,31.050404363000002,0.5727034674453196
Fe01,Fe,0.025464022374777528,7.866,20.03,30.60867204175,0.5759140568045046
Ni02,Ni,0.02598988195615514,8.895,23.118,30.14004274875,0.591588910442863
Ir02,Ir,0.024700577521101733,22.51,55.601,29.484801498350002,0.6524428445689459
Cu02,Cu,0.024946921443736732,8.949,22.325,28.8429938698,0.6041744445618032
Fe02,Fe,0.02544749555047038,7.866,20.017,28.376041791899997,0.6084701601286765
Ni03,Ni,0.025112984822934233,8.895,22.338,27.88883753755,0.6233764558548681
Ir03,Ir,0.024719235895157707,22.51,55.643,27.204830250675002,0.6762555539504622
Cu03,Cu,0.024933512124259694,8.949,22.313,26.524471678650002,0.6418653001764323
Fe03,Fe,0.02535977625222477,7.866,19.948,26.027831188150003,0.6474655277324107
Ni04,Ni,0.02327599775154581,8.895,20.704,25.5287398619,0.6591985960561174
Ir04,Ir,0.024877832074633496,22.51,56.0,24.817350851700002,0.7227794610654498
Cu04,Cu,0.024901106268856856,8.949,22.284,24.08832066355,0.6877828363745228
Ni05,Ni,0.024472175379426645,8.895,21.768,23.530924795950003,0.7022552952719726
Ir05,Ir,0.02450510884051533,22.51,55.161,22.769956818840004,0.7568185631049869
Cu05,Cu,0.025078779751927592,8.949,22.443,21.9999272251,0.7339963769917106
Ni06,Ni,0.025700955593029793,8.895,22.861,21.385404415649997,0.7559016940058836
Ir06,Ir,0.02475832963127499,22.51,55.731,20.5495892283,0.8145547065255264
Cu06,Cu,0.0250262599173092,8.949,22.396,19.716641415075003,0.7857113537922774
Ni07,Ni,0.025960652051714446,8.895,23.092,19.046319171,0.8126987625945411
Ir07,Ir,0.025182141270546424,22.51,56.685,18.124876368500004,0.8852665795561406
Cu07,Cu,0.024941334227287965,8.949,22.32,17.2054769085375,0.8638251680033002
Ni08,Ni,0.02519280494659921,8.895,22.409,16.475558116710005,0.8921454853720892
Ir08,Ir,0.02577965348733896,22.51,58.03,15.450320565075002,0.9838298255706109
Cu08,Cu,0.025031847133757962,8.949,22.401,14.403639940525,0.9696331783763488
Ni09,Ni,0.024441821247892074,8.895,21.741,13.580310649400001,1.0140455755951234
Ir09,Ir,0.025175033318525098,22.51,56.669,12.433841885700001,1.1280284647317171
Cu09,Cu,0.025058665772712038,8.949,22.425,11.2290919818,1.1456545683098862
Ni10,Ni,0.02596177627880832,8.895,23.093,10.19923337763,1.2342918713180895
Ir10,Ir,0.024462461128387382,22.51,55.065,8.775338773208333,1.413793264882511
Cu10,Cu,0.024934629567549448,8.949,22.314,7.242645469640626,1.5472697073710158
SS02,SS_316,0.12862547288776796,7.93,102.0,2.7796585324559406,2.6944132343216607
