name,compound,thickness,density,ad,mu_E,sig_E
SS01,SS_316,0.12862547288776796,7.93,102.0,33.270990438400005,0.8840064898073995
Ni01,Ni,0.025600899381675098,8.895,22.772,31.968808872000004,0.564290783119944
Ir01,Ir,0.024510884051532653,22.51,55.174,31.336851145600004,0.6237725206234978
Cu01,Cu,0.024961448206503523,8.949,22.338,30.714932248000004,0.5756567690580097
Fe01,Fe,0.025464022374777528,7.866,20.03,30.261853336,0.5789529272308133
Ni02,Ni,0.02598988195615514,8.895,23.118,29.781134926400007,0.5954359853755185
Ir02,Ir,0.024700577521101733,22.51,55.601,29.10881733760001,0.6588698456441057
Cu02,Cu,0.024946921443736732,8.949,22.325,28.450063470400003,0.6084861057542106
Fe02,Fe,0.02544749555047038,7.866,20.017,27.9701657664,0.613022790746025
Ni03,Ni,0.025112984822934233,8.895,22.338,27.469238368000003,0.6287272722247641
Ir03,Ir,0.024719235895157707,22.51,55.643,26.765852599200002,0.6840758939762958
Cu03,Cu,0.024933512124259694,8.949,22.313,26.065811200000002,0.6482071337621147
Fe03,Fe,0.02535977625222477,7.866,19.948,25.553976905600003,0.6541586229252174
Ni04,Ni,0.02327599775154581,8.895,20.704,25.039215572800003,0.6665732260434708
Ir04,Ir,0.024877832074633496,22.51,56.0,24.3054341244,0.7334336101008989
Cu04,Cu,0.024901106268856856,8.949,22.284,23.552843142400004,0.6970440197098239
Ni05,Ni,0.024472175379426645,8.895,21.768,22.976263481600004,0.7125282012088101
Ir05,Ir,0.02450510884051533,22.51,55.161,22.188919758720008,0.7702039943473343
Cu05,Cu,0.025078779751927592,8.949,22.443,21.3910098688,0.7467347736442217
Ni06,Ni,0.025700955593029793,8.895,22.861,20.752835532000006,0.7622743523982458
Ir06,Ir,0.02475832963127499,22.51,55.731,19.8841457672,0.8271886545242382
Cu06,Cu,0.0250262599173092,8.949,22.396,19.016654514000003,0.8035407293327101
Ni07,Ni,0.025960652051714446,8.895,23.092,18.315953884800003,0.8333330550194277
Ir07,Ir,0.025182141270546424,22.51,56.685,17.35209757097143,0.9073463991530804
Cu07,Cu,0.024941334227287965,8.949,22.32,16.387470665280002,0.8867221518355012
Ni08,Ni,0.02519280494659921,8.895,22.409,15.617114198400001,0.923443309157806
Ir08,Ir,0.02577965348733896,22.51,58.03,14.533224153066667,1.0222812260161163
Cu08,Cu,0.025031847133757962,8.949,22.401,13.4208672312,1.014777863603371
Ni09,Ni,0.024441821247892074,8.895,21.741,12.537139733485713,1.0662660272221396
Ir09,Ir,0.025175033318525098,22.51,56.669,11.3011297872,1.1990768298424594
Cu09,Cu,0.025058665772712038,8.949,22.425,9.987214036800001,1.2350818887716615
Ni10,Ni,0.02596177627880832,8.895,23.093,8.8370921232,1.358332601994279
Ir10,Ir,0.024462461128387382,22.51,55.065,7.216021135304349,1.616825266434628
Cu10,Cu,0.024934629567549448,8.949,22.314,5.384477012200001,1.8749975077459538
SS02,SS_316,0.12862547288776796,7.93,102.0,1.2992131084039604,1.9839048225576785
