name,compound,thickness,density,ad,mu_E,sig_E
SS01,SS_316,0.12862547288776796,7.93,102.0,31.72437435768857,0.8596554629832941
Ni01,Ni,0.025600899381675098,8.895,22.772,30.44452338136,0.563078786074968
Ir01,Ir,0.024510884051532653,22.51,55.174,29.824445627460005,0.6206845384320685
Cu01,Cu,0.024961448206503523,8.949,22.338,29.214012283885005,0.5749884989093008
Fe01,Fe,0.025464022374777528,7.866,20.03,28.768166606795003,0.5786007556299868
Ni02,Ni,0.02598988195615514,8.895,23.118,28.294908135285006,0.5949381060231214
Ir02,Ir,0.024700577521101733,22.51,55.601,27.634158326885007,0.6566155798574386
Cu02,Cu,0.024946921443736732,8.949,22.325,26.986460215055004,0.6088940907796653
Fe02,Fe,0.02544749555047038,7.866,20.017,26.513292402465,0.6137974687848751
Ni03,Ni,0.025112984822934233,8.895,22.338,26.019067767440003,0.6296291533831431
Ir03,Ir,0.024719235895157707,22.51,55.643,25.326394697752498,0.6836710856605052
Cu03,Cu,0.024933512124259694,8.949,22.313,24.636645203555005,0.6501509630405041
Fe03,Fe,0.02535977625222477,7.866,19.948,24.130657595495,0.6566902772336828
Ni04,Ni,0.02327599775154581,8.895,20.704,23.621402248675004,0.6695260542550961
Ir04,Ir,0.024877832074633496,22.51,56.0,22.8969624855675,0.7351262391133477
Cu04,Cu,0.024901106268856856,8.949,22.284,22.153210996895,0.701370592956856
Ni05,Ni,0.024472175379426645,8.895,21.768,21.581265072400004,0.7176066213403921
Ir05,Ir,0.02450510884051533,22.51,55.161,20.801612540049003,0.7747773578476321
Cu05,Cu,0.025078779751927592,8.949,22.443,20.010593628135002,0.7540688540097563
Ni06,Ni,0.025700955593029793,8.895,22.861,19.37508922292625,0.7708346330736429
Ir06,Ir,0.02475832963127499,22.51,55.731,18.51117909058,0.8359476493474589
Cu06,Cu,0.0250262599173092,8.949,22.396,17.64712062762,0.8157605626343587
Ni07,Ni,0.025960652051714446,8.895,23.092,16.94538036675,0.8430296674200284
Ir07,Ir,0.025182141270546424,22.51,56.685,15.98081578636125,0.9202338035311552
Cu07,Cu,0.024941334227287965,8.949,22.32,15.012796531227,0.9078796940060947
Ni08,Ni,0.02519280494659921,8.895,22.409,14.233797485490001,0.9457507517368199
Ir08,Ir,0.02577965348733896,22.51,58.03,13.137871225132502,1.0505640666570644
Cu08,Cu,0.025031847133757962,8.949,22.401,12.007011924977144,1.0529772355734366
Ni09,Ni,0.024441821247892074,8.895,21.741,11.096820188602504,1.1152941490817165
Ir09,Ir,0.025175033318525098,22.51,56.669,9.819789647646001,1.2652387231860978
Cu09,Cu,0.025058665772712038,8.949,22.425,8.442638918518751,1.332811432443816
Ni10,Ni,0.02596177627880832,8.895,23.093,7.195246803321178,1.5128723907377468
Ir10,Ir,0.024462461128387382,22.51,55.065,5.391099847894839,1.8727655298956245
Cu10,Cu,0.024934629567549448,8.949,22.314,3.328181278503293,2.0643168128598517
SS02,SS_316,0.12862547288776796,7.93,102.0,0.49912169759361386,1.188516108920913
