name,compound,thickness,density,ad,mu_E,sig_E
SS01,SS_316,0.12862547288776796,7.93,102.0,31.602286247400002,0.8791663229379965
Ni01,Ni,0.025600899381675098,8.895,22.772,30.276182633400005,0.5655206226726248
Ir01,Ir,0.024510884051532653,22.51,55.174,29.633103304200006,0.6268514582571045
Cu01,Cu,0.024961448206503523,8.949,22.338,28.999670337,0.577880738270535
Fe01,Fe,0.025464022374777528,7.866,20.03,28.5366392982,0.5816529919229468
Ni02,Ni,0.02598988195615514,8.895,23.118,28.044755857800002,0.5990732792359899
Ir02,Ir,0.024700577521101733,22.51,55.601,27.35809175385,0.6497621757746823
Cu02,Cu,0.024946921443736732,8.949,22.325,26.6839969968,0.6137687009551113
Fe02,Fe,0.02544749555047038,7.866,20.017,26.1910480788,0.6189370816534077
Ni03,Ni,0.025112984822934233,8.895,22.338,25.6757981832,0.6358696921117812
Ir03,Ir,0.024719235895157707,22.51,55.643,24.953391247950005,0.6937107459200684
Cu03,Cu,0.024933512124259694,8.949,22.313,24.233310961200004,0.6577604311723747
Fe03,Fe,0.02535977625222477,7.866,19.948,23.704094640600005,0.6647987114275936
Ni04,Ni,0.02327599775154581,8.895,20.704,23.170884303600005,0.6785244992371131
Ir04,Ir,0.024877832074633496,22.51,56.0,22.412335995720003,0.7404905026624637
Cu04,Cu,0.024901106268856856,8.949,22.284,21.632062617000006,0.7132531750146841
Ni05,Ni,0.024472175379426645,8.895,21.768,21.030615322200003,0.7310458485503891
Ir05,Ir,0.02450510884051533,22.51,55.161,20.210094028080004,0.7930947158390173
Cu05,Cu,0.025078779751927592,8.949,22.443,19.376131381200004,0.7639399856585611
Ni06,Ni,0.025700955593029793,8.895,22.861,18.703262511450003,0.7901059353734452
Ir06,Ir,0.02475832963127499,22.51,55.731,17.787905373857146,0.8577624380905476
Cu06,Cu,0.0250262599173092,8.949,22.396,16.869610573200006,0.8371579768744514
Ni07,Ni,0.025960652051714446,8.895,23.092,16.119341932320005,0.8726763055652738
Ir07,Ir,0.025182141270546424,22.51,56.685,15.086290118625003,0.9596933335656181
Cu07,Cu,0.024941334227287965,8.949,22.32,14.044374204300002,0.9468646144569381
Ni08,Ni,0.02519280494659921,8.895,22.409,13.197661536085716,0.9935328726236442
Ir08,Ir,0.02577965348733896,22.51,58.03,12.001436340300002,1.1160297091483449
Cu08,Cu,0.025031847133757962,8.949,22.401,10.754007349800002,1.130761050025299
Ni09,Ni,0.024441821247892074,8.895,21.741,9.7293929436,1.2163710399316419
Ir09,Ir,0.025175033318525098,22.51,56.669,8.272059647210526,1.4212319860183285
Cu09,Cu,0.025058665772712038,8.949,22.425,6.642890162700001,1.5749807900444261
Ni10,Ni,0.02596177627880832,8.895,23.093,5.050873524400001,1.903182720156579
Ir10,Ir,0.024462461128387382,22.51,55.065,2.8365085228218754,2.092676320825999
Cu10,Cu,0.024934629567549448,8.949,22.314,0.9814669645544556,1.4702900091808615
SS02,SS_316,0.12862547288776796,7.93,102.0,0.08355903684950494,0.3611884716619799
