name,compound,thickness,density,ad,mu_E,sig_E
SS01,SS_316,0.12862547288776796,7.93,102.0,30.87321882975,0.8750023848322037
Ni01,Ni,0.025600899381675098,8.895,22.772,29.556151559550006,0.5651924554749032
Ir01,Ir,0.024510884051532653,22.51,55.174,28.917873369000002,0.625733919222213
Cu01,Cu,0.024961448206503523,8.949,22.338,28.288992505950002,0.5778695121013786
Fe01,Fe,0.025464022374777528,7.866,20.03,27.828745035300006,0.5817761655378191
Ni02,Ni,0.02598988195615514,8.895,23.118,27.339689594250004,0.5992467288406842
Ir02,Ir,0.024700577521101733,22.51,55.601,26.657430474262505,0.6494367739004104
Cu02,Cu,0.024946921443736732,8.949,22.325,25.987581892800005,0.6142804884368374
Fe02,Fe,0.02544749555047038,7.866,20.017,25.496992867500005,0.6197372450476053
Ni03,Ni,0.025112984822934233,8.895,22.338,24.98397796620001,0.6367985776327836
Ir03,Ir,0.024719235895157707,22.51,55.643,24.265430635050002,0.6942098046268254
Cu03,Cu,0.024933512124259694,8.949,22.313,23.548892820750005,0.6593515624585515
Fe03,Fe,0.02535977625222477,7.866,19.948,23.021311104000006,0.6667132677001323
Ni04,Ni,0.02327599775154581,8.895,20.704,22.489534752300003,0.6808882929826542
Ir04,Ir,0.024877832074633496,22.51,56.0,21.733803760680004,0.7425290840074539
Cu04,Cu,0.024901106268856856,8.949,22.284,20.955896864100005,0.7164702353495964
Ni05,Ni,0.024472175379426645,8.895,21.768,20.354981511150008,0.7347946047006685
Ir05,Ir,0.02450510884051533,22.51,55.161,19.536033686400003,0.791494152337557
Cu05,Cu,0.025078779751927592,8.949,22.443,18.702728171325003,0.7692809939970185
Ni06,Ni,0.025700955593029793,8.895,22.861,18.028706239912502,0.7963528057469375
Ir06,Ir,0.02475832963127499,22.51,55.731,17.11232822050715,0.8646729240289088
Cu06,Cu,0.0250262599173092,8.949,22.396,16.19192524257,0.8461301026191794
Ni07,Ni,0.025960652051714446,8.895,23.092,15.437281233330003,0.8833353849841733
Ir07,Ir,0.025182141270546424,22.51,56.685,14.398474868250002,0.9698448805423027
Cu07,Cu,0.024941334227287965,8.949,22.32,13.348244091600002,0.9631484202543504
Ni08,Ni,0.02519280494659921,8.895,22.409,12.490217797435715,1.0136500329283036
Ir08,Ir,0.02577965348733896,22.51,58.03,11.276955486415387,1.1410129476573874
Cu08,Cu,0.025031847133757962,8.949,22.401,10.005217862310001,1.1655835310706346
Ni09,Ni,0.024441821247892074,8.895,21.741,8.948490971062501,1.2652119118414509
Ir09,Ir,0.025175033318525098,22.51,56.669,7.434744549075001,1.5007235331713003
Cu09,Cu,0.025058665772712038,8.949,22.425,5.704416458164286,1.714460219446247
Ni10,Ni,0.02596177627880832,8.895,23.093,3.9789183039375007,2.030592621117295
Ir10,Ir,0.024462461128387382,22.51,55.065,1.852599035606436,1.8887595843780884
Cu10,Cu,0.024934629567549448,8.949,22.314,0.4774899244009902,1.0309986459914162
SS02,SS_316,0.12862547288776796,7.93,102.0,0.04878312732623763,0.19870371658109198
