name,compound,thickness,density,ad,mu_E,sig_E
SS01,SS_316,0.12862547288776796,7.93,102.0,30.703367340525,0.8768009042087256
Ni01,Ni,0.025600899381675098,8.895,22.772,29.3840022861,0.5667509190149485
Ir01,Ir,0.024510884051532653,22.51,55.174,28.7445960571,0.6274292186151038
Cu01,Cu,0.024961448206503523,8.949,22.338,28.114646159599996,0.579667474046015
Fe01,Fe,0.025464022374777528,7.866,20.03,27.653335973725,0.5836682196672983
Ni02,Ni,0.02598988195615514,8.895,23.118,27.163175125625003,0.6012097377908077
Ir02,Ir,0.024700577521101733,22.51,55.601,26.47950110334375,0.6515342582218526
Cu02,Cu,0.024946921443736732,8.949,22.325,25.808144229175,0.6165648585967286
Fe02,Fe,0.02544749555047038,7.866,20.017,25.316188990400004,0.6221068207539352
Ni03,Ni,0.025112984822934233,8.895,22.338,24.801711852225,0.6392949255014599
Ir03,Ir,0.024719235895157707,22.51,55.643,24.081187543875,0.6969519143922999
Cu03,Cu,0.024933512124259694,8.949,22.313,23.362583935074998,0.6622088729213895
Fe03,Fe,0.02535977625222477,7.866,19.948,22.833227950224998,0.6697774107668756
Ni04,Ni,0.02327599775154581,8.895,20.704,22.299492848325002,0.684120556978134
Ir04,Ir,0.024877832074633496,22.51,56.0,21.540995721630004,0.7460877532120994
Cu04,Cu,0.024901106268856856,8.949,22.284,20.7601350803,0.7202961213305885
Ni05,Ni,0.024472175379426645,8.895,21.768,20.156478116774995,0.7389036037045102
Ir05,Ir,0.02450510884051533,22.51,55.161,19.333868582875,0.79601850109783
Cu05,Cu,0.025078779751927592,8.949,22.443,18.4965376596,0.7742622242788678
Ni06,Ni,0.025700955593029793,8.895,22.861,17.81859746205,0.8018767160129303
Ir06,Ir,0.02475832963127499,22.51,55.731,16.896915442275,0.8709463121927506
Cu06,Cu,0.0250262599173092,8.949,22.396,15.97052775549,0.8531125989438332
Ni07,Ni,0.025960652051714446,8.895,23.092,15.210040403249998,0.8882121415221554
Ir07,Ir,0.025182141270546424,22.51,56.685,14.162678904091667,0.9793469121680192
Cu07,Cu,0.024941334227287965,8.949,22.32,13.102775498312498,0.9741700936068488
Ni08,Ni,0.02519280494659921,8.895,22.409,12.234872247675,1.025104689871294
Ir08,Ir,0.02577965348733896,22.51,58.03,11.006437095351924,1.1579892617030068
Cu08,Cu,0.025031847133757962,8.949,22.401,9.71541648462,1.187424577582075
Ni09,Ni,0.024441821247892074,8.895,21.741,8.6365802205375,1.2949507426113709
Ir09,Ir,0.025175033318525098,22.51,56.669,7.084157343557608,1.5489273896434963
Cu09,Cu,0.025058665772712038,8.949,22.425,5.288665794117392,1.7909342725422817
Ni10,Ni,0.02596177627880832,8.895,23.093,3.5025164358249996,2.065200228382708
Ir10,Ir,0.024462461128387382,22.51,55.065,1.4751134111346536,1.7497267869748503
Cu10,Cu,0.024934629567549448,8.949,22.314,0.3314941692133663,0.844253407791908
SS02,SS_316,0.12862547288776796,7.93,102.0,0.041298061012128705,0.1471155053578186
