name,compound,thickness,density,ad,mu_E,sig_E
SS01,SS_316,0.12862547288776796,7.93,102.0,30.97980170189142,0.8613607763619151
Ni01,Ni,0.025600899381675098,8.895,22.772,29.6960798992,0.5639987609801733
Ir01,Ir,0.024510884051532653,22.51,55.174,29.074326237879998,0.6218223439956804
Cu01,Cu,0.024961448206503523,8.949,22.338,28.462090387279996,0.5763363331021117
Fe01,Fe,0.025464022374777528,7.866,20.03,28.014257640599997,0.5801951285073403
Ni02,Ni,0.02598988195615514,8.895,23.118,27.538674635339998,0.5968459894653706
Ir02,Ir,0.024700577521101733,22.51,55.601,26.875158700719997,0.6589118842303033
Cu02,Cu,0.024946921443736732,8.949,22.325,26.22447948032,0.6114273246477722
Fe02,Fe,0.02544749555047038,7.866,20.017,25.74826340262,0.6166543584849824
Ni03,Ni,0.025112984822934233,8.895,22.338,25.250610206579996,0.6329027870017739
Ir03,Ir,0.024719235895157707,22.51,55.643,24.5536754265,0.6874888124381706
Cu03,Cu,0.024933512124259694,8.949,22.313,23.859277417579996,0.6543993211712951
Fe03,Fe,0.02535977625222477,7.866,19.948,23.348745296799997,0.661404664580364
Ni04,Ni,0.02327599775154581,8.895,20.704,22.834518667179996,0.6747360132362233
Ir04,Ir,0.024877832074633496,22.51,56.0,22.103859333336004,0.7330829033817645
Cu04,Cu,0.024901106268856856,8.949,22.284,21.35269813226,0.7082521520051916
Ni05,Ni,0.024472175379426645,8.895,21.768,20.773643250139994,0.7253695972922772
Ir05,Ir,0.02450510884051533,22.51,55.161,19.984734516912,0.7838353688322691
Cu05,Cu,0.025078779751927592,8.949,22.443,19.18355474805,0.757325793179418
Ni06,Ni,0.025700955593029793,8.895,22.861,18.537343318065,0.7822960898627309
Ir06,Ir,0.02475832963127499,22.51,55.731,17.659435132129996,0.8496371666044128
Cu06,Cu,0.0250262599173092,8.949,22.396,16.779789470069996,0.831215238350726
Ni07,Ni,0.025960652051714446,8.895,23.092,16.062057453683998,0.8609218570349948
Ir07,Ir,0.025182141270546424,22.51,56.685,15.0753875148525,0.942153244963923
Cu07,Cu,0.024941334227287965,8.949,22.32,14.082246858019998,0.9307416298104746
Ni08,Ni,0.02519280494659921,8.895,22.409,13.277278422445715,0.974089268591745
Ir08,Ir,0.02577965348733896,22.51,58.03,12.143164509059998,1.088161153388408
Cu08,Cu,0.025031847133757962,8.949,22.401,10.9655334266775,1.1002134723847836
Ni09,Ni,0.024441821247892074,8.895,21.741,10.0048669842,1.1756134051447085
Ir09,Ir,0.025175033318525098,22.51,56.669,8.648122074313333,1.3538731807383166
Cu09,Cu,0.025058665772712038,8.949,22.425,7.1547479794559985,1.4713388799840301
Ni10,Ni,0.02596177627880832,8.895,23.093,5.736719815799999,1.7452794726257799
Ir10,Ir,0.024462461128387382,22.51,55.065,3.6899413353702126,2.0754229289614834
Cu10,Cu,0.024934629567549448,8.949,22.314,1.66017420369625,1.7981826095767228
SS02,SS_316,0.12862547288776796,7.93,102.0,0.16349507276376235,0.6019597540597286
