name,compound,thickness,density,ad,mu_E,sig_E
SS01,SS_316,0.12862547288776796,7.93,102.0,30.47896285429286,0.9102149230588559
Ni01,Ni,0.025600899381675098,8.895,22.772,29.08489650165,0.5735683971241682
Ir01,Ir,0.024510884051532653,22.51,55.174,28.408263423650002,0.6401912208031921
Cu01,Cu,0.024961448206503523,8.949,22.338,27.740913691150002,0.5874750900381802
Fe01,Fe,0.025464022374777528,7.866,20.03,27.25146209665,0.5917622012903292
Ni02,Ni,0.02598988195615514,8.895,23.118,26.7308501009,0.6110981085152395
Ir02,Ir,0.024700577521101733,22.51,55.601,26.0042901817875,0.6666262035369312
Cu02,Cu,0.024946921443736732,8.949,22.325,25.28986823165,0.6278911475989659
Fe02,Fe,0.02544749555047038,7.866,20.017,24.76517615605,0.6340311278094791
Ni03,Ni,0.025112984822934233,8.895,22.338,24.215655818200002,0.6532107317344109
Ir03,Ir,0.024719235895157707,22.51,55.643,23.4455535435,0.717367233342885
Cu03,Cu,0.024933512124259694,8.949,22.313,22.676115448250002,0.6790402789870769
Fe03,Fe,0.02535977625222477,7.866,19.948,22.107293672199997,0.6876628178727047
Ni04,Ni,0.02327599775154581,8.895,20.704,21.532715042300005,0.7039349709585966
Ir04,Ir,0.024877832074633496,22.51,56.0,20.71560133302,0.7737292999028875
Cu04,Cu,0.024901106268856856,8.949,22.284,19.872320238375003,0.7381272736799748
Ni05,Ni,0.024472175379426645,8.895,21.768,19.216907514750005,0.7591666143015178
Ir05,Ir,0.02450510884051533,22.51,55.161,18.32226179795,0.8329732417968232
Cu05,Cu,0.025078779751927592,8.949,22.443,17.4081988381125,0.8102206947090141
Ni06,Ni,0.025700955593029793,8.895,22.861,16.66269857703,0.8385625522490253
Ir06,Ir,0.02475832963127499,22.51,55.731,15.646236213918751,0.9218860172150061
Cu06,Cu,0.0250262599173092,8.949,22.396,14.61798323315,0.9062662677256402
Ni07,Ni,0.025960652051714446,8.895,23.092,13.763241306964286,0.9524410342820158
Ir07,Ir,0.025182141270546424,22.51,56.685,12.5799819597,1.0647325777541135
Cu07,Cu,0.024941334227287965,8.949,22.32,11.367069100406251,1.0716536062673174
Ni08,Ni,0.02519280494659921,8.895,22.409,10.349158244700002,1.1502533520661649
Ir08,Ir,0.02577965348733896,22.51,58.03,8.886629583791667,1.3412712461365761
Cu08,Cu,0.025031847133757962,8.949,22.401,7.289699934103124,1.447408334755071
Ni09,Ni,0.024441821247892074,8.895,21.741,5.83867986585,1.7136036044590703
Ir09,Ir,0.025175033318525098,22.51,56.669,3.669784003776,2.0861929213542454
Cu09,Cu,0.025058665772712038,8.949,22.425,1.483875638180198,1.7291789326947862
Ni10,Ni,0.02596177627880832,8.895,23.093,0.40402631415594065,0.9549315425878855
Ir10,Ir,0.024462461128387382,22.51,55.065,0.06911147858019802,0.28800270356104546
Cu10,Cu,0.024934629567549448,8.949,22.314,0.03256837542178217,0.04167693933040127
SS02,SS_316,0.12862547288776796,7.93,102.0,0.03160090377029704,0.002117709046210603
