name,compound,thickness,density,ad,mu_E,sig_E
SS01,SS_316,0.12862547288776796,7.93,102.0,30.396718541050717,0.8644211963082742
Ni01,Ni,0.025600899381675098,8.895,22.772,29.107402414365,0.5659515595262523
Ir01,Ir,0.024510884051532653,22.51,55.174,28.48311208116,0.6241031706796397
Cu01,Cu,0.024961448206503523,8.949,22.338,27.868186600320005,0.5787424674727748
Fe01,Fe,0.025464022374777528,7.866,20.03,27.417810948495,0.5827810487493164
Ni02,Ni,0.02598988195615514,8.895,23.118,26.939339922330007,0.5997583420720887
Ir02,Ir,0.024700577521101733,22.51,55.601,26.272414111308752,0.6480099881505114
Cu02,Cu,0.024946921443736732,8.949,22.325,25.61769755292,0.6149246230022744
Fe02,Fe,0.02544749555047038,7.866,20.017,25.137939596385003,0.6204544063842867
Ni03,Ni,0.025112984822934233,8.895,22.338,24.636351118995005,0.6370941443033882
Ir03,Ir,0.024719235895157707,22.51,55.643,23.93431049059875,0.6923340063674145
Cu03,Cu,0.024933512124259694,8.949,22.313,23.234441837475,0.659569234095621
Fe03,Fe,0.02535977625222477,7.866,19.948,22.718938129470004,0.6670427294347864
Ni04,Ni,0.02327599775154581,8.895,20.704,22.199401820309998,0.680922365300461
Ir04,Ir,0.024877832074633496,22.51,56.0,21.461577150420002,0.7402058401026089
Cu04,Cu,0.024901106268856856,8.949,22.284,20.702448118769997,0.7159690654842866
Ni05,Ni,0.024472175379426645,8.895,21.768,20.115886760145003,0.7339200811872081
Ir05,Ir,0.02450510884051533,22.51,55.161,19.31702782383,0.7937592665333396
Cu05,Cu,0.025078779751927592,8.949,22.443,18.50483882003625,0.7681526215054894
Ni06,Ni,0.025700955593029793,8.895,22.861,17.847749715592503,0.794572886125133
Ir06,Ir,0.02475832963127499,22.51,55.731,16.955286136894287,0.8602792269140499
Cu06,Cu,0.0250262599173092,8.949,22.396,16.059389436783,0.8435770127329353
Ni07,Ni,0.025960652051714446,8.895,23.092,15.325092214245,0.8797202318271325
Ir07,Ir,0.025182141270546424,22.51,56.685,14.315557330855002,0.9627620601589749
Cu07,Cu,0.024941334227287965,8.949,22.32,13.29606614721,0.957423496737196
Ni08,Ni,0.02519280494659921,8.895,22.409,12.464090563532144,1.0060966291846625
Ir08,Ir,0.02577965348733896,22.51,58.03,11.289847910797501,1.1286547845656323
Cu08,Cu,0.025031847133757962,8.949,22.401,10.062060146985,1.1520536026794137
Ni09,Ni,0.024441821247892074,8.895,21.741,9.045765447930002,1.2451162772498199
Ir09,Ir,0.025175033318525098,22.51,56.669,7.597183640828572,1.461570743896691
Cu09,Cu,0.025058665772712038,8.949,22.425,5.957787087450001,1.6526273743745685
Ni10,Ni,0.02596177627880832,8.895,23.093,4.334631332625001,1.9756024752563648
Ir10,Ir,0.024462461128387382,22.51,55.065,2.227636922176111,1.9758494752351818
Cu10,Cu,0.024934629567549448,8.949,22.314,0.6798970519266831,1.230078350070269
SS02,SS_316,0.12862547288776796,7.93,102.0,0.06250713258475248,0.27574480684950414
