name,compound,thickness,density,ad,mu_E,sig_E
SS01,SS_316,0.12862547288776796,7.93,102.0,30.607056600685713,0.8846271061729917
Ni01,Ni,0.025600899381675098,8.895,22.772,29.271095251200006,0.5691191618880328
Ir01,Ir,0.024510884051532653,22.51,55.174,28.623435456000003,0.6309544763659006
Cu01,Cu,0.024961448206503523,8.949,22.338,27.9852004608,0.5822629137913109
Fe01,Fe,0.025464022374777528,7.866,20.03,27.5176066176,0.5863742999715996
Ni02,Ni,0.02598988195615514,8.895,23.118,27.020662732799998,0.6042438460185986
Ir02,Ir,0.024700577521101733,22.51,55.601,26.327503382400003,0.6557518502854929
Cu02,Cu,0.024946921443736732,8.949,22.325,25.646523302400002,0.6200813768290016
Fe02,Fe,0.02544749555047038,7.866,20.017,25.147300147199996,0.6257240743250928
Ni03,Ni,0.025112984822934233,8.895,22.338,24.624995155199997,0.6433668685791644
Ir03,Ir,0.024719235895157707,22.51,55.643,23.8934225376,0.7024224724038549
Cu03,Cu,0.024933512124259694,8.949,22.313,23.1634936896,0.667070084617791
Fe03,Fe,0.02535977625222477,7.866,19.948,22.625261260800002,0.6749175560797885
Ni04,Ni,0.02327599775154581,8.895,20.704,22.082420659199997,0.6897901339735018
Ir04,Ir,0.024877832074633496,22.51,56.0,21.310843276799996,0.7534096775172723
Cu04,Cu,0.024901106268856856,8.949,22.284,20.516061350399998,0.7272247991338252
Ni05,Ni,0.024472175379426645,8.895,21.768,19.901069179200004,0.739063330542003
Ir05,Ir,0.02450510884051533,22.51,55.161,19.062283468799997,0.8055093427178603
Cu05,Cu,0.025078779751927592,8.949,22.443,18.2079518544,0.7836393072824775
Ni06,Ni,0.025700955593029793,8.895,22.861,17.51513651712,0.8080050581865146
Ir06,Ir,0.02475832963127499,22.51,55.731,16.572378058971424,0.884414820198245
Cu06,Cu,0.0250262599173092,8.949,22.396,15.62359911552,0.8670983481879421
Ni07,Ni,0.025960652051714446,8.895,23.092,14.8424864544,0.9045017481928427
Ir07,Ir,0.025182141270546424,22.51,56.685,13.765645132800001,1.0004350872179835
Cu07,Cu,0.024941334227287965,8.949,22.32,12.673112963657143,0.9956738846023113
Ni08,Ni,0.02519280494659921,8.895,22.409,11.7736322616,1.053815362544383
Ir08,Ir,0.02577965348733896,22.51,58.03,10.49722706057143,1.19671254785817
Cu08,Cu,0.025031847133757962,8.949,22.401,9.146624947200001,1.2379293745577464
Ni09,Ni,0.024441821247892074,8.895,21.741,8.002010242285714,1.367794161058217
Ir09,Ir,0.025175033318525098,22.51,56.669,6.332994882133333,1.6756400038566899
Cu09,Cu,0.025058665772712038,8.949,22.425,4.35905906304,1.9482295754313357
Ni10,Ni,0.02596177627880832,8.895,23.093,2.4869426258285716,2.0216776858896695
Ir10,Ir,0.024462461128387382,22.51,55.065,0.8048039707247525,1.3527324570512276
Cu10,Cu,0.024934629567549448,8.949,22.314,0.13515752573465345,0.48655549983705165
SS02,SS_316,0.12862547288776796,7.93,102.0,0.03385560047524752,0.06742043783632706
