name,compound,thickness,density,ad,mu_E,sig_E
SS01,SS_316,0.12862547288776796,7.93,102.0,30.65464809792,0.8585743077964002
Ni01,Ni,0.025600899381675098,8.895,22.772,29.377093975679998,0.5636229542026283
Ir01,Ir,0.024510884051532653,22.51,55.174,28.75856182848,0.6209816490912128
Cu01,Cu,0.024961448206503523,8.949,22.338,28.14941992896,0.5761125804267534
Fe01,Fe,0.025464022374777528,7.866,20.03,27.70361875776,0.58002341441775
Ni02,Ni,0.02598988195615514,8.895,23.118,27.23014035456,0.5966389969043666
Ir02,Ir,0.024700577521101733,22.51,55.601,26.5698351072,0.658206845970399
Cu02,Cu,0.024946921443736732,8.949,22.325,25.92227945472,0.6113774930161329
Fe02,Fe,0.02544749555047038,7.866,20.017,25.44802985472,0.616697536294882
Ni03,Ni,0.025112984822934233,8.895,22.338,24.952363476480002,0.6329555836724372
Ir03,Ir,0.024719235895157707,22.51,55.643,24.25853694528,0.6871780011868178
Cu03,Cu,0.024933512124259694,8.949,22.313,23.56712544384,0.6546281774087832
Fe03,Fe,0.02535977625222477,7.866,19.948,23.05846397184,0.6617968223246532
Ni04,Ni,0.02327599775154581,8.895,20.704,22.54605786048,0.6752464650503359
Ir04,Ir,0.024877832074633496,22.51,56.0,21.818246212224,0.7332615122750392
Cu04,Cu,0.024901106268856856,8.949,22.284,21.06990278976,0.7089982508675154
Ni05,Ni,0.024472175379426645,8.895,21.768,20.4925647168,0.7262494407894838
Ir05,Ir,0.02450510884051533,22.51,55.161,19.706267129472,0.7845288581330891
Cu05,Cu,0.025078779751927592,8.949,22.443,18.90754310016,0.7587296382482805
Ni06,Ni,0.025700955593029793,8.895,22.861,18.262705443839998,0.783960503465711
Ir06,Ir,0.02475832963127499,22.51,55.731,17.386925772479998,0.851243902996022
Cu06,Cu,0.0250262599173092,8.949,22.396,16.50909821616,0.8336997815827866
Ni07,Ni,0.025960652051714446,8.895,23.092,15.791980482431997,0.8639009612388073
Ir07,Ir,0.025182141270546424,22.51,56.685,14.80633917048,0.9454405886352913
Cu07,Cu,0.024941334227287965,8.949,22.32,13.813601387519999,0.9353783068319587
Ni08,Ni,0.02519280494659921,8.895,22.409,13.007494340845716,0.9797668526559266
Ir08,Ir,0.02577965348733896,22.51,58.03,11.871721918079999,1.0951789722538048
Cu08,Cu,0.025031847133757962,8.949,22.401,10.690712778240002,1.1101001945553908
Ni09,Ni,0.024441821247892074,8.895,21.741,9.723996418751998,1.1888739629828253
Ir09,Ir,0.025175033318525098,22.51,56.669,8.356792114880001,1.3737265905784686
Cu09,Cu,0.025058665772712038,8.949,22.425,6.8437815969599995,1.5054785785136984
Ni10,Ni,0.02596177627880832,8.895,23.093,5.39091836976,1.797410630215802
Ir10,Ir,0.024462461128387382,22.51,55.065,3.322953047852308,2.075906649156968
Cu10,Cu,0.024934629567549448,8.949,22.314,1.3835162120934654,1.6808190265120544
SS02,SS_316,0.12862547288776796,7.93,102.0,0.12970289344633662,0.512347205648683
