name,compound,thickness,density,ad,mu_E,sig_E
SS01,SS_316,0.12862547288776796,7.93,102.0,32.006163959,0.8537686152380202
Ni01,Ni,0.025600899381675098,8.895,22.772,30.770840914000004,0.559747823334441
Ir01,Ir,0.024510884051532653,22.51,55.174,30.172652290000002,0.6139495672689703
Cu01,Cu,0.024961448206503523,8.949,22.338,29.584106486,0.5710909749214497
Fe01,Fe,0.025464022374777528,7.866,20.03,29.154779192,0.5745454834108672
Ni02,Ni,0.02598988195615514,8.895,23.118,28.699336446000004,0.589859998731978
Ir02,Ir,0.024700577521101733,22.51,55.601,28.063553276,0.6477323310362606
Cu02,Cu,0.024946921443736732,8.949,22.325,27.440776,0.6030034568325459
Fe02,Fe,0.02544749555047038,7.866,20.017,26.98653617,0.6076059258316456
Ni03,Ni,0.025112984822934233,8.895,22.338,26.512478564000006,0.6223571197636435
Ir03,Ir,0.024719235895157707,22.51,55.643,25.848184774499998,0.6728053542477083
Cu03,Cu,0.024933512124259694,8.949,22.313,25.187335976,0.6413888341218044
Fe03,Fe,0.02535977625222477,7.866,19.948,24.703604574,0.6474054187464595
Ni04,Ni,0.02327599775154581,8.895,20.704,24.217254358,0.6592158453147254
Ir04,Ir,0.024877832074633496,22.51,56.0,23.525507857500003,0.7201073951805799
Cu04,Cu,0.024901106268856856,8.949,22.284,22.816294006000003,0.6883760784981361
Ni05,Ni,0.024472175379426645,8.895,21.768,22.272541477999997,0.7030976006398938
Ir05,Ir,0.02450510884051533,22.51,55.161,21.531583788,0.7557248371789637
Cu05,Cu,0.025078779751927592,8.949,22.443,20.781291410000005,0.7358519643543882
Ni06,Ni,0.025700955593029793,8.895,22.861,20.180865309,0.7506465812300317
Ir06,Ir,0.02475832963127499,22.51,55.731,19.3651460112,0.8149990166241488
Cu06,Cu,0.0250262599173092,8.949,22.396,18.551854992000003,0.7898751469939285
Ni07,Ni,0.025960652051714446,8.895,23.092,17.894866918500004,0.8176063385874125
Ir07,Ir,0.025182141270546424,22.51,56.685,16.99332469371429,0.8848863811645896
Cu07,Cu,0.024941334227287965,8.949,22.32,16.0926707436,0.8679217943408399
Ni08,Ni,0.02519280494659921,8.895,22.409,15.3741394884,0.9017403248300402
Ir08,Ir,0.02577965348733896,22.51,58.03,14.366461758,0.990622801435314
Cu08,Cu,0.025031847133757962,8.949,22.401,13.335353988000001,0.9851645050713592
Ni09,Ni,0.024441821247892074,8.895,21.741,12.51894321857143,1.0313214180587575
Ir09,Ir,0.025175033318525098,22.51,56.669,11.382498919000001,1.1492407711084007
Cu09,Cu,0.025058665772712038,8.949,22.425,10.182525745333333,1.178839612510474
Ni10,Ni,0.02596177627880832,8.895,23.093,9.143728693000002,1.2803820424094177
Ir10,Ir,0.024462461128387382,22.51,55.065,7.6998338868,1.4863042839499605
Cu10,Cu,0.024934629567549448,8.949,22.314,6.113571197684211,1.6780817955225404
SS02,SS_316,0.12862547288776796,7.93,102.0,1.9327849794653467,2.3188451864000763
