# d +  63Cu: Production of  64Cu - Total
# Q-value    = 5.69154E+00 mass=  63.929763
# E-threshold= 0.00000E+00
# # energies =    54
#     E          xs
 1.00000E-03 0.00000E+00
 2.00000E-03 0.00000E+00
 5.00000E-03 0.00000E+00
 1.00000E-02 0.00000E+00
 2.00000E-02 0.00000E+00
 5.00000E-02 0.00000E+00
 1.00000E-01 0.00000E+00
 2.00000E-01 0.00000E+00
 5.00000E-01 1.00000E-20
 1.00000E+00 6.60086E-07
 2.00000E+00 3.03254E-02
 3.00000E+00 6.67113E+00
 4.00000E+00 5.41098E+01
 5.00000E+00 1.07798E+02
 6.00000E+00 1.60323E+02
 7.00000E+00 1.81650E+02
 8.00000E+00 1.76673E+02
 9.00000E+00 1.55399E+02
 1.00000E+01 1.28773E+02
 1.10000E+01 1.04149E+02
 1.20000E+01 8.39470E+01
 1.30000E+01 6.83565E+01
 1.40000E+01 5.70888E+01
 1.50000E+01 4.92263E+01
 1.60000E+01 4.17104E+01
 1.70000E+01 3.65347E+01
 1.80000E+01 3.22104E+01
 1.90000E+01 2.87619E+01
 2.00000E+01 2.60808E+01
 2.20000E+01 2.15364E+01
 2.40000E+01 1.80425E+01
 2.60000E+01 1.57723E+01
 2.80000E+01 1.33096E+01
 3.00000E+01 1.16646E+01
 3.50000E+01 8.35438E+00
 4.00000E+01 6.28251E+00
 4.50000E+01 4.92126E+00
 5.00000E+01 4.03157E+00
 5.50000E+01 3.21718E+00
 6.00000E+01 2.68982E+00
 6.50000E+01 2.25964E+00
 7.00000E+01 1.92513E+00
 7.50000E+01 1.63330E+00
 8.00000E+01 1.49187E+00
 9.00000E+01 1.14477E+00
 1.00000E+02 9.03497E-01
 1.10000E+02 7.40888E-01
 1.20000E+02 6.13826E-01
 1.30000E+02 5.14586E-01
 1.40000E+02 4.38752E-01
 1.50000E+02 3.69770E-01
 1.60000E+02 3.24239E-01
 1.80000E+02 2.48389E-01
 2.00000E+02 1.60698E-01
