# d +  58Fe: Production of  54Mn - Total
# Q-value    =-1.20293E+01 mass=  53.940356
# E-threshold= 1.24474E+01
# # energies =    54
#     E          xs
 1.00000E-03 0.00000E+00
 2.00000E-03 0.00000E+00
 5.00000E-03 0.00000E+00
 1.00000E-02 0.00000E+00
 2.00000E-02 0.00000E+00
 5.00000E-02 0.00000E+00
 1.00000E-01 0.00000E+00
 2.00000E-01 0.00000E+00
 5.00000E-01 0.00000E+00
 1.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00
 1.10000E+01 0.00000E+00
 1.20000E+01 0.00000E+00
 1.30000E+01 0.00000E+00
 1.40000E+01 0.00000E+00
 1.50000E+01 1.15085E-09
 1.60000E+01 1.57717E-06
 1.70000E+01 1.75321E-04
 1.80000E+01 6.80922E-03
 1.90000E+01 7.80826E-02
 2.00000E+01 6.63403E-01
 2.20000E+01 7.35465E+00
 2.40000E+01 2.60732E+01
 2.60000E+01 4.78390E+01
 2.80000E+01 6.64978E+01
 3.00000E+01 7.76918E+01
 3.50000E+01 7.31793E+01
 4.00000E+01 4.59562E+01
 4.50000E+01 3.14162E+01
 5.00000E+01 2.88188E+01
 5.50000E+01 3.73009E+01
 6.00000E+01 5.95846E+01
 6.50000E+01 8.75230E+01
 7.00000E+01 1.09175E+02
 7.50000E+01 1.18616E+02
 8.00000E+01 1.26488E+02
 9.00000E+01 1.44413E+02
 1.00000E+02 1.63284E+02
 1.10000E+02 1.87055E+02
 1.20000E+02 1.90356E+02
 1.30000E+02 1.93859E+02
 1.40000E+02 1.78793E+02
 1.50000E+02 1.58487E+02
 1.60000E+02 1.37666E+02
 1.80000E+02 9.20745E+01
 2.00000E+02 6.59715E+01
