# d +  58Fe: Production of  55Co - Total
# Q-value    =-3.53461E+01 mass=  54.941996
# E-threshold= 3.65746E+01
# # energies =    54
#     E          xs
 1.00000E-03 0.00000E+00
 2.00000E-03 0.00000E+00
 5.00000E-03 0.00000E+00
 1.00000E-02 0.00000E+00
 2.00000E-02 0.00000E+00
 5.00000E-02 0.00000E+00
 1.00000E-01 0.00000E+00
 2.00000E-01 0.00000E+00
 5.00000E-01 0.00000E+00
 1.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00
 1.10000E+01 0.00000E+00
 1.20000E+01 0.00000E+00
 1.30000E+01 0.00000E+00
 1.40000E+01 0.00000E+00
 1.50000E+01 0.00000E+00
 1.60000E+01 0.00000E+00
 1.70000E+01 0.00000E+00
 1.80000E+01 0.00000E+00
 1.90000E+01 0.00000E+00
 2.00000E+01 0.00000E+00
 2.20000E+01 0.00000E+00
 2.40000E+01 0.00000E+00
 2.60000E+01 0.00000E+00
 2.80000E+01 0.00000E+00
 3.00000E+01 0.00000E+00
 3.50000E+01 0.00000E+00
 4.00000E+01 1.51191E-01
 4.50000E+01 1.61158E+00
 5.00000E+01 3.63978E+00
 5.50000E+01 4.43615E+00
 6.00000E+01 4.22524E+00
 6.50000E+01 4.07311E+00
 7.00000E+01 4.22447E+00
 7.50000E+01 4.61513E+00
 8.00000E+01 5.07918E+00
 9.00000E+01 5.58736E+00
 1.00000E+02 5.28146E+00
 1.10000E+02 4.48342E+00
 1.20000E+02 3.56155E+00
 1.30000E+02 2.68598E+00
 1.40000E+02 1.97580E+00
 1.50000E+02 1.39835E+00
 1.60000E+02 9.94548E-01
 1.80000E+02 5.07493E-01
 2.00000E+02 2.89283E-01
