# d + 191Ir: Production of 189Ir - Total
# Q-value    =-8.13953E+00 mass= 188.958715
# E-threshold= 8.22536E+00
# # energies =    45
#     E          xs
 1.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00
 1.10000E+01 0.00000E+00
 1.20000E+01 2.11980E-11
 1.30000E+01 1.47667E-08
 1.40000E+01 1.54714E-06
 1.50000E+01 5.20948E-05
 1.60000E+01 8.09283E-04
 1.70000E+01 6.83592E-03
 1.80000E+01 3.79006E-02
 1.90000E+01 1.38211E-01
 2.00000E+01 3.47760E-01
 2.20000E+01 1.20617E+00
 2.40000E+01 2.88797E+00
 2.60000E+01 6.45509E+00
 2.80000E+01 1.37990E+01
 3.00000E+01 2.64568E+01
 3.50000E+01 8.66188E+01
 4.00000E+01 1.82539E+02
 4.50000E+01 2.94054E+02
 5.00000E+01 3.98726E+02
 5.50000E+01 4.54964E+02
 6.00000E+01 4.74919E+02
 6.50000E+01 4.42173E+02
 7.00000E+01 3.89350E+02
 7.50000E+01 3.32944E+02
 8.00000E+01 2.79708E+02
 9.00000E+01 1.87481E+02
 1.00000E+02 1.33381E+02
 1.10000E+02 1.09175E+02
 1.20000E+02 9.26758E+01
 1.30000E+02 8.58185E+01
 1.40000E+02 8.22356E+01
 1.50000E+02 8.08005E+01
 1.60000E+02 8.07091E+01
 1.80000E+02 7.38494E+01
 2.00000E+02 6.71449E+01
