# d + 193Ir: Production of 187W  - Total
# Q-value    = 1.36536E+01 mass= 186.957161
# E-threshold= 0.00000E+00
# # energies =    54
#     E          xs
 1.00000E-03 0.00000E+00
 2.00000E-03 0.00000E+00
 5.00000E-03 0.00000E+00
 1.00000E-02 0.00000E+00
 2.00000E-02 0.00000E+00
 5.00000E-02 0.00000E+00
 1.00000E-01 0.00000E+00
 2.00000E-01 0.00000E+00
 5.00000E-01 0.00000E+00
 1.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00
 3.00000E+00 1.00000E-20
 4.00000E+00 1.00000E-20
 5.00000E+00 1.00000E-20
 6.00000E+00 1.00000E-20
 7.00000E+00 1.00000E-20
 8.00000E+00 1.00000E-20
 9.00000E+00 1.00000E-20
 1.00000E+01 1.00000E-20
 1.10000E+01 1.00000E-20
 1.20000E+01 1.00000E-20
 1.30000E+01 3.15415E-12
 1.40000E+01 1.28960E-11
 1.50000E+01 4.44063E-11
 1.60000E+01 1.40642E-10
 1.70000E+01 4.06248E-10
 1.80000E+01 1.12058E-09
 1.90000E+01 2.81604E-09
 2.00000E+01 6.61163E-09
 2.20000E+01 3.11648E-08
 2.40000E+01 1.20435E-07
 2.60000E+01 3.81680E-07
 2.80000E+01 9.07409E-07
 3.00000E+01 1.67593E-06
 3.50000E+01 2.95817E-06
 4.00000E+01 2.34285E-06
 4.50000E+01 2.08298E-06
 5.00000E+01 2.42313E-06
 5.50000E+01 5.03115E-06
 6.00000E+01 1.44129E-05
 6.50000E+01 3.28748E-05
 7.00000E+01 5.87692E-05
 7.50000E+01 8.11364E-05
 8.00000E+01 1.05254E-04
 9.00000E+01 1.79967E-04
 1.00000E+02 1.02814E-03
 1.10000E+02 4.67274E-03
 1.20000E+02 1.19393E-02
 1.30000E+02 2.42528E-02
 1.40000E+02 3.87420E-02
 1.50000E+02 5.65981E-02
 1.60000E+02 7.81924E-02
 1.80000E+02 1.11637E-01
 2.00000E+02 1.31673E-01
