# d + 193Ir: Production of 188Re - Ground state
# Q-value    = 2.41570E-01 mass= 187.958111
# E-threshold= 0.00000E+00
# # energies =    45
#     E          xs      Branching
 1.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 1.60096E-26 0.00000E+00
 1.10000E+01 3.25533E-23 0.00000E+00
 1.20000E+01 5.88804E-21 0.00000E+00
 1.30000E+01 3.86466E-19 0.00000E+00
 1.40000E+01 1.01831E-17 0.00000E+00
 1.50000E+01 1.50034E-16 0.00000E+00
 1.60000E+01 2.07524E-15 0.00000E+00
 1.70000E+01 2.44517E-14 0.00000E+00
 1.80000E+01 5.01615E-12 7.58268E-01
 1.90000E+01 3.07061E-11 7.54154E-01
 2.00000E+01 1.18284E-10 7.54074E-01
 2.20000E+01 1.17053E-09 7.21523E-01
 2.40000E+01 7.14634E-09 6.69730E-01
 2.60000E+01 3.22942E-08 6.02262E-01
 2.80000E+01 1.26165E-07 5.20125E-01
 3.00000E+01 5.47907E-07 4.53950E-01
 3.50000E+01 2.19482E-05 3.43650E-01
 4.00000E+01 2.11129E-04 2.58233E-01
 4.50000E+01 6.87928E-04 2.16113E-01
 5.00000E+01 1.37839E-03 2.09699E-01
 5.50000E+01 2.38940E-03 2.14093E-01
 6.00000E+01 3.62038E-03 2.06361E-01
 6.50000E+01 4.54234E-03 1.92843E-01
 7.00000E+01 5.45814E-03 1.90713E-01
 7.50000E+01 7.63445E-03 2.16933E-01
 8.00000E+01 1.48738E-02 2.90682E-01
 9.00000E+01 5.26200E-02 4.07553E-01
 1.00000E+02 1.27233E-01 4.45847E-01
 1.10000E+02 2.26536E-01 4.49921E-01
 1.20000E+02 3.36847E-01 4.61646E-01
 1.30000E+02 4.52166E-01 4.62707E-01
 1.40000E+02 5.49191E-01 4.52031E-01
 1.50000E+02 6.80542E-01 4.52619E-01
 1.60000E+02 8.43787E-01 4.60418E-01
 1.80000E+02 9.64182E-01 4.59858E-01
 2.00000E+02 9.50488E-01 4.54926E-01
