# d +  58Ni: Production of  56Co - Total
# Q-value    = 6.52247E+00 mass=  55.939838
# E-threshold= 0.00000E+00
# # energies =    54
#     E          xs
 1.00000E-03 0.00000E+00
 2.00000E-03 0.00000E+00
 5.00000E-03 0.00000E+00
 1.00000E-02 0.00000E+00
 2.00000E-02 0.00000E+00
 5.00000E-02 0.00000E+00
 1.00000E-01 0.00000E+00
 2.00000E-01 0.00000E+00
 5.00000E-01 1.00000E-20
 1.00000E+00 5.84467E-08
 2.00000E+00 4.27805E-03
 3.00000E+00 4.53119E-01
 4.00000E+00 4.60260E+00
 5.00000E+00 1.23240E+01
 6.00000E+00 2.26987E+01
 7.00000E+00 3.10458E+01
 8.00000E+00 3.67654E+01
 9.00000E+00 3.94272E+01
 1.00000E+01 3.86873E+01
 1.10000E+01 3.49827E+01
 1.20000E+01 2.99869E+01
 1.30000E+01 2.51067E+01
 1.40000E+01 2.11929E+01
 1.50000E+01 1.79101E+01
 1.60000E+01 1.56879E+01
 1.70000E+01 1.39080E+01
 1.80000E+01 1.26263E+01
 1.90000E+01 1.16526E+01
 2.00000E+01 1.07942E+01
 2.20000E+01 9.69568E+00
 2.40000E+01 9.21499E+00
 2.60000E+01 9.35288E+00
 2.80000E+01 1.00821E+01
 3.00000E+01 1.29561E+01
 3.50000E+01 6.62294E+01
 4.00000E+01 1.79474E+02
 4.50000E+01 2.31124E+02
 5.00000E+01 2.28819E+02
 5.50000E+01 2.27643E+02
 6.00000E+01 2.42500E+02
 6.50000E+01 2.60269E+02
 7.00000E+01 2.72223E+02
 7.50000E+01 2.76235E+02
 8.00000E+01 2.68824E+02
 9.00000E+01 2.30841E+02
 1.00000E+02 1.86561E+02
 1.10000E+02 1.47953E+02
 1.20000E+02 1.15698E+02
 1.30000E+02 9.22466E+01
 1.40000E+02 7.51814E+01
 1.50000E+02 6.33821E+01
 1.60000E+02 5.48491E+01
 1.80000E+02 4.40291E+01
 2.00000E+02 3.98713E+01
