# d +  61Ni: Production of  60Cu - Total
# Q-value    =-1.69550E+01 mass=  59.937363
# E-threshold= 1.75153E+01
# # energies =    54
#     E          xs
 1.00000E-03 0.00000E+00
 2.00000E-03 0.00000E+00
 5.00000E-03 0.00000E+00
 1.00000E-02 0.00000E+00
 2.00000E-02 0.00000E+00
 5.00000E-02 0.00000E+00
 1.00000E-01 0.00000E+00
 2.00000E-01 0.00000E+00
 5.00000E-01 0.00000E+00
 1.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00
 1.10000E+01 0.00000E+00
 1.20000E+01 0.00000E+00
 1.30000E+01 0.00000E+00
 1.40000E+01 0.00000E+00
 1.50000E+01 0.00000E+00
 1.60000E+01 0.00000E+00
 1.70000E+01 0.00000E+00
 1.80000E+01 1.50649E-02
 1.90000E+01 7.72886E-01
 2.00000E+01 4.75281E+00
 2.20000E+01 2.46321E+01
 2.40000E+01 4.95777E+01
 2.60000E+01 6.88722E+01
 2.80000E+01 7.59808E+01
 3.00000E+01 7.13594E+01
 3.50000E+01 4.74084E+01
 4.00000E+01 3.95541E+01
 4.50000E+01 3.82266E+01
 5.00000E+01 3.56088E+01
 5.50000E+01 3.09808E+01
 6.00000E+01 2.54723E+01
 6.50000E+01 2.03001E+01
 7.00000E+01 1.59116E+01
 7.50000E+01 1.23740E+01
 8.00000E+01 9.61432E+00
 9.00000E+01 5.98985E+00
 1.00000E+02 3.91958E+00
 1.10000E+02 2.77536E+00
 1.20000E+02 2.06744E+00
 1.30000E+02 1.64857E+00
 1.40000E+02 1.36798E+00
 1.50000E+02 1.17289E+00
 1.60000E+02 1.02586E+00
 1.80000E+02 8.10467E-01
 2.00000E+02 6.96127E-01
