# d +  62Ni: Production of  58Co - Ground state
# Q-value    =-1.23310E+01 mass=  57.935751
# E-threshold= 1.27319E+01
# # energies =    54
#     E          xs      Branching
 1.00000E-03 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00
 1.40000E+01 0.00000E+00 0.00000E+00
 1.50000E+01 6.09700E-12 2.72716E-01
 1.60000E+01 2.24456E-07 2.27644E-01
 1.70000E+01 6.64001E-05 2.33623E-01
 1.80000E+01 2.29741E-03 2.58971E-01
 1.90000E+01 3.29361E-02 2.76235E-01
 2.00000E+01 2.58577E-01 3.23749E-01
 2.20000E+01 3.64814E+00 3.80294E-01
 2.40000E+01 1.47669E+01 4.09164E-01
 2.60000E+01 3.03701E+01 4.21182E-01
 2.80000E+01 4.26876E+01 4.30742E-01
 3.00000E+01 4.89457E+01 4.36133E-01
 3.50000E+01 4.30414E+01 4.34910E-01
 4.00000E+01 2.78255E+01 4.43574E-01
 4.50000E+01 2.12537E+01 4.65549E-01
 5.00000E+01 2.05129E+01 4.76770E-01
 5.50000E+01 2.38582E+01 4.57827E-01
 6.00000E+01 3.47449E+01 4.39000E-01
 6.50000E+01 5.13344E+01 4.46661E-01
 7.00000E+01 6.27794E+01 4.66511E-01
 7.50000E+01 6.99856E+01 4.87204E-01
 8.00000E+01 7.34739E+01 5.05731E-01
 9.00000E+01 8.48518E+01 5.11280E-01
 1.00000E+02 9.90777E+01 5.04107E-01
 1.10000E+02 1.07023E+02 5.01599E-01
 1.20000E+02 1.12858E+02 4.95822E-01
 1.30000E+02 1.07247E+02 4.96265E-01
 1.40000E+02 1.03714E+02 4.99190E-01
 1.50000E+02 8.97116E+01 5.02049E-01
 1.60000E+02 7.65114E+01 5.08384E-01
 1.80000E+02 5.63286E+01 5.27584E-01
 2.00000E+02 3.77453E+01 5.48487E-01
