# d +  62Ni: Production of  58Co - Level  1     0.02495 MeV
# Q-value    =-1.23560E+01 mass=  57.935751
# E-threshold= 1.27577E+01
# # energies =    54
#     E          xs      Branching
 1.00000E-03 0.00000E+00 0.00000E+00
 2.00000E-03 0.00000E+00 0.00000E+00
 5.00000E-03 0.00000E+00 0.00000E+00
 1.00000E-02 0.00000E+00 0.00000E+00
 2.00000E-02 0.00000E+00 0.00000E+00
 5.00000E-02 0.00000E+00 0.00000E+00
 1.00000E-01 0.00000E+00 0.00000E+00
 2.00000E-01 0.00000E+00 0.00000E+00
 5.00000E-01 0.00000E+00 0.00000E+00
 1.00000E+00 0.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00 0.00000E+00
 7.00000E+00 0.00000E+00 0.00000E+00
 8.00000E+00 0.00000E+00 0.00000E+00
 9.00000E+00 0.00000E+00 0.00000E+00
 1.00000E+01 0.00000E+00 0.00000E+00
 1.10000E+01 0.00000E+00 0.00000E+00
 1.20000E+01 0.00000E+00 0.00000E+00
 1.30000E+01 0.00000E+00 0.00000E+00
 1.40000E+01 0.00000E+00 0.00000E+00
 1.50000E+01 1.62596E-11 7.27284E-01
 1.60000E+01 7.61542E-07 7.72356E-01
 1.70000E+01 2.17818E-04 7.66377E-01
 1.80000E+01 6.57390E-03 7.41029E-01
 1.90000E+01 8.62963E-02 7.23765E-01
 2.00000E+01 5.40118E-01 6.76251E-01
 2.20000E+01 5.94482E+00 6.19706E-01
 2.40000E+01 2.13235E+01 5.90836E-01
 2.60000E+01 4.17368E+01 5.78818E-01
 2.80000E+01 5.64149E+01 5.69258E-01
 3.00000E+01 6.32808E+01 5.63867E-01
 3.50000E+01 5.59248E+01 5.65090E-01
 4.00000E+01 3.49047E+01 5.56426E-01
 4.50000E+01 2.43993E+01 5.34451E-01
 5.00000E+01 2.25118E+01 5.23230E-01
 5.50000E+01 2.82537E+01 5.42173E-01
 6.00000E+01 4.44006E+01 5.61000E-01
 6.50000E+01 6.35948E+01 5.53339E-01
 7.00000E+01 7.17926E+01 5.33489E-01
 7.50000E+01 7.36619E+01 5.12796E-01
 8.00000E+01 7.18087E+01 4.94269E-01
 9.00000E+01 8.11078E+01 4.88720E-01
 1.00000E+02 9.74631E+01 4.95892E-01
 1.10000E+02 1.06341E+02 4.98401E-01
 1.20000E+02 1.14760E+02 5.04178E-01
 1.30000E+02 1.08861E+02 5.03735E-01
 1.40000E+02 1.04051E+02 5.00810E-01
 1.50000E+02 8.89794E+01 4.97951E-01
 1.60000E+02 7.39880E+01 4.91616E-01
 1.80000E+02 5.04385E+01 4.72416E-01
 2.00000E+02 3.10719E+01 4.51513E-01
