name,compound,thickness,density,ad,mu_E,sig_E
SS01,SS_316,0.12862547288776796,7.93,102.0,31.97402662457143,0.7553862766783558
Ni01,Ni,0.025600899381675098,8.895,22.772,30.695624652000003,0.3726416960162657
Ir01,Ir,0.024510884051532653,22.51,55.174,30.076126784,0.4491036582414102
Cu01,Cu,0.02633432785786121,8.949,23.566589999999998,29.453801784000007,0.3816458829313075
Fe01,Fe,0.025464022374777528,7.866,20.03,28.995958772,0.3762856953489623
Ni02,Ni,0.02598988195615514,8.895,23.118,28.523247016,0.39477614443516695
Ir02,Ir,0.024700577521101733,22.51,55.601,27.863081092,0.47562209256518717
Cu02,Cu,0.026319002123142247,8.949,23.552874999999997,27.202724076000003,0.4042287068503996
Fe02,Fe,0.02544749555047038,7.866,20.017,26.716725376,0.3993005297537917
Ni03,Ni,0.025112984822934233,8.895,22.338,26.222986151999997,0.41576159499433446
Ir03,Ir,0.024719235895157707,22.51,55.643,25.530835341,0.4848930004293872
Cu03,Cu,0.026304855291093974,8.949,23.540214999999996,24.827416416000005,0.43179502491542787
Fe03,Fe,0.02535977625222477,7.866,19.948,24.307685512,0.42726147161813915
Ni04,Ni,0.02327599775154581,8.895,20.704,23.798859832,0.43758764434217273
Ir04,Ir,0.024877832074633496,22.51,56.0,23.074783215,0.521682531294909
Cu04,Cu,0.02627066711364398,8.949,23.509619999999998,22.316168160000004,0.46597519157377304
Ni05,Ni,0.024472175379426645,8.895,21.768,21.729197512000002,0.47270766211371046
Ir05,Ir,0.02450510884051533,22.51,55.161,20.9496727176,0.54173817515681
Cu05,Cu,0.02645811263828361,8.949,23.677365,20.142383745,0.4906700035459423
Ni06,Ni,0.025700955593029793,8.895,22.861,19.490042846999998,0.5052455438656877
Ir06,Ir,0.02475832963127499,22.51,55.731,18.62583712,0.581342532156478
Cu06,Cu,0.0264027042127612,8.949,23.627779999999998,17.743376541,0.5360657060611838
Ni07,Ni,0.025960652051714446,8.895,23.092,17.0228847096,0.550148257559109
Ir07,Ir,0.025182141270546424,22.51,56.685,16.057276299428572,0.640707057150634
Cu07,Cu,0.0263131076097888,8.949,23.5476,15.0681225552,0.5929147657579654
Ni08,Ni,0.02519280494659921,8.895,22.409,14.267398354000001,0.6131684640146545
Ir08,Ir,0.02577965348733896,22.51,58.03,13.169390124000001,0.7254490117559363
Cu08,Cu,0.02640859872611465,8.949,23.633055,12.012773586,0.6815674542748507
Ni09,Ni,0.024441821247892074,8.895,21.741,11.0758078695,0.7184890853060129
Ir09,Ir,0.025175033318525098,22.51,56.669,9.7953521776,0.8620299468448518
Cu09,Cu,0.026436892390211197,8.949,23.658375,8.385791568,0.8586595747353644
Ni10,Ni,0.02596177627880832,8.895,23.093,7.107694401176471,0.9676721395248772
Ir10,Ir,0.024462461128387382,22.51,55.065,5.306601180375,1.2558155541771079
Cu10,Cu,0.026306034193764663,8.949,23.541269999999997,3.0590415555652175,1.5235015161226757
SS02,SS_316,0.12862547288776796,7.93,102.0,0.2671000448316832,0.7412322266297099
