name,compound,thickness,density,ad,mu_E,sig_E
SS01,SS_316,0.12862547288776796,7.93,102.0,31.97361972514286,0.755054553257221
Ni01,Ni,0.025600899381675098,8.895,22.772,30.695195036,0.37195948977403276
Ir01,Ir,0.024510884051532653,22.51,55.174,30.075731532,0.4485158325376407
Cu01,Cu,0.018721086154877643,8.949,16.753500000000003,29.522875844,0.35457592739678145
Fe01,Fe,0.025464022374777528,7.866,20.03,29.135527344000003,0.37421766936945355
Ni02,Ni,0.02598988195615514,8.895,23.118,28.6645359,0.39262196255837506
Ir02,Ir,0.024700577521101733,22.51,55.601,28.006686356000007,0.47326477656745297
Cu02,Cu,0.018710191082802547,8.949,16.74375,27.422158104000005,0.3739174336603272
Fe02,Fe,0.02544749555047038,7.866,20.017,27.012765736000002,0.39531038610233654
Ni03,Ni,0.025112984822934233,8.895,22.338,26.523151116,0.41154258321096565
Ir03,Ir,0.024719235895157707,22.51,55.643,25.836611691,0.4801466162393739
Cu03,Cu,0.018700134093194768,8.949,16.73475,25.217267680000003,0.3971165346890224
Fe03,Fe,0.02535977625222477,7.866,19.948,24.78206456,0.420382590305553
Ni04,Ni,0.02327599775154581,8.895,20.704,24.280577552000004,0.43032415255675266
Ir04,Ir,0.024877832074633496,22.51,56.0,23.56682592,0.5132730655471351
Cu04,Cu,0.018675829701642645,8.949,16.713,22.903360216000003,0.4253605833600867
Ni05,Ni,0.024472175379426645,8.895,21.768,22.412028276,0.4612767166728317
Ir05,Ir,0.02450510884051533,22.51,55.161,21.649518871199998,0.528630214261612
Cu05,Cu,0.018809084813945696,8.949,16.832250000000002,20.950928284,0.453387584938996
Ni06,Ni,0.025700955593029793,8.895,22.861,20.408677179,0.4877290838371257
Ir06,Ir,0.02475832963127499,22.51,55.731,19.572369718,0.5608520767658799
Cu06,Cu,0.018769694937981897,8.949,16.797,18.817627884,0.48859212322107953
Ni07,Ni,0.025960652051714446,8.895,23.092,18.226788987,0.5294442897524856
Ir07,Ir,0.025182141270546424,22.51,56.685,17.307151318285715,0.6077665475849653
Cu07,Cu,0.01870600067046598,8.949,16.740000000000002,16.475981808000004,0.5283553566502862
Ni08,Ni,0.02519280494659921,8.895,22.409,15.835813012800001,0.5727421569695975
Ir08,Ir,0.02577965348733896,22.51,58.03,14.816379776000002,0.6719888750464473
Cu08,Cu,0.018773885350318473,8.949,16.80075,13.8739402032,0.5903272742053705
Ni09,Ni,0.024441821247892074,8.895,21.741,13.157951890285716,0.6385622596505582
Ir09,Ir,0.025175033318525098,22.51,56.669,12.025782396,0.7584737837793072
Cu09,Cu,0.018793999329534027,8.949,16.81875,10.954163540571429,0.6869461939350928
Ni10,Ni,0.02596177627880832,8.895,23.093,10.066618755599997,0.7680402408087141
Ir10,Ir,0.024462461128387382,22.51,55.065,8.685555500470588,0.9165307302420639
Cu10,Cu,0.01870097217566209,8.949,16.735500000000002,7.368064638,0.884807084199674
SS02,SS_316,0.12862547288776796,7.93,102.0,3.001567228483517,2.570926657099407
