name,compound,thickness,density,ad,mu_E,sig_E
SS01,SS_316,0.12862547288776796,7.93,102.0,31.97390676857143,0.7551324991265067
Ni01,Ni,0.025600899381675098,8.895,22.772,30.695483984,0.37211883170767884
Ir01,Ir,0.024510884051532653,22.51,55.174,30.07601498,0.4486460875295801
Cu01,Cu,0.024961448206503523,8.949,22.338,29.466252728,0.3758286071929038
Fe01,Fe,0.025464022374777528,7.866,20.03,29.021150796,0.3754735150667306
Ni02,Ni,0.02598988195615514,8.895,23.118,28.548716196,0.394008065469845
Ir02,Ir,0.024700577521101733,22.51,55.601,27.889007476,0.4748224973272743
Cu02,Cu,0.024946921443736732,8.949,22.325,27.242367724000005,0.3978103457416107
Fe02,Fe,0.02544749555047038,7.866,20.017,26.770220180000003,0.39813523774813964
Ni03,Ni,0.025112984822934233,8.895,22.338,26.277226888,0.41458052704129206
Ir03,Ir,0.024719235895157707,22.51,55.643,25.586143374000002,0.483633640608153
Cu03,Cu,0.024933512124259694,8.949,22.313,24.898107872000004,0.4244535586511576
Fe03,Fe,0.02535977625222477,7.866,19.948,24.39366996,0.42556378393091493
Ni04,Ni,0.02327599775154581,8.895,20.704,23.886088644,0.4358180084372849
Ir04,Ir,0.024877832074633496,22.51,56.0,23.164003269000002,0.5197060766138045
Cu04,Cu,0.024901106268856856,8.949,22.284,22.422858744000003,0.4573851028255539
Ni05,Ni,0.024472175379426645,8.895,21.768,21.853438288,0.470088769063492
Ir05,Ir,0.02450510884051533,22.51,55.161,21.077061324000002,0.5388321628568278
Cu05,Cu,0.025078779751927592,8.949,22.443,20.289744376,0.49182868297037197
Ni06,Ni,0.025700955593029793,8.895,22.861,19.657939488,0.5014170358437156
Ir06,Ir,0.02475832963127499,22.51,55.731,18.799006556000002,0.5769784952361906
Cu06,Cu,0.0250262599173092,8.949,22.396,17.940506826,0.5246760219787119
Ni07,Ni,0.025960652051714446,8.895,23.092,17.2444206,0.5442609714947784
Ir07,Ir,0.025182141270546424,22.51,56.685,16.287609397714284,0.6337980592307865
Cu07,Cu,0.024941334227287965,8.949,22.32,15.328681922400001,0.5783851510315946
Ni08,Ni,0.02519280494659921,8.895,22.409,14.558974804,0.6035911400850427
Ir08,Ir,0.02577965348733896,22.51,58.03,13.476657744,0.7134770733953758
Cu08,Cu,0.025031847133757962,8.949,22.401,12.362504917714288,0.6626789241494074
Ni09,Ni,0.024441821247892074,8.895,21.741,11.4703938195,0.7002451807132994
Ir09,Ir,0.025175033318525098,22.51,56.669,10.221667367999999,0.838683332187821
Cu09,Cu,0.025058665772712038,8.949,22.425,8.885259648,0.8187584086401288
Ni10,Ni,0.02596177627880832,8.895,23.093,7.6970656488,0.91636613671296
Ir10,Ir,0.024462461128387382,22.51,55.065,6.007656057857144,1.1562945175023913
Cu10,Cu,0.024934629567549448,8.949,22.314,4.024402072,1.3662965598851908
SS02,SS_316,0.12862547288776796,7.93,102.0,0.5278699917623763,1.1176133560934798
