name,compound,thickness,density,ad,mu_E,sig_E
SS01,SS_316,0.12862547288776796,7.93,102.0,31.97272357714286,0.7552817859721372
Ni01,Ni,0.025600899381675098,8.895,22.772,30.694266856,0.3724013010985264
Ir01,Ir,0.024510884051532653,22.51,55.174,30.074791912000002,0.44889617514452523
Cu01,Cu,0.024961448206503523,8.949,22.338,29.464976244000002,0.3761319780338444
Fe01,Fe,0.02610062293414696,7.866,20.530749999999998,29.014372684,0.3779974412011755
Ni02,Ni,0.02598988195615514,8.895,23.118,28.536384184000003,0.39439567789043306
Ir02,Ir,0.024700577521101733,22.51,55.601,27.87646158,0.47524489042166834
Cu02,Cu,0.024946921443736732,8.949,22.325,27.229591004000003,0.3982461255081737
Fe02,Fe,0.02608368293923214,7.866,20.517425,26.751520092000003,0.40092725645472344
Ni03,Ni,0.025112984822934233,8.895,22.338,26.252426816,0.4151497099843648
Ir03,Ir,0.024719235895157707,22.51,55.643,25.560831087,0.48423296745512734
Cu03,Cu,0.024933512124259694,8.949,22.313,24.872301212,0.42508079355262696
Fe03,Fe,0.025993770658530386,7.866,20.4467,24.361251904,0.4286877925581446
Ni04,Ni,0.02327599775154581,8.895,20.704,23.847004632,0.43659870678065993
Ir04,Ir,0.024877832074633496,22.51,56.0,23.124020667,0.5206501425802889
Cu04,Cu,0.024901106268856856,8.949,22.284,22.381942000000002,0.4583445316658638
Ni05,Ni,0.024472175379426645,8.895,21.768,21.8117328,0.4710637299009127
Ir05,Ir,0.02450510884051533,22.51,55.161,21.0343089264,0.5399163726664337
Cu05,Cu,0.025078779751927592,8.949,22.443,20.245842011999997,0.4929535838593649
Ni06,Ni,0.025700955593029793,8.895,22.861,19.613001441,0.5026086856869105
Ir06,Ir,0.02475832963127499,22.51,55.731,18.752661246,0.5782700965965017
Cu06,Cu,0.0250262599173092,8.949,22.396,17.892654648,0.5260662630315655
Ni07,Ni,0.025960652051714446,8.895,23.092,17.195171796000004,0.5457599853632862
Ir07,Ir,0.025182141270546424,22.51,56.685,16.236421626857144,0.6355151609835411
Cu07,Cu,0.024941334227287965,8.949,22.32,15.275378157600002,0.5802147237842467
Ni08,Ni,0.02519280494659921,8.895,22.409,14.503638776,0.6056509874484
Ir08,Ir,0.02577965348733896,22.51,58.03,13.4183797572,0.7159712827071133
Cu08,Cu,0.025031847133757962,8.949,22.401,12.300828068571427,0.6654636396744203
Ni09,Ni,0.024441821247892074,8.895,21.741,11.405330491500001,0.703518149723494
Ir09,Ir,0.025175033318525098,22.51,56.669,10.151509829999998,0.8429222086389703
Cu09,Cu,0.025058665772712038,8.949,22.425,8.808505453000002,0.8230080876718435
Ni10,Ni,0.02596177627880832,8.895,23.093,7.612062823200001,0.9239141829839206
Ir10,Ir,0.024462461128387382,22.51,55.065,5.907768060857142,1.169723446836024
Cu10,Cu,0.024934629567549448,8.949,22.314,3.896099219294118,1.389429007646371
SS02,SS_316,0.12862547288776796,7.93,102.0,0.4868039095841585,1.066440401576575
