name,compound,thickness,density,ad,mu_E,sig_E
SS01,SS_316,0.12862547288776796,7.93,102.0,31.97359472057143,0.755197966272997
Ni01,Ni,0.025600899381675098,8.895,22.772,30.695151256000003,0.37222096581684183
Ir01,Ir,0.024510884051532653,22.51,55.174,30.075683528,0.4487298900557809
Cu01,Cu,0.024961448206503523,8.949,22.338,29.465911772000005,0.375899378631862
Fe01,Fe,0.022281019577930338,7.866,17.52625,29.048142068000004,0.3652706651357092
Ni02,Ni,0.02598988195615514,8.895,23.118,28.603498044,0.39350238754062744
Ir02,Ir,0.024700577521101733,22.51,55.601,27.944679224000005,0.4742535903066605
Cu02,Cu,0.024946921443736732,8.949,22.325,27.298956432,0.39729479357000064
Fe02,Fe,0.022266558606661584,7.866,17.514875,26.856614399999998,0.3866395900481998
Ni03,Ni,0.025112984822934233,8.895,22.338,26.393957964,0.4133008708543629
Ir03,Ir,0.024719235895157707,22.51,55.643,25.705015149000005,0.4821230750757609
Cu03,Cu,0.024933512124259694,8.949,22.313,25.019196928000003,0.4230297813669421
Fe03,Fe,0.02218980422069667,7.866,17.4545,24.547610252000002,0.41230153817866916
Ni04,Ni,0.02327599775154581,8.895,20.704,24.073597416000002,0.4333816102860423
Ir04,Ir,0.024877832074633496,22.51,56.0,23.355464748000003,0.5167459318362327
Cu04,Cu,0.024901106268856856,8.949,22.284,22.61863912,0.4546295255057964
Ni05,Ni,0.024472175379426645,8.895,21.768,22.052907536,0.4670630868848541
Ir05,Ir,0.02450510884051533,22.51,55.161,21.2815633536,0.5352959882135503
Cu05,Cu,0.025078779751927592,8.949,22.443,20.499613904000004,0.4882559463415462
Ni06,Ni,0.025700955593029793,8.895,22.861,19.872690948000002,0.49756688913035735
Ir06,Ir,0.02475832963127499,22.51,55.731,19.020385428,0.5723601553473624
Cu06,Cu,0.0250262599173092,8.949,22.396,18.168946026,0.5200536830162896
Ni07,Ni,0.025960652051714446,8.895,23.092,17.4794632056,0.5391338246949196
Ir07,Ir,0.025182141270546424,22.51,56.685,16.531866289714287,0.6274760279308248
Cu07,Cu,0.024941334227287965,8.949,22.32,15.582929076,0.571847375054731
Ni08,Ni,0.02519280494659921,8.895,22.409,14.822658708,0.5961388063997938
Ir08,Ir,0.02577965348733896,22.51,58.03,13.754085708000002,0.7039391159114109
Cu08,Cu,0.025031847133757962,8.949,22.401,12.655842313714285,0.6522411498239028
Ni09,Ni,0.024441821247892074,8.895,21.741,11.7793327245,0.687701641031492
Ir09,Ir,0.025175033318525098,22.51,56.669,10.554198958285713,0.8214701219209032
Cu09,Cu,0.025058665772712038,8.949,22.425,9.248182884,0.7973020581695764
Ni10,Ni,0.02596177627880832,8.895,23.093,8.096650376571429,0.8864963192839719
Ir10,Ir,0.024462461128387382,22.51,55.065,6.472298643359999,1.1028104412165782
Cu10,Cu,0.024934629567549448,8.949,22.314,4.612172626285715,1.2593343000804127
SS02,SS_316,0.12862547288776796,7.93,102.0,0.7535957605544554,1.3688769018670033
