name,compound,thickness,density,ad,mu_E,sig_E
SS01,SS_316,0.12862547288776796,7.93,102.0,31.971978418285712,0.7551218403307611
Ni01,Ni,0.025344890387858345,8.895,22.544279999999997,30.695883592,0.3710398832270968
Ir01,Ir,0.024510884051532653,22.51,55.174,30.078830319999998,0.4485324441427817
Cu01,Cu,0.024961448206503523,8.949,22.338,29.46909658,0.3757339125608754
Fe01,Fe,0.025464022374777528,7.866,20.03,29.024008596,0.375396135076147
Ni02,Ni,0.02572998313659359,8.895,22.886819999999997,28.554156664,0.3927716207675793
Ir02,Ir,0.024700577521101733,22.51,55.601,27.897091816,0.47468868786376417
Cu02,Cu,0.024946921443736732,8.949,22.325,27.250589255999998,0.3976202503411597
Fe02,Fe,0.02544749555047038,7.866,20.017,26.778627084,0.3979589411354606
Ni03,Ni,0.024861854974704892,8.895,22.114620000000002,26.288357303999998,0.41324553617171916
Ir03,Ir,0.024719235895157707,22.51,55.643,25.600113858,0.4833571579488151
Cu03,Cu,0.024933512124259694,8.949,22.313,24.912364884,0.4241832130337863
Fe03,Fe,0.02535977625222477,7.866,19.948,24.408180368,0.4252788879351815
Ni04,Ni,0.023043237774030355,8.895,20.49696,23.90346024,0.4343918904435745
Ir04,Ir,0.024877832074633496,22.51,56.0,23.184349485000002,0.5193035623180673
Cu04,Cu,0.024901106268856856,8.949,22.284,22.443629647999998,0.4570007360250048
Ni05,Ni,0.024227453625632375,8.895,21.55032,21.877562828000002,0.4683886524166042
Ir05,Ir,0.02450510884051533,22.51,55.161,21.1047771264,0.538236761667724
Cu05,Cu,0.025078779751927592,8.949,22.443,20.318181356000004,0.491211068757618
Ni06,Ni,0.025443946037099496,8.895,22.63239,19.690386407999995,0.4994680788207166
Ir06,Ir,0.02475832963127499,22.51,55.731,18.835856842000002,0.5760695433867226
Cu06,Cu,0.0250262599173092,8.949,22.396,17.978531868,0.5237625711564646
Ni07,Ni,0.0257010455311973,8.895,22.861079999999998,17.287259642400002,0.541921860296689
Ir07,Ir,0.025182141270546424,22.51,56.685,16.335950777142855,0.6323594348225623
Cu07,Cu,0.024941334227287965,8.949,22.32,15.379024478400002,0.5768931836373246
Ni08,Ni,0.02494087689713322,8.895,22.18491,14.615260308000002,0.6005504112260228
Ir08,Ir,0.02577965348733896,22.51,58.03,13.540114764000002,0.7110948537485167
Cu08,Cu,0.025031847133757962,8.949,22.401,12.429660879428571,0.6600395948699558
Ni09,Ni,0.02419740303541315,8.895,21.52359,11.545849095000001,0.6955744666573673
Ir09,Ir,0.025175033318525098,22.51,56.669,10.307934176571429,0.8338857621088441
Cu09,Cu,0.025058665772712038,8.949,22.425,8.97960132,0.8127348677337879
Ni10,Ni,0.025702158516020236,8.895,22.86207,7.8078701096,0.9054336658757969
Ir10,Ir,0.024462461128387382,22.51,55.065,6.144593145777778,1.139270423240865
Cu10,Cu,0.024934629567549448,8.949,22.314,4.199511492000001,1.333495341996025
SS02,SS_316,0.12862547288776796,7.93,102.0,0.5884026079603961,1.190008143678391
