name,compound,thickness,density,ad,mu_E,sig_E
SS01,SS_316,0.13119798234552335,7.93,104.04,31.952341438285714,0.7678762039111774
Ni01,Ni,0.025600899381675098,8.895,22.772,30.652145083999997,0.371910675564218
Ir01,Ir,0.024510884051532653,22.51,55.174,30.0320493,0.4486235118599002
Cu01,Cu,0.024961448206503523,8.949,22.338,29.421625552000002,0.3756434987334338
Fe01,Fe,0.025464022374777528,7.866,20.03,28.976004420000002,0.37532184083059117
Ni02,Ni,0.02598988195615514,8.895,23.118,28.502989768000003,0.3938487238411548
Ir02,Ir,0.024700577521101733,22.51,55.601,27.842529748,0.47485295926113424
Cu02,Cu,0.024946921443736732,8.949,22.325,27.195146088,0.39763168441447966
Fe02,Fe,0.02544749555047038,7.866,20.017,26.722430328,0.3979730191078441
Ni03,Ni,0.025112984822934233,8.895,22.338,26.228724896,0.41442117893489616
Ir03,Ir,0.024719235895157707,22.51,55.643,25.536710627999998,0.48370553609385697
Cu03,Cu,0.024933512124259694,8.949,22.313,24.847636572000003,0.42439457131316943
Fe03,Fe,0.02535977625222477,7.866,19.948,24.342531752,0.42546157772448806
Ni04,Ni,0.02327599775154581,8.895,20.704,23.83420688,0.43573354239565454
Ir04,Ir,0.024877832074633496,22.51,56.0,23.110945506,0.5199151278222283
Cu04,Cu,0.024901106268856856,8.949,22.284,22.368550248000002,0.4574680892861693
Ni05,Ni,0.024472175379426645,8.895,21.768,21.798103052000002,0.4701886772650798
Ir05,Ir,0.02450510884051533,22.51,55.161,21.020348896799998,0.5391160310009552
Cu05,Cu,0.025078779751927592,8.949,22.443,20.231525732000005,0.4920233269570298
Ni06,Ni,0.025700955593029793,8.895,22.861,19.598361981,0.5016512282350714
Ir06,Ir,0.02475832963127499,22.51,55.731,18.737545992,0.5774629288367661
Cu06,Cu,0.0250262599173092,8.949,22.396,17.877052215,0.5250770404079709
Ni07,Ni,0.025960652051714446,8.895,23.092,17.1791215464,0.5447914663495315
Ir07,Ir,0.025182141270546424,22.51,56.685,16.219685573142858,0.6346882293155841
Cu07,Cu,0.024941334227287965,8.949,22.32,15.257980504800003,0.5792419477109174
Ni08,Ni,0.02519280494659921,8.895,22.409,14.485588744000001,0.6046605411803407
Ir08,Ir,0.02577965348733896,22.51,58.03,13.3993848912,0.7152351396252594
Cu08,Cu,0.025031847133757962,8.949,22.401,12.280721772,0.6645053661170262
Ni09,Ni,0.024441821247892074,8.895,21.741,11.384093688000002,0.7025848101080457
Ir09,Ir,0.025175033318525098,22.51,56.669,10.128628685999999,0.8424010630658563
Cu09,Cu,0.025058665772712038,8.949,22.425,8.783479144000001,0.8223915889629632
Ni10,Ni,0.02596177627880832,8.895,23.093,7.584454086,0.9230146517899401
Ir10,Ir,0.024462461128387382,22.51,55.065,5.875282205571429,1.1713497106292203
Cu10,Cu,0.024934629567549448,8.949,22.314,3.854429975647059,1.3932182371088557
SS02,SS_316,0.12862547288776796,7.93,102.0,0.47317448091089115,1.0482325443278016
