name,compound,thickness,density,ad,mu_E,sig_E
SS01,SS_316,0.10933165195460277,7.93,86.7,32.128734879999996,0.6720324797384318
Ni01,Ni,0.025600899381675098,8.895,22.772,31.01268654,0.3684774885808201
Ir01,Ir,0.024510884051532653,22.51,55.174,30.397804976000003,0.4445441081890969
Cu01,Cu,0.024961448206503523,8.949,22.338,29.792667256,0.3719431476790915
Fe01,Fe,0.025464022374777528,7.866,20.03,29.351274084000003,0.371514460539507
Ni02,Ni,0.02598988195615514,8.895,23.118,28.882882291999998,0.3897514990154967
Ir02,Ir,0.024700577521101733,22.51,55.601,28.228660240000004,0.47004327361971937
Cu02,Cu,0.024946921443736732,8.949,22.325,27.587617112000004,0.39324564803794
Fe02,Fe,0.02544749555047038,7.866,20.017,27.11997574,0.3934589168940672
Ni03,Ni,0.025112984822934233,8.895,22.338,26.631797324,0.4095856134514969
Ir03,Ir,0.024719235895157707,22.51,55.643,25.947343455,0.4780345949370851
Cu03,Cu,0.024933512124259694,8.949,22.313,25.266143275999998,0.4189627746327682
Fe03,Fe,0.02535977625222477,7.866,19.948,24.767303088000002,0.4198301862725742
Ni04,Ni,0.02327599775154581,8.895,20.704,24.265627936,0.4297729263697051
Ir04,Ir,0.024877832074633496,22.51,56.0,23.551553784000003,0.5128658909142636
Cu04,Cu,0.024901106268856856,8.949,22.284,22.8190589,0.45063792299671135
Ni05,Ni,0.024472175379426645,8.895,21.768,22.257094552,0.462835385548598
Ir05,Ir,0.02450510884051533,22.51,55.161,21.490806348000003,0.5306446803755813
Cu05,Cu,0.025078779751927592,8.949,22.443,20.7142606,0.48345356389175576
Ni06,Ni,0.025700955593029793,8.895,22.861,20.092214373,0.4924358537801821
Ir06,Ir,0.02475832963127499,22.51,55.731,19.246561488,0.5666343282746166
Cu06,Cu,0.0250262599173092,8.949,22.396,18.402209694,0.5140928082286567
Ni07,Ni,0.025960652051714446,8.895,23.092,17.719129461,0.5393989266858524
Ir07,Ir,0.025182141270546424,22.51,56.685,16.780853628000003,0.6199200555632342
Cu07,Cu,0.024941334227287965,8.949,22.32,15.8418659784,0.5638499207865607
Ni08,Ni,0.02519280494659921,8.895,22.409,15.0908093688,0.5916122255915149
Ir08,Ir,0.02577965348733896,22.51,58.03,14.035816094666668,0.696036266831091
Cu08,Cu,0.025031847133757962,8.949,22.401,12.953316570857142,0.6402700152145909
Ni09,Ni,0.024441821247892074,8.895,21.741,12.091912762285716,0.6760704345967712
Ir09,Ir,0.025175033318525098,22.51,56.669,10.889545584923077,0.8047454712291714
Cu09,Cu,0.025058665772712038,8.949,22.425,9.6124683204,0.7761936727405107
Ni10,Ni,0.02596177627880832,8.895,23.093,8.495133290769232,0.8569647341357404
Ir10,Ir,0.024462461128387382,22.51,55.065,6.92918659878261,1.05407556878772
Cu10,Cu,0.024934629567549448,8.949,22.314,5.172704669,1.163216691810086
SS02,SS_316,0.10933165195460277,7.93,86.7,1.2037315273663367,1.6981604024949737
