name,compound,thickness,density,ad,mu_E,sig_E
SS01,SS_316,0.12540983606557377,7.93,99.45,31.999119768,0.7538261121449868
Ni01,Ni,0.025600899381675098,8.895,22.772,30.748105168000002,0.37105747476596107
Ir01,Ir,0.024510884051532653,22.51,55.174,30.129390148000002,0.44760029781998373
Cu01,Cu,0.024961448206503523,8.949,22.338,29.520379856,0.37469709628634595
Fe01,Fe,0.025464022374777528,7.866,20.03,29.075914912000002,0.3743289603223778
Ni02,Ni,0.02598988195615514,8.895,23.118,28.604154832000003,0.39279915720257325
Ir02,Ir,0.024700577521101733,22.51,55.601,27.945356032000003,0.47360141546369444
Cu02,Cu,0.024946921443736732,8.949,22.325,27.29967592,0.39652987494532316
Fe02,Fe,0.02544749555047038,7.866,20.017,26.82830788,0.39680556513474663
Ni03,Ni,0.025112984822934233,8.895,22.338,26.336181388,0.413250230260545
Ir03,Ir,0.024719235895157707,22.51,55.643,25.646125989,0.48225585977857427
Cu03,Cu,0.024933512124259694,8.949,22.313,24.959207944,0.42294287620823323
Fe03,Fe,0.02535977625222477,7.866,19.948,24.455730552,0.42400381644246476
Ni04,Ni,0.02327599775154581,8.895,20.704,23.949210076,0.43420154975779884
Ir04,Ir,0.024877832074633496,22.51,56.0,23.228421645,0.5180433313300095
Cu04,Cu,0.024901106268856856,8.949,22.284,22.488722344000003,0.45567938684468234
Ni05,Ni,0.024472175379426645,8.895,21.768,21.920570408000003,0.46827464229735266
Ir05,Ir,0.02450510884051533,22.51,55.161,21.1458938856,0.5368874050336198
Cu05,Cu,0.025078779751927592,8.949,22.443,20.360365476000002,0.48978492343812857
Ni06,Ni,0.025700955593029793,8.895,22.861,19.730222391,0.4992486664241009
Ir06,Ir,0.02475832963127499,22.51,55.731,18.873537364,0.5745867654026948
Cu06,Cu,0.0250262599173092,8.949,22.396,18.017427648,0.5221839576329286
Ni07,Ni,0.025960652051714446,8.895,23.092,17.323556500800002,0.541576043803693
Ir07,Ir,0.025182141270546424,22.51,56.685,16.369889033142858,0.6307520862494796
Cu07,Cu,0.024941334227287965,8.949,22.32,15.414384981600001,0.5750868239314545
Ni08,Ni,0.02519280494659921,8.895,22.409,14.647865562,0.5999646926931819
Ir08,Ir,0.02577965348733896,22.51,58.03,13.5702247692,0.7092045450483286
Cu08,Cu,0.025031847133757962,8.949,22.401,12.461537333142857,0.6578898043419533
Ni09,Ni,0.024441821247892074,8.895,21.741,11.574768513,0.6946501976748937
Ir09,Ir,0.025175033318525098,22.51,56.669,10.334133659142857,0.831480141478061
Cu09,Cu,0.025058665772712038,8.949,22.425,9.008226924,0.8097386484301575
Ni10,Ni,0.02596177627880832,8.895,23.093,7.8328415704,0.9038898369155735
Ir10,Ir,0.024462461128387382,22.51,55.065,6.166423579555556,1.1351571208027764
Cu10,Cu,0.024934629567549448,8.949,22.314,4.22739909367742,1.3263307379934208
SS02,SS_316,0.12862547288776796,7.93,102.0,0.5980819928316832,1.20087580987674
