# Reaction        (x,n)        (x,p)        (x,A)        (x,d)        (x,t)        (x,h)        (x,2n)       (x,np)       (x,nA)       (x,nd)       (x,nt)       (x,nh)       (x,2p)       (x,pA)       (x,pd)       (x,2A)   (x,Ad)   (x,3n)       (x,2np)      (x,2nA)      (x,npA)      (x,n2p)      (x,4n)       (x,5n)               
 1.000000e+00 1.492453e-04 9.321673e-06 2.234169e-07 1.293418e-16 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 3.500000e+00 1.178688e+02 2.117093e+01 5.336565e+00 8.696412e-02 0.000000e+00 0.000000e+00 0.000000e+00 1.746408e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.302088e-11 0.000000e+00 8.827016e-24 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 6.000000e+00 4.013083e+02 1.433551e+02 3.539239e+01 2.084941e+00 0.000000e+00 0.000000e+00 2.073652e+02 4.873231e+01 5.838113e-05 0.000000e+00 0.000000e+00 0.000000e+00 3.762745e-13 1.922554e-04 0.000000e+00 1.479099e-12 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 8.500000e+00 2.869245e+02 1.785152e+02 5.195759e+01 5.476082e+00 0.000000e+00 0.000000e+00 5.470502e+02 1.728101e+02 3.937654e-01 4.510972e-14 0.000000e+00 0.000000e+00 1.084172e-04 1.514391e-01 0.000000e+00 7.103641e-08 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 1.100000e+01 2.135267e+02 1.793092e+02 4.589454e+01 9.129549e+00 0.000000e+00 0.000000e+00 6.828543e+02 3.031863e+02 1.519155e+01 4.851930e-02 0.000000e+00 0.000000e+00 4.447947e-02 9.768099e-01 0.000000e+00 1.383251e-04 8.057926e-17 0.000000e+00 1.313024e-07 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
 1.350000e+01 1.909009e+02 1.853201e+02 2.833074e+01 1.145122e+01 0.000000e+00 0.000000e+00 6.866391e+02 4.021431e+02 5.322531e+01 2.426898e+00 0.000000e+00 0.000000e+00 5.829669e-01 1.555415e+00 1.971897e-10 1.360603e-02 7.828427e-09 0.000000e+00 2.998105e+00 9.977798e-13 2.890754e-13 0.000000e+00 0.000000e+00 0.000000e+00
 1.600000e+01 1.800348e+02 1.898159e+02 1.801297e+01 1.080797e+01 0.000000e+00 0.000000e+00 6.006998e+02 4.608009e+02 9.157250e+01 8.945444e+00 0.000000e+00 0.000000e+00 1.849566e+00 3.473432e+00 2.272516e-04 1.573986e-01 3.285808e-05 5.269193e-03 6.844816e+01 2.288487e-04 6.571482e-06 7.392458e-09 0.000000e+00 0.000000e+00
 1.850000e+01 1.729281e+02 1.899900e+02 1.306016e+01 9.490606e+00 0.000000e+00 0.000000e+00 4.506157e+02 4.506330e+02 1.160257e+02 1.778637e+01 0.000000e+00 0.000000e+00 3.283523e+00 6.869167e+00 3.750003e-02 5.969176e-01 3.417017e-03 1.837032e+01 2.273823e+02 1.708861e-01 7.575905e-03 1.460854e-03 0.000000e+00 0.000000e+00
 2.100000e+01 1.639862e+02 1.838217e+02 1.009503e+01 8.288825e+00 0.000000e+00 0.000000e+00 3.238667e+02 4.054241e+02 1.217479e+02 2.647816e+01 0.000000e+00 0.000000e+00 4.668061e+00 9.769660e+00 3.443944e-01 1.348142e+00 5.008071e-02 7.682063e+01 3.607411e+02 5.970741e+00 2.338211e-01 2.106959e-01 0.000000e+00 0.000000e+00
 2.350000e+01 1.565746e+02 1.790336e+02 8.230697e+00 7.186979e+00 0.000000e+00 0.000000e+00 2.465794e+02 3.663810e+02 1.034715e+02 3.301443e+01 0.000000e+00 0.000000e+00 5.422239e+00 1.107320e+01 9.775049e-01 2.099048e+00 2.528169e-01 1.180921e+02 4.480654e+02 2.923909e+01 1.692051e+00 2.147189e+00 0.000000e+00 0.000000e+00
