
                       be used for evaluation purposes
                                                             7-Mar-2019 13:03
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: AC02262019_Ir10_31_hpge.Chn      
 Sample Title :          Ir10

 Spectrum saved on 26-Feb-2019 at  5:10    Collected on 26-Feb-2019 at  4:34
 Sample  Taken  on 26-Feb-2019 at  4:34    Decayed      0 Days,     0 mins.

            Detector file number used:     1
            Energy     Calibration Performed on  6-Mar-2019 at 16:50
            Peak Shape Calibration Performed on  6-Mar-2019 at 16:52

 

   Datetime:  26-Feb-2019   4:34
   Live:      1926.00 
   Mass:      1077
   Shelf:     30
   Detector:      1

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           
                                                                                                     
              


 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   63.0   343.8   1.07    10.4    1.38      1904    9.6   9.8882e-01    9.6     2349
   64.7   353.3   1.07    13.4    1.38      2520    7.4   1.3085e+00    7.4     2349
   66.8   364.9   1.08     5.1    1.38       714   24.7   3.7091e-01   24.7     2349
   73.2   399.6   1.07     5.3    1.02       962   35.1   4.9944e-01   35.1     2656
   74.8   408.6   1.07     5.3    1.02       850   39.4   4.4124e-01   39.4     2656
   84.7   462.4   1.08     3.5    0.85       270   57.7   1.4014e-01   57.7     2321
  186.7  1020.3   1.17     6.7    0.77       792   16.9   4.1119e-01   16.9     1534
  238.7  1304.9   1.21     6.3    0.78       438   22.1   2.2747e-01   22.1      891
  283.1  1547.7   1.25     8.8    1.19       720   13.1   3.7397e-01   13.1      653
  293.7  1605.6   1.29    12.5    0.87      1657    6.4   8.6048e-01    6.4      614
  295.8  1616.9   1.29     5.9    0.87       387   20.6   2.0094e-01   20.6      614
  300.9  1645.0   1.29     4.4    0.87       285   26.5   1.4786e-01   26.5      614
  308.5  1686.6   1.27     3.4    1.15       203   39.0   1.0546e-01   39.0      587
  316.6  1730.8   1.28     7.4    0.64       617   14.0   3.2047e-01   14.0      602
  328.6  1796.3   1.29    28.9    1.43      7399    2.9   3.8415e+00    2.9      553
  352.0  1924.4   1.30     5.2    0.84       402   18.1   2.0876e-01   18.1      427
  361.1  1974.1   1.31     7.0    1.45       489   16.5   2.5415e-01   16.5      382
  468.3  2560.2   1.40     4.7    0.95       238   23.7   1.2351e-01   23.7      237
  477.3  2609.2   1.41     3.9    0.93       163   33.1   8.4836e-02   33.1      230
  502.8  2749.1   1.24     4.4    1.32       205   22.7   1.0638e-01   22.7      183
  511.1  2794.1   2.68    10.4    1.32      7784    2.4   4.0416e+00    2.4      396
  539.0  2947.0   1.46     3.4    1.15       173   27.6   8.9769e-02   27.6      157
  583.3  3189.1   1.50     5.2    0.83       235   18.9   1.2224e-01   18.9      147
  588.8  3219.3   1.50     3.5    0.83        98   40.6   5.1084e-02   40.6      147
  605.2  3308.6   1.52     3.3    0.84        94   36.8   4.8643e-02   36.8      134
  609.3  3331.4   1.52     5.5    0.84       407   11.2   2.1148e-01   11.2      134
  616.4  3369.9   1.53     6.0    0.84       219   19.1   1.1381e-01   19.1      134
  622.4  3402.7   1.53     3.5    0.84       120   30.0   6.2520e-02   30.0      134
  645.3  3528.2   1.55     5.9    1.04       335   15.8   1.7390e-01   15.8      136
  656.1  3587.0   1.56     5.3    0.73       227   20.7   1.1782e-01   20.7      139
  846.9  4630.3   1.78    10.3    0.97      1057    6.9   5.4856e-01    6.9       78
  911.1  4981.4   1.78     3.7    0.97       146   24.7   7.5637e-02   24.7       66
  931.2  5091.7   1.79     5.2    1.28       399   11.5   2.0699e-01   11.5       74
  938.7  5132.5   1.80     3.3    1.28       120   28.5   6.2442e-02   28.5       74
  968.9  5297.7   1.82     3.9    0.81        88   40.0   4.5785e-02   40.0       75
 1120.2  6125.2   1.95     3.9    1.21       143   23.8   7.4238e-02   23.8       44
 1150.7  6292.1   1.98     3.7    1.05       117   28.1   6.0688e-02   28.1       56
 1408.5  7701.4   2.19     3.5    0.92        65   37.0   3.3965e-02   37.0       27
 1433.8  7840.0   2.22     3.4    0.74        40   55.9   2.0917e-02   55.9       28
 1460.6  7986.2   2.19    11.6    1.00      1021    6.3   5.3014e-01    6.3       22
 1764.3  9647.0   2.49     3.7    0.74        92   27.0   4.8020e-02   27.0       11
 1810.4  9899.2   2.53     5.1    0.74       191   15.8   9.9412e-02   15.8        9
 2112.3 11550.3   2.79     3.9    0.77        86   30.2   4.4576e-02   30.2       13
 2613.5 14291.0   3.21     4.6    0.61       191   17.1   9.8938e-02   17.1        5
