
                       be used for evaluation purposes
                                                             8-Mar-2019 15:05
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: AJ02272019_32cm_Cu03_HPGE2.Chn   
 Sample Title :          Cu03

 Spectrum saved on 27-Feb-2019 at  9:27    Collected on 27-Feb-2019 at  8:46
 Sample  Taken  on 27-Feb-2019 at  8:46    Decayed      0 Days,     0 mins.

            Detector file number used:     2
            Energy     Calibration Performed on  8-Mar-2019 at 11:34
            Peak Shape Calibration Performed on  8-Mar-2019 at 11:35

 

   Datetime:  27-Feb-2019   8:46
   Live:      2313.00 
   Mass:      329
   Shelf:     30
   Detector:      2

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           
                                                                                                     
              


 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   41.0   223.1   1.07    24.7    0.83      6965    4.7   3.0111e+00    4.7     5591
   63.3   345.0   1.21     3.8    1.17      1217   19.8   5.2637e-01   19.8     6507
   64.9   353.9   1.21     8.1    1.17      2043   12.0   8.8345e-01   12.0     6507
   69.0   376.3   1.21     3.9    1.17       764   31.5   3.3023e-01   31.5     6507
   73.0   398.1   1.22     7.6    1.17      2452   10.3   1.0602e+00   10.3     6507
   75.0   409.1   1.22    10.3    1.17      3615    7.5   1.5630e+00    7.5     6507
   84.9   463.1   1.11     5.8    1.15      1155   23.9   4.9936e-01   23.9     6737
  243.6  1332.1   1.26     7.4    1.04      1752   13.3   7.5758e-01   13.3     5346
  247.2  1351.7   1.26     6.3    1.04      1299   17.9   5.6169e-01   17.9     5791
  260.7  1425.6   1.28     4.1    0.72       835   27.4   3.6079e-01   27.4     5436
  277.6  1518.0   1.29     3.3    0.83       417   53.2   1.8024e-01   53.2     5334
  295.4  1615.5   1.31     3.3    0.88       412   56.6   1.7831e-01   56.6     5540
  328.6  1797.4   1.34     4.4    1.04       814   34.0   3.5180e-01   34.0     6504
  351.8  1924.2   1.36     3.6    1.26       723   28.8   3.1273e-01   28.8     4061
  394.1  2155.9   1.40     7.3    0.92      1000   15.9   4.3249e-01   15.9     2159
  409.6  2240.5   1.41     3.3    1.14       443   32.8   1.9150e-01   32.8     1968
  510.9  2795.2   2.70    63.1   20.56    248234    1.7   1.0732e+02    1.7    26823
  538.8  2947.7   1.53     7.8    0.98       749   10.3   3.2372e-01   10.3      326
  548.4  3000.4   1.55    20.3    1.31      4588    3.6   1.9834e+00    3.6      333
  569.1  3113.6   1.56     3.4    0.91       106   54.8   4.5872e-02   54.8      263
  583.1  3190.6   1.57     3.9    0.94       234   26.2   1.0101e-01   26.2      257
  596.6  3264.2   1.60    28.7    1.13      7219    2.4   3.1210e+00    2.4      285
  609.2  3333.1   1.59     8.1    0.85       526   13.3   2.2733e-01   13.3      274
  721.0  3945.4   1.70     3.3    1.24        82   57.7   3.5354e-02   57.7      159
  911.2  4986.1   1.87     3.5    0.98       143   32.6   6.1724e-02   32.6      132
  969.1  5303.2   1.92     3.4    0.76       110   36.9   4.7448e-02   36.9      114
 1115.5  6104.8   2.06     9.6    1.52       846    8.2   3.6567e-01    8.2       91
 1120.3  6130.9   2.06     3.5    1.52       193   23.4   8.3413e-02   23.4       91
 1172.8  6418.1   2.11     3.9    0.98        69   57.0   2.9832e-02   57.0       95
 1238.1  6775.8   2.17     3.3    0.80        64   54.6   2.7808e-02   54.6       83
 1345.9  7365.6   2.27    10.0    0.97       692    7.9   2.9904e-01    7.9       42
 1377.8  7540.2   2.29     3.5    0.95        64   38.7   2.7557e-02   38.7       26
 1460.7  7994.0   2.52    12.4    1.01      1548    5.1   6.6919e-01    5.1       37
 1764.4  9656.5   2.65     4.0    0.89       125   23.0   5.3910e-02   23.0       19
 2204.5 12065.3   3.05     3.5    0.71        39   57.2   1.6793e-02   57.2        9
 2614.1 14307.3   3.42     4.4    0.71       179   18.6   7.7491e-02   18.6        6
