
                       be used for evaluation purposes
                                                             7-Mar-2019 14:04
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: AN02272019_32cm_Ni04_HPGE1.Chn   
 Sample Title :          Ni04

 Spectrum saved on 27-Feb-2019 at 12:13    Collected on 27-Feb-2019 at 11:31
 Sample  Taken  on 27-Feb-2019 at 11:31    Decayed      0 Days,     0 mins.

            Detector file number used:     1
            Energy     Calibration Performed on  6-Mar-2019 at 16:50
            Peak Shape Calibration Performed on  6-Mar-2019 at 16:52

 

   Datetime:  27-Feb-2019  11:31
   Live:      2359.00 
   Mass:      428
   Shelf:     30
   Detector:      1

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           
                                                                                                     
              


 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   66.8   364.8   1.05     3.3    0.82       759   35.2   3.2171e-01   35.2     8540
   68.5   374.0   1.05     3.6    0.82      1202   22.7   5.0944e-01   22.7     7763
   72.6   396.4   1.05    13.3    0.82      3456    8.7   1.4652e+00    8.7     8540
   74.8   408.2   1.05    20.5    0.82      6432    4.9   2.7265e+00    4.9     8540
   84.6   462.2   1.15     8.6    1.07      2857   14.4   1.2111e+00   14.4    10794
   87.0   475.0   1.15     3.4    1.07       932   44.1   3.9524e-01   44.1    10794
   91.8   501.3   1.16    11.7    1.07      3650   11.5   1.5475e+00   11.5    10794
  121.9   665.9   1.11    52.6    0.93     28038    1.5   1.1886e+01    1.5     9912
  127.0   694.1   1.12    66.3    0.93     40751    1.2   1.7275e+01    1.2     9912
  136.4   745.0   1.09    12.7    1.05      3266    9.7   1.3846e+00    9.7     9519
  385.4  2106.7   1.33     5.5    1.03       637   29.8   2.7014e-01   29.8     3243
  411.6  2250.2   1.35     7.6    0.80      1196   14.3   5.0695e-01   14.3     2725
  477.3  2609.6   1.42    47.7    0.95     19549    1.6   8.2870e+00    1.6     2348
  511.1  2794.1   2.64    65.9    4.77    299846    0.9   1.2711e+02    0.9    17441
  520.0  2842.8   1.45     7.7    1.32      1009   17.6   4.2758e-01   17.6     1297
  583.2  3188.5   1.50     3.6    0.76       319   39.0   1.3506e-01   39.0     1382
  609.5  3332.1   1.52     4.8    0.84       470   27.8   1.9924e-01   27.8     1464
  744.3  4069.5   1.67    11.7    0.98      1955    7.1   8.2856e-01    7.1     1103
  803.8  4394.9   1.69     9.0    1.35      1154    9.6   4.8908e-01    9.6      725
  810.8  4433.4   1.69    46.1    1.35     18916    1.4   8.0187e+00    1.4      770
  827.6  4524.9   1.71     3.5    0.83       178   49.7   7.5592e-02   49.7      616
  847.0  4630.9   1.72     7.2    1.00       799   13.0   3.3882e-01   13.0      633
  911.2  4982.3   1.78     3.8    0.98       206   42.6   8.7385e-02   42.6      575
  931.3  5091.9   1.80    67.9    1.30     37640    1.1   1.5956e+01    1.1      667
  935.5  5115.1   1.80    11.9    1.30      1588    8.0   6.7315e-01    8.0      667
  984.4  5382.6   1.84     3.7    1.02       223   40.9   9.4613e-02   40.9      605
 1238.1  6769.9   2.05     6.5    0.98       475   15.9   2.0142e-01   15.9      429
 1246.2  6813.8   2.06     4.1    0.98       126   53.0   5.3230e-02   53.0      429
 1316.3  7197.2   2.11    16.9    1.38      2515    4.5   1.0660e+00    4.5      228
 1369.5  7488.2   2.15     9.8    1.22      1094    7.2   4.6367e-01    7.2      139
 1372.7  7505.7   2.15     6.7    1.22       236   26.2   1.0002e-01   26.2      139
 1377.3  7530.9   2.15    57.1    1.22     26642    1.3   1.1294e+01    1.3      139
 1408.2  7700.0   2.24    24.7    0.77      5597    2.5   2.3725e+00    2.5      163
 1433.9  7840.3   2.13    12.3    1.15      1186    6.7   5.0256e-01    6.7      131
 1460.5  7985.9   2.26    11.8    0.81      1258    6.0   5.3316e-01    6.0      116
 1757.1  9608.1   2.55    13.6    0.99      1657    4.8   7.0248e-01    4.8       61
 1764.1  9645.9   2.55     3.3    0.99       120   28.8   5.0791e-02   28.8       61
 1771.2  9684.7   2.56     3.3    0.99        68   46.0   2.8849e-02   46.0       64
 1919.0 10493.0   2.57    22.4    1.56      3290    3.6   1.3945e+00    3.6       31
 2176.5 11901.1   2.84     3.4    0.72        41   55.5   1.7559e-02   55.5       16
 2203.6 12049.5   2.86     3.4    0.57        38   57.2   1.6256e-02   57.2       12
 2613.5 14290.8   3.21     6.3    0.83       229   15.3   9.7119e-02   15.3        9
