
                       be used for evaluation purposes
                                                             7-Mar-2019 14:07
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: AO02272019_32cm_Ni07_HPGE1.Chn   
 Sample Title :          Ni07

 Spectrum saved on 27-Feb-2019 at 12:56    Collected on 27-Feb-2019 at 12:20
 Sample  Taken  on 27-Feb-2019 at 12:20    Decayed      0 Days,     0 mins.

            Detector file number used:     1
            Energy     Calibration Performed on  6-Mar-2019 at 16:50
            Peak Shape Calibration Performed on  6-Mar-2019 at 16:52

 

   Datetime:  27-Feb-2019  12:20
   Live:      2025.00 
   Mass:      728
   Shelf:     30
   Detector:      1

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           
                                                                                                     
              


 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   66.8   364.7   1.06     3.3    0.83       370   49.2   1.8262e-01   49.2     4619
   68.6   374.3   1.06     4.0    0.83       616   29.8   3.0442e-01   29.8     4619
   72.6   396.4   1.06     7.4    0.83      1470   13.2   7.2600e-01   13.2     4619
   74.8   408.2   1.06    12.5    0.83      2768    7.2   1.3667e+00    7.2     4619
   77.3   422.0   1.07     3.8    0.83       366   52.5   1.8098e-01   52.5     4199
   84.6   461.9   1.08     5.2    0.70       953   24.2   4.7041e-01   24.2     4959
   91.8   501.2   1.09     9.8    1.23      1765   14.8   8.7164e-01   14.8     4907
  121.9   665.8   1.10    16.9    0.81      4074    5.6   2.0120e+00    5.6     4926
  127.0   694.0   1.10    22.9    0.81      6385    3.9   3.1530e+00    3.9     5374
  136.1   743.7   1.12     4.3    1.05       527   43.1   2.6036e-01   43.1     4771
  238.8  1305.4   1.21     3.6    0.95       539   36.4   2.6636e-01   36.4     3942
  351.9  1923.9   1.30     4.7    1.24       432   37.9   2.1350e-01   37.9     2406
  385.2  2105.8   1.33     3.4    0.88       311   42.8   1.5334e-01   42.8     1733
  411.5  2249.5   1.35     4.9    1.12       644   19.9   3.1779e-01   19.9     1329
  477.3  2609.5   1.41    33.7    0.77     10250    2.1   5.0615e+00    2.1     1180
  511.1  2794.1   2.74    44.3    5.18    141730    0.7   6.9990e+01    0.7     2285
  520.0  2843.0   1.31     5.4    5.18       489   25.8   2.4136e-01   25.8     1230
  583.3  3189.2   1.50     3.7    0.95       231   44.2   1.1417e-01   44.2      897
  609.4  3331.7   1.52     5.3    0.81       400   27.0   1.9736e-01   27.0      976
  803.9  4395.2   1.68     5.3    1.56       538   15.4   2.6549e-01   15.4      369
  810.9  4433.4   1.68    50.1    1.56     21204    1.3   1.0471e+01    1.3      369
  846.8  4629.9   1.68    11.3    1.12      1003    8.0   4.9513e-01    8.0      200
  864.0  4724.2   1.74     3.4    0.76       121   45.0   5.9542e-02   45.0      236
  911.3  4982.8   1.78     3.7    0.96       159   36.4   7.8709e-02   36.4      222
  931.3  5091.8   1.79    49.2    1.48     19903    1.4   9.8285e+00    1.4      306
  984.3  5381.6   1.84     3.8    1.08       113   46.4   5.5720e-02   46.4      197
 1037.8  5674.6   1.88     3.3    0.77       119   46.0   5.8939e-02   46.0      222
 1120.3  6125.5   1.95     3.4    0.86       133   46.6   6.5600e-02   46.6      268
 1238.1  6769.7   2.05     6.6    0.92       580   11.4   2.8665e-01   11.4      157
 1316.2  7196.8   2.10    11.8    1.23      1316    5.5   6.4967e-01    5.5       62
 1369.6  7488.7   2.16     6.9    1.20       521    9.9   2.5741e-01    9.9       55
 1377.3  7530.7   2.17    22.0    1.20      4079    3.1   2.0144e+00    3.1       55
 1408.2  7699.9   2.22    17.7    1.03      2996    3.5   1.4796e+00    3.5       36
 1433.7  7839.6   2.22     3.6    1.26        48   57.1   2.3946e-02   57.1       37
 1460.4  7985.6   2.36    11.1    0.94      1153    5.8   5.6961e-01    5.8       37
 1674.4  9155.8   2.42     3.6    0.86        59   42.9   2.9344e-02   42.9       28
 1757.1  9608.0   2.49     5.6    0.93       260   12.8   1.2834e-01   12.8       18
 1764.3  9647.4   2.49     4.3    0.93       119   21.9   5.8839e-02   21.9       18
 1770.8  9682.6   2.50     4.0    0.93        97   25.2   4.7979e-02   25.2       18
 1918.9 10492.7   2.62     8.6    1.12       502    9.7   2.4779e-01    9.7       19
 2597.2 14201.9   3.19     3.8    0.46        66   31.1   3.2449e-02   31.1        7
 2613.6 14291.3   3.21     4.5    0.46       185   15.2   9.1558e-02   15.2        8
