
                       be used for evaluation purposes
                                                            10-Mar-2019 14:42
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: AO022819_53cm_Cu07_IDM1.Chn      
 Sample Title :          Cu07

 Spectrum saved on 28-Feb-2019 at 10:26    Collected on 28-Feb-2019 at  9:22
 Sample  Taken  on 28-Feb-2019 at  9:22    Decayed      0 Days,     0 mins.

            Detector file number used:     3
            Energy     Calibration Performed on  8-Mar-2019 at 11:49
            Peak Shape Calibration Performed on  8-Mar-2019 at 11:50

 

   Datetime:  28-Feb-2019   9:22
   Live:      3665.00 
   Mass:      729
   Shelf:     53
   Detector:      3

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           
                                                                                                     
              


 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   74.5   407.9   1.11     5.7    1.43      1067   19.9   2.9112e-01   19.9     3783
   99.3   543.8   1.13     3.9    1.41       421   45.9   1.1486e-01   45.9     4044
  103.6   566.8   1.13     4.3    1.41       733   25.9   1.9998e-01   25.9     4044
  105.8   579.4   1.13     6.5    1.41       991   19.3   2.7046e-01   19.3     3707
  209.8  1147.9   1.21     3.6    0.80       278   51.5   7.5885e-02   51.5     2151
  228.2  1248.4   1.23     6.6    0.56       700   20.2   1.9101e-01   20.2     2080
  238.6  1305.7   1.23     8.2    0.93       884   16.3   2.4107e-01   16.3     1864
  277.7  1519.1   1.26     9.4    0.99      1034   12.6   2.8215e-01   12.6     1325
  295.3  1615.5   1.28     5.5    0.92       485   23.9   1.3224e-01   23.9     1252
  338.3  1850.8   1.31     3.5    0.92       222   48.0   6.0598e-02   48.0     1096
  351.9  1925.0   1.32     7.3    0.89       790   13.0   2.1566e-01   13.0      898
  510.9  2794.8   2.76    22.1    3.12     28876    1.4   7.8788e+00    1.4      919
  583.1  3189.9   1.50     7.5    0.88       493   13.2   1.3452e-01   13.2      237
  609.2  3332.5   1.52     7.1    1.33       851    9.2   2.3227e-01    9.2      203
  726.9  3976.4   1.61     3.3    1.21       123   39.0   3.3457e-02   39.0      163
  768.2  4202.4   1.64     3.6    1.19        99   48.2   2.6971e-02   48.2      164
  785.4  4296.2   1.65     3.5    1.07        64   57.3   1.7557e-02   57.3      143
  794.5  4345.9   1.66     3.5    1.07        89   41.1   2.4412e-02   41.1      143
  834.9  4567.2   1.69     4.7    1.17       133   37.7   3.6400e-02   37.7      161
  911.0  4983.3   1.75     5.3    1.23       378   14.8   1.0310e-01   14.8      141
  969.0  5300.2   1.80     3.4    1.38       152   32.6   4.1342e-02   32.6      152
 1115.5  6101.6   1.99    13.1    1.12      1645    5.2   4.4877e-01    5.2      100
 1120.3  6128.2   2.00     4.4    1.12       280   18.5   7.6421e-02   18.5      105
 1238.5  6774.5   2.00     3.7    0.89       121   34.0   3.3043e-02   34.0       98
 1274.5  6971.4   2.03     3.9    0.84       116   31.8   3.1759e-02   31.8       75
 1345.8  7361.2   2.09     3.4    1.36       129   27.7   3.5221e-02   27.7       41
 1377.6  7535.4   2.11     3.5    0.81       140   22.1   3.8221e-02   22.1       43
 1460.8  7990.3   2.16    17.6    0.74      2392    3.7   6.5264e-01    3.7       37
 1764.6  9652.3   2.41     6.0    0.68       237   14.1   6.4576e-02   14.1       15
 2204.0 12055.5   2.75     3.5    0.73        59   39.5   1.6089e-02   39.5       12
 2614.3 14299.8   3.06     6.7    0.80       428   10.3   1.1685e-01   10.3        6
