
                       be used for evaluation purposes
                                                            11-Mar-2019 14:10
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: AS022819_32cm_Ni06_IDM2.Chn      
 Sample Title :          Ni06

 Spectrum saved on 28-Feb-2019 at 14:15    Collected on 28-Feb-2019 at 13:06
 Sample  Taken  on 28-Feb-2019 at 13:06    Decayed      0 Days,     0 mins.

            Detector file number used:     4
            Energy     Calibration Performed on  8-Mar-2019 at 11:45
            Peak Shape Calibration Performed on  8-Mar-2019 at 11:47

 

   Datetime:  28-Feb-2019  13:06
   Live:      3932.00 
   Mass:      628
   Shelf:     32
   Detector:      4

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           
                                                                                                     
              


 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   67.2   366.0   1.10     3.7    0.92       409   56.5   1.0408e-01   56.5     6482
   69.0   376.0   1.11     3.4    0.92       825   27.3   2.0985e-01   27.3     6482
   72.9   397.7   1.11     6.2    0.92      1546   15.3   3.9323e-01   15.3     5942
   75.1   409.4   1.11    12.0    0.92      3060    8.3   7.7812e-01    8.3     5942
   84.8   462.8   1.11     4.6    1.07      1103   22.9   2.8045e-01   22.9     7032
   87.6   477.6   1.11     3.5    1.07       457   49.3   1.1617e-01   49.3     7032
   92.1   502.6   1.12     6.0    1.07      1561   15.4   3.9697e-01   15.4     7032
  122.2   666.9   1.17    37.9    1.15     16943    2.1   4.3091e+00    2.1     7702
  127.3   695.0   1.18    30.4    1.15     12198    2.7   3.1022e+00    2.7     7702
  136.6   745.8   1.15     6.8    1.22      1967   15.4   5.0031e-01   15.4     7534
  238.6  1303.6   1.24     4.9    0.94       722   33.9   1.8372e-01   33.9     6117
  295.3  1613.8   1.28     3.4    1.06       503   43.4   1.2802e-01   43.4     4875
  338.6  1850.5   1.32     3.3    0.88       454   46.4   1.1546e-01   46.4     4335
  351.8  1922.8   1.33     5.7    1.05       751   24.7   1.9087e-01   24.7     3214
  385.3  2106.0   1.36     3.5    0.71       369   41.7   9.3901e-02   41.7     2463
  411.4  2248.4   1.38     4.4    1.25       510   30.5   1.2968e-01   30.5     2077
  477.2  2608.2   1.50    29.6    0.83      9614    2.4   2.4452e+00    2.4     1796
  510.9  2792.7   2.75    46.4    4.72    148518    0.8   3.7772e+01    0.8     3426
  519.9  2841.8   1.29     4.3    4.72       418   36.0   1.0621e-01   36.0     1649
  583.0  3187.1   1.52     4.6    0.92       478   27.8   1.2152e-01   27.8     1494
  609.2  3330.3   1.54     7.6    1.27       866   17.3   2.2018e-01   17.3     1593
  744.1  4068.2   1.65     6.5    1.05       909   12.1   2.3115e-01   12.1      718
  803.8  4394.3   1.72     7.6    1.58       533   18.4   1.3552e-01   18.4      548
  810.7  4432.3   1.73    66.9    1.58     39153    1.0   9.9575e+00    1.0      548
  846.8  4629.6   1.83    12.1    1.16      1471    7.0   3.7416e-01    7.0      413
  863.9  4723.4   1.75     3.9    1.04       221   34.2   5.6209e-02   34.2      411
  911.2  4981.6   1.79     6.0    1.27       402   19.5   1.0214e-01   19.5      337
  931.2  5091.4   1.81    46.5    0.94     18864    1.4   4.7976e+00    1.4      364
  935.5  5114.8   1.81     9.0    0.94       863   10.6   2.1955e-01   10.6      385
  969.0  5297.8   1.84     3.9    1.42       228   33.0   5.8061e-02   33.0      369
 1037.8  5674.0   1.89     3.4    1.03       159   43.8   4.0409e-02   43.8      364
 1120.1  6124.3   1.96     4.3    1.11       261   32.9   6.6324e-02   32.9      471
 1238.2  6770.2   2.06     9.2    0.89       751   10.8   1.9106e-01   10.8      291
 1274.4  6967.9   2.09     6.0    1.08       374   16.8   9.5148e-02   16.8      188
 1316.5  7198.4   2.10    12.9    1.18      1278    6.1   3.2512e-01    6.1      125
 1369.9  7490.0   2.14     7.4    1.09       472   12.8   1.1998e-01   12.8      122
 1377.6  7532.1   2.15    32.3    1.09      8316    2.0   2.1150e+00    2.0      128
 1408.4  7700.9   2.20    17.8    1.08      2782    3.9   7.0762e-01    3.9       95
 1434.0  7841.0   2.22     8.5    0.80       581    9.7   1.4785e-01    9.7       79
 1460.7  7987.0   2.35    18.2    1.15      2654    3.9   6.7491e-01    3.9       80
 1674.5  9155.9   2.42     3.7    1.06       115   31.6   2.9241e-02   31.6       54
 1757.4  9609.4   2.48     7.0    0.90       491    9.5   1.2496e-01    9.5       42
 1764.5  9648.0   2.49     4.3    0.90       279   13.9   7.0839e-02   13.9       42
 1771.4  9685.7   2.50     3.3    0.90        94   30.1   2.3951e-02   30.1       42
 1919.1 10493.8   2.62     9.4    0.99      1026    6.2   2.6102e-01    6.2       18
 2034.3 11123.7   2.71     3.4    0.64        51   44.3   1.2859e-02   44.3       15
 2203.9 12051.2   2.85     3.7    0.96        68   38.0   1.7344e-02   38.0       21
 2597.6 14204.3   3.17     3.8    0.69        73   29.5   1.8551e-02   29.5        6
 2613.8 14292.7   3.19     7.7    0.69       387   10.1   9.8424e-02   10.1        6
