
                       be used for evaluation purposes
                                                            20-Mar-2019 14:44
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: AX02262019_Ni08_18cm_room131.Chn 
 Sample Title :          Ni08

 Spectrum saved on 26-Feb-2019 at  3:17    Collected on 26-Feb-2019 at  3:12
 Sample  Taken  on 26-Feb-2019 at  3:12    Decayed      0 Days,     0 mins.

            Detector file number used:     7
            Energy     Calibration Performed on  8-Mar-2019 at 12:07
            Peak Shape Calibration Performed on  8-Mar-2019 at 12:08

 

   Datetime:  26-Feb-2019   3:12
   Live:       227.00 
   Mass:       828
   Shelf:      18
   Detector:      7

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           
                                                                                                     
              


 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   67.3   358.4   1.14    42.2    6.29     32337    2.4   1.4245e+02    2.4    14368
   72.7   387.0   1.17    25.5    2.27     17862    6.0   7.8689e+01    6.0    16300
   74.9   398.6   1.17    37.3    2.27     33212    3.3   1.4631e+02    3.3    14942
   84.7   451.0   1.32    18.1    1.02     15101    3.1   6.6525e+01    3.1    13306
   87.2   464.4   1.32     8.3    1.02      4601    8.9   2.0269e+01    8.9    14415
  127.1   676.8   1.01     4.7    0.94      1201   29.3   5.2912e+00   29.3    12969
  283.1  1507.7   1.41    52.1    3.07     46471    1.5   2.0472e+02    1.5    15553
  366.4  1951.4   1.29     3.6    0.78       695   38.1   3.0617e+00   38.1     7697
  373.3  1987.9   1.53    14.6    0.86      6401    5.0   2.8197e+01    5.0     8018
  467.5  2489.7   1.41     3.7    0.83       572   31.8   2.5214e+00   31.8     3299
  477.4  2542.6   1.58    15.9    1.09      4772    5.0   2.1023e+01    5.0     3267
  511.2  2722.7   2.95    82.0   17.69    665333    0.9   2.9310e+03    0.9    28469
  529.4  2819.6   1.48     3.6    1.06       733   28.3   3.2271e+00   28.3     3919
  588.8  3136.0   1.55     9.5    1.14      2198    8.6   9.6811e+00    8.6     2348
  656.3  3495.4   1.80    40.0    0.92     18985    1.7   8.3636e+01    1.7     2235
  803.9  4281.8   1.89     3.4    1.00       283   32.7   1.2447e+00   32.7     1175
  811.1  4319.8   1.90    12.9    1.00      2369    5.1   1.0434e+01    5.1     1175
  817.1  4351.7   1.91     4.7    1.00       466   21.1   2.0524e+00   21.1     1175
  826.4  4401.5   1.92    13.1    1.00      2374    5.6   1.0459e+01    5.6     1241
  841.4  4481.2   1.85     3.7    0.86       406   25.9   1.7896e+00   25.9     1046
  846.9  4510.5   1.86     4.4    0.86       380   28.1   1.6761e+00   28.1      988
  909.0  4841.3   2.00    10.7    0.87      1607    8.3   7.0778e+00    8.3      922
  931.6  4961.8   2.09    29.9    1.05      9846    2.3   4.3373e+01    2.3      978
  952.4  5072.8   1.98     3.4    1.03       260   41.7   1.1433e+00   41.7      887
 1021.1  5438.6   2.06     3.4    1.00       332   33.8   1.4624e+00   33.8      938
 1035.2  5513.7   2.08     4.5    1.16       309   34.1   1.3632e+00   34.1      693
 1099.9  5858.2   2.15     5.2    1.00       336   29.4   1.4810e+00   29.4      615
 1115.9  5943.7   2.17     7.8    1.66       931   12.7   4.1027e+00   12.7      684
 1185.6  6314.8   2.30    20.7    0.80      4238    3.6   1.8672e+01    3.6      502
 1238.8  6598.4   2.31     3.6    1.20       241   31.0   1.0605e+00   31.0      337
 1294.0  6892.2   2.38     3.4    1.12       175   37.5   7.7099e-01   37.5      272
 1316.8  7013.9   2.41     7.9    0.86       614   13.1   2.7040e+00   13.1      298
 1332.9  7099.2   2.54    25.9    0.99      7004    2.4   3.0853e+01    2.4      276
 1370.3  7298.6   2.47     4.2    0.70       270   22.3   1.1881e+00   22.3      247
 1377.9  7339.3   2.48     9.0    0.70      1125    7.2   4.9580e+00    7.2      247
 1408.9  7504.2   2.67    10.4    0.68      1521    6.3   6.6988e+00    6.3      267
 1482.2  7894.5   2.60     8.5    1.20      1179    7.8   5.1926e+00    7.8      232
 1757.9  9362.9   2.92     3.6    1.09        69   55.0   3.0401e-01   55.0       78
 1791.5  9542.1   3.01    17.7    0.83      2736    3.8   1.2053e+01    3.8       82
 1862.0  9917.4   3.05     6.2    1.17       277   17.2   1.2205e+00   17.2       71
 1920.0 10226.4   3.12     4.0    0.81       180   21.4   7.9154e-01   21.4       55
 1937.0 10317.3   3.14     3.4    0.73       117   29.3   5.1415e-01   29.3       54
 2060.6 10975.3   3.28     3.4    0.77        46   56.9   2.0369e-01   56.9       33
 2159.4 11501.5   3.40     4.3    1.21       152   24.1   6.6890e-01   24.1       34
