
                       be used for evaluation purposes
                                                            10-Mar-2019 15:30
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: AZ030119_53cm_Cu05_IDM1.Chn      
 Sample Title :          Cu05

 Spectrum saved on  1-Mar-2019 at 10:23    Collected on  1-Mar-2019 at  7:46
 Sample  Taken  on  1-Mar-2019 at  7:46    Decayed      0 Days,     0 mins.

            Detector file number used:     3
            Energy     Calibration Performed on  8-Mar-2019 at 11:49
            Peak Shape Calibration Performed on  8-Mar-2019 at 11:50

 

   Datetime:   1-Mar-2019   7:46
   Live:      9303.00 
   Mass:      529
   Shelf:     53
   Detector:      3

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           
                                                                                                     
              


 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   66.7   365.4   1.10     3.9    1.08       688   38.5   7.3998e-02   38.5     5848
   68.6   375.4   1.10     4.5    1.08      1116   24.6   1.2001e-01   24.6     5848
   74.5   408.0   1.06    11.0    1.85      2601   11.1   2.7960e-01   11.1     6445
   77.3   423.3   1.06     3.6    1.85       593   49.3   6.3788e-02   49.3     7090
   92.6   506.9   1.12     3.5    1.17       511   59.5   5.4961e-02   59.5     8519
   99.1   542.6   1.13     3.7    0.96       884   41.6   9.4973e-02   41.6     8239
  103.5   566.5   1.13     5.2    0.96      1706   22.3   1.8336e-01   22.3     8239
  105.9   579.6   1.13     8.6    0.96      2384   15.7   2.5629e-01   15.7     8239
  117.0   640.2   1.14     3.6    0.87       675   42.5   7.2555e-02   42.5     8208
  186.0  1017.6   1.19     3.6    0.41       602   37.1   6.4757e-02   37.1     5127
  209.6  1146.7   1.21     6.0    1.03       686   31.2   7.3768e-02   31.2     4207
  228.2  1248.3   1.13    10.1    1.02      1694   11.9   1.8207e-01   11.9     3356
  238.7  1305.9   1.19    12.9    0.82      2483    7.5   2.6690e-01    7.5     3199
  241.7  1322.5   1.20     3.4    0.82       455   36.8   4.8923e-02   36.8     3465
  277.6  1518.9   1.28    12.3    0.96      2366    7.5   2.5431e-01    7.5     2445
  295.3  1615.4   1.28     8.2    0.78      1092   14.2   1.1734e-01   14.2     2106
  315.9  1728.4   1.29     3.8    0.84       305   46.1   3.2798e-02   46.1     1906
  334.3  1828.8   1.31     3.6    1.15       391   32.4   4.1995e-02   32.4     1708
  338.4  1851.2   1.31     3.4    1.15       515   24.9   5.5393e-02   24.9     1708
  351.9  1925.2   1.34    12.5    0.97      2111    7.5   2.2690e-01    7.5     1543
  409.4  2239.8   1.36     3.3    0.91       181   56.9   1.9474e-02   56.9     1044
  462.6  2530.5   1.41     3.5    1.26       209   45.6   2.2452e-02   45.6      825
  510.9  2794.9   2.76    16.8    2.08     19774    1.7   2.1256e+00    1.7     1385
  538.8  2947.5   1.46     3.7    1.23       145   57.9   1.5615e-02   57.9      615
  583.1  3189.7   1.47    12.0    0.86      1359    7.4   1.4609e-01    7.4      525
  609.2  3332.4   1.50    14.9    0.80      2124    5.5   2.2826e-01    5.5      532
  727.1  3977.4   1.61     6.5    1.26       331   22.9   3.5624e-02   22.9      395
  768.4  4203.0   1.64     4.4    1.21       189   39.5   2.0360e-02   39.5      391
  794.9  4348.4   1.66     3.6    0.75       149   44.0   1.6025e-02   44.0      371
  810.6  4434.0   1.67     3.3    0.92       122   55.6   1.3121e-02   55.6      360
  834.8  4566.2   1.69     4.8    0.83       381   19.6   4.0959e-02   19.6      393
  860.4  4706.5   1.71     3.4    0.81       199   34.1   2.1354e-02   34.1      359
  911.1  4983.6   1.75     7.6    0.92       884    9.9   9.5068e-02    9.9      365
  934.3  5110.5   1.77     3.6    1.00       164   41.2   1.7663e-02   41.2      334
  964.6  5276.6   1.79     3.5    1.27       195   33.1   2.1002e-02   33.1      294
  968.9  5299.9   1.80     7.0    1.27       554   13.6   5.9506e-02   13.6      311
 1115.5  6101.8   1.91    18.5    0.91      3044    3.8   3.2716e-01    3.8      276
 1120.3  6127.8   1.91     7.2    0.91       675   11.3   7.2594e-02   11.3      276
 1238.0  6772.0   2.00     6.7    1.07       343   20.6   3.6866e-02   20.6      289
 1274.5  6971.4   2.03     4.6    0.86       252   19.7   2.7118e-02   19.7      183
 1281.1  7007.6   2.04     3.6    0.86        81   57.2   8.6813e-03   57.2      183
 1377.7  7536.1   2.11     4.7    0.99       309   16.3   3.3255e-02   16.3      111
 1408.0  7701.4   2.13     3.6    1.22       136   32.9   1.4608e-02   32.9      103
 1460.9  7990.6   2.17    26.4    1.06      6045    2.6   6.4981e-01    2.6      118
 1509.2  8255.3   2.21     3.4    1.04        87   43.1   9.3065e-03   43.1       75
 1583.1  8659.3   2.27     3.3    1.00        54   51.9   5.8123e-03   51.9       47
 1588.2  8687.0   2.27     3.6    1.00       114   28.3   1.2237e-02   28.3       47
 1592.6  8711.0   2.28     3.4    1.00        97   33.2   1.0412e-02   33.2       47
 1630.4  8918.0   2.31     3.4    0.82        48   54.4   5.1140e-03   54.4       39
 1729.6  9460.5   2.38     3.4    0.77       102   28.6   1.0927e-02   28.6       39
 1764.5  9651.3   2.41     9.5    0.85       652    8.1   7.0071e-02    8.1       41
 1847.5 10105.2   2.47     3.3    0.96        87   34.4   9.3037e-03   34.4       38
 1919.6 10499.6   2.53     3.4    0.81        50   46.7   5.3697e-03   46.7       24
 2103.4 11505.0   2.67     3.5    1.06       103   30.9   1.1082e-02   30.9       34
 2203.8 12054.4   2.75     4.3    0.85       183   18.8   1.9700e-02   18.8       33
 2448.2 13391.0   2.94     3.6    1.02        45   57.5   4.8445e-03   57.5       25
 2614.2 14299.2   2.98    12.3    0.80      1103    5.8   1.1853e-01    5.8       13
