
                       be used for evaluation purposes
                                                            20-Mar-2019 12:10
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: BF030119_25cm_Ni03_IDM4.Chn      
 Sample Title :          Ni03

 Spectrum saved on  1-Mar-2019 at 15:28    Collected on  1-Mar-2019 at 13:59
 Sample  Taken  on  1-Mar-2019 at 13:59    Decayed      0 Days,     0 mins.

            Detector file number used:     6
            Energy     Calibration Performed on  8-Mar-2019 at 12:03
            Peak Shape Calibration Performed on  8-Mar-2019 at 12:04

 

   Datetime:   1-Mar-2019  13:59
   Live:      5044.00 
   Mass:      328
   Shelf:     25
   Detector:      6

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           
                                                                                                     
              


 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   67.1   365.7   1.10     5.6    1.13      1728   22.1   3.4253e-01   22.1    15905
   68.9   375.4   1.11     9.3    1.13      3548   11.1   7.0347e-01   11.1    15905
   72.9   397.3   1.11    16.2    1.13      7164    5.6   1.4204e+00    5.6    15905
   75.0   409.0   1.11    25.4    1.13     12433    3.4   2.4649e+00    3.4    17351
   77.8   424.3   1.11     3.6    1.13      1240   31.7   2.4590e-01   31.7    15905
   84.8   462.6   1.06     8.0    1.24      4016   31.1   7.9624e-01   31.1    22701
   92.1   502.4   1.06     6.5    1.57      2828   19.4   5.6067e-01   19.4    23555
  122.1   666.8   1.09   165.5    1.27    235469    0.5   4.6683e+01    0.5    16565
  127.3   694.9   1.10   126.9    1.27    143203    0.6   2.8391e+01    0.6    18071
  136.6   745.7   1.10    50.2    0.99     28620    2.0   5.6740e+00    2.0    15051
  158.5   865.4   1.12     3.5    0.93      1213   32.1   2.4050e-01   32.1    14739
  228.3  1247.6   1.18     3.6    1.07       987   38.3   1.9569e-01   38.3    15518
  238.8  1304.7   1.19     3.7    1.05      1324   28.2   2.6244e-01   28.2    14700
  338.6  1850.6   1.28     3.4    0.77       649   54.4   1.2864e-01   54.4    12961
  352.0  1923.9   1.29     5.0    0.92      1087   27.1   2.1550e-01   27.1     9038
  411.4  2248.6   1.34     3.6    1.21       693   33.6   1.3743e-01   33.6     5110
  477.2  2608.6   1.40    36.9    0.66     13882    2.3   2.7522e+00    2.3     4633
  511.0  2793.1   2.65    81.2    7.62    500643    0.8   9.9255e+01    0.8    29765
  519.9  2842.1   1.43     4.7    0.98       467   54.4   9.2680e-02   54.4     3485
  538.9  2945.9   1.45     3.4    1.35       510   39.7   1.0113e-01   39.7     3323
  583.1  3187.6   1.49     5.7    1.23       830   25.9   1.6456e-01   25.9     3950
  609.3  3330.6   1.51     6.3    0.86      1077   20.4   2.1360e-01   20.4     4302
  744.2  4068.3   1.66    35.8    1.15     12413    2.1   2.4609e+00    2.1     2143
  803.6  4393.5   1.69     6.0    1.79       837   21.0   1.6590e-01   21.0     1900
  810.7  4432.4   1.70   106.0    1.79     97184    0.6   1.9267e+01    0.6     1900
  834.9  4564.4   1.71     6.6    1.10      1165   13.1   2.3095e-01   13.1     1600
  846.8  4629.6   1.79    22.2    1.16      5572    3.8   1.1046e+00    3.8     1654
  864.0  4723.6   1.73     6.3    1.32       647   23.5   1.2836e-01   23.5     1624
  866.8  4738.8   1.73     3.4    1.32       397   37.5   7.8643e-02   37.5     1624
  897.2  4905.0   1.76     3.9    1.14       404   35.3   8.0001e-02   35.3     1658
  911.1  4981.3   1.77     3.7    0.78       434   32.5   8.6089e-02   32.5     1580
  931.3  5091.6   1.81    51.9    1.48     26671    1.3   5.2876e+00    1.3     1610
  935.5  5114.8   1.82    32.7    1.48     10846    2.4   2.1502e+00    2.4     1610
  968.9  5297.5   1.82     3.6    0.73       309   47.1   6.1244e-02   47.1     1680
 1037.8  5674.2   1.88     5.6    1.07       659   24.3   1.3066e-01   24.3     1934
 1120.2  6124.6   1.95     3.6    0.81       383   49.3   7.5992e-02   49.3     2926
 1238.3  6770.6   2.02    15.3    0.84      2713    5.3   5.3784e-01    5.3     1308
 1246.4  6814.9   2.03     4.3    0.84       449   25.4   8.8954e-02   25.4     1377
 1274.7  6969.4   2.09     3.7    1.04       270   42.2   5.3458e-02   42.2      915
 1316.5  7198.0   2.25    12.2    0.89      1891    6.6   3.7497e-01    6.6      704
 1333.3  7290.2   2.14     3.9    1.20       486   20.5   9.6431e-02   20.5      612
 1369.9  7490.2   2.16     6.6    2.78       956   13.7   1.8954e-01   13.7      467
 1372.6  7504.7   2.16     5.9    2.78       372   33.1   7.3673e-02   33.1      467
 1377.6  7532.1   2.17   105.4    2.78     92859    0.7   1.8410e+01    0.7      467
 1408.5  7701.1   2.41    19.1    1.34      4497    3.4   8.9149e-01    3.4      466
 1434.1  7841.1   2.25    29.3    0.97      7986    2.3   1.5833e+00    2.3      409
 1460.8  7987.2   2.26    19.7    0.86      3286    4.2   6.5153e-01    4.2      434
 1674.7  9156.9   2.44     4.2    1.24       241   38.7   4.7838e-02   38.7      507
 1757.5  9609.9   2.51    25.6    1.41      5576    2.8   1.1054e+00    2.8      219
 1764.4  9647.7   2.51     4.8    1.41       340   18.4   6.7328e-02   18.4      219
 1771.3  9685.2   2.52     6.8    1.41       435   15.3   8.6224e-02   15.3      219
 1888.4 10325.5   2.62     5.3    1.01       276   17.5   5.4675e-02   17.5       88
 1919.4 10495.0   2.62    37.7    1.97     12032    1.9   2.3854e+00    1.9       77
 2014.6 11015.5   2.73     3.5    0.89        78   37.6   1.5517e-02   37.6       36
 2034.8 11126.0   2.75     5.5    1.03       161   20.9   3.2004e-02   20.9       25
 2103.1 11499.7   2.81     3.4    0.83        51   52.5   1.0118e-02   52.5       35
 2177.5 11906.5   2.87     3.4    0.79        45   56.9   8.9876e-03   56.9       31
 2204.0 12051.6   2.89     3.6    0.67        86   33.9   1.7064e-02   33.9       41
 2598.0 14206.2   3.24     7.5    0.80       318   11.7   6.2991e-02   11.7       15
 2614.1 14293.9   3.25     8.5    0.80       549    8.2   1.0890e-01    8.2       15
 2803.5 15329.8   3.41     4.1    0.60        75   35.1   1.4935e-02   35.1       10
